County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Guilford,353465,315438,5692,3285,117318,230455,107695,204458
Bladen,24373,20163,6796,4638,4733,12844,3965,11560
Cumberland,234970,192456,91228,65938,61541,82201,53819,72699
Chowan,8836,7421,246,95,1836,6754,1679,5647
Pamlico,7440,6665,238,174,1321,5881,1043,5448
Scotland,18804,16342,302,194,5393,13109,4338,11810
Johnston,123189,106734,3774,2162,40545,78870,36333,68239
Clay,5660,5076,253,130,1055,4352,955,3991
Martin,11845,10006,247,176,2705,8893,2241,7589
Cherokee,14147,12507,716,471,2915,10516,2312,9724
Orange,120037,105907,1465,923,26552,92020,25334,79650
Burke,44882,39335,828,470,11873,32181,10190,28675
Surry,38455,34627,403,245,12159,25893,10894,23488
Wayne,66588,58188,6756,5128,21091,38741,18299,34761
Avery,10165,8524,193,94,1658,8314,1432,6998
Pitt,104620,88456,2317,1426,32860,69443,29261,57769
Bertie,11042,9673,135,69,2144,8763,1841,7763
Hertford,12323,10881,97,41,3595,8631,3088,7752
Person,23744,21232,441,302,6265,17038,5255,15675
Caswell,11597,10378,234,128,1787,9576,1433,8817
