County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Vance,28718,25173,497,345,7885,20336,6829,17999
Union,138771,124697,1431,787,55403,81937,51507,72403
Washington,6580,5705,67,42,1855,4658,1612,4051
Davidson,89255,77148,2237,1394,27122,59896,23937,51817
Granville,40962,36442,5595,4827,10991,24376,9803,21812
Watauga,33115,25810,223,116,4819,28073,4143,21551
Cleveland,52536,46549,727,407,16043,35766,13908,32234
Graham,4302,3678,457,339,909,2936,746,2593
Gates,4994,4420,149,70,590,4255,501,3849
Carteret,48964,42815,7116,5076,13586,28262,11955,25784
Alamance,108151,96554,2072,1355,28858,77221,26083,69116
Mecklenburg,752761,656286,9815,5765,270829,472117,249198,401323
Brunswick,95278,84022,3032,2023,25985,66261,23290,58709
Stanly,29781,26732,760,593,7662,21359,6715,19424
Perquimans,6728,5745,20,12,1209,5499,991,4742
Madison,12885,10402,247,138,1408,11230,1267,8997
Pasquotank,23280,19855,52,21,5844,17384,4997,14837
Catawba,91913,82493,1195,598,33433,57285,29505,52390
Caldwell,41692,35928,350,189,12023,29319,9727,26012
Wilkes,34854,30621,387,256,11083,23384,9845,20520
Greene,15601,12972,3403,2578,3033,9165,2641,7753
Rockingham,49482,44112,633,387,15612,33237,13607,30118
Macon,22270,17837,539,327,3218,18513,2617,14893
Out o,138846,113803,,,929,137917,1106,112697
Wake,872979,773510,12072,7902,287048,573859,267701,497907
Warren,11685,10548,167,122,2661,8857,2397,8029
Guilford,354819,316698,5576,3402,117940,231303,108322,204974
Bladen,24304,20346,6691,4786,4743,12870,3982,11578
Cumberland,234606,194701,89864,67261,61867,82875,54157,73283
Chowan,8856,7448,246,94,1846,6764,1689,5665
Pamlico,7390,6610,239,177,1329,5822,1051,5382
Scotland,18911,16449,304,197,5427,13180,4361,11891
Johnston,123883,107419,3719,2236,40770,79394,36583,68600
Clay,5664,5097,252,138,1053,4359,959,4000
Martin,11845,9994,247,178,2716,8882,2253,7563
Cherokee,14144,12520,719,472,2918,10507,2318,9730
Orange,121089,107040,1465,930,26671,92953,25470,80640
Burke,44798,39307,801,492,11893,32104,10220,28595
Surry,38648,34791,404,266,12189,26055,10923,23602
Wayne,66468,58504,6438,5252,21219,38811,18437,34815
Avery,10271,8630,193,95,1666,8412,1434,7101
Pitt,105115,89025,2289,1462,33042,69784,29462,58101
Bertie,11011,9652,135,70,2148,8728,1845,7737
Hertford,12348,10923,97,42,3602,8649,3100,7781
Person,23850,21318,441,302,6299,17110,5280,15736
Caswell,11627,10424,234,139,1788,9605,1441,8844
