County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Ashe,16425,13140,236,141,3471,12718,2939,10060
Henderson,73407,61444,1762,1055,15129,56516,12961,47428
Vance,28717,25172,497,344,7881,20339,6824,18004
Union,138815,124739,1431,786,55376,82008,51472,72481
Washington,6577,5703,67,41,1855,4655,1612,4050
Davidson,89170,77070,2237,1394,27109,59824,23916,51760
Granville,40937,36401,5584,4809,10990,24363,9799,21793
Watauga,33151,25804,223,116,4818,28110,4143,21545
Cleveland,52584,46590,727,406,16042,35815,13903,32281
Graham,4300,3679,457,339,909,2934,746,2594
Gates,4991,4418,149,70,590,4252,500,3848
Carteret,48952,42800,7114,5073,13578,28260,11951,25776
Alamance,108067,96471,2072,1355,28844,77151,26069,69047
Mecklenburg,753283,656806,9814,5763,270731,472738,249080,401963
Brunswick,95240,83969,3030,2022,25981,66229,23281,58666
Stanly,29813,26768,759,592,7659,21395,6713,19463
Perquimans,6726,5743,20,12,1209,5497,991,4740
Madison,12883,10402,247,138,1407,11229,1267,8997
Pasquotank,23280,19861,52,21,5842,17386,4996,14844
Catawba,91875,82473,1195,598,33419,57261,29496,52379
Caldwell,41677,35915,350,189,12017,29310,9724,26002
Wilkes,34848,30627,387,256,11079,23382,9844,20527
Greene,15574,12955,3390,2574,3033,9151,2640,7741
Rockingham,49470,44088,633,387,15605,33232,13591,30110
Macon,22274,17837,538,327,3216,18520,2616,14894
Out o,137298,112406,,,917,136381,1092,111314
Wake,872607,773193,12068,7902,286962,573577,267604,497687
Warren,11678,10546,167,122,2661,8850,2395,8029
Guilford,354695,316600,5575,3401,117890,231230,108245,204954
Bladen,24293,20343,6686,4784,4742,12865,3981,11578
Cumberland,234498,194596,89827,67214,61841,82830,54125,73257
Chowan,8856,7446,246,94,1846,6764,1689,5663
Pamlico,7392,6611,239,177,1329,5824,1051,5383
Scotland,18883,16437,303,197,5424,13156,4358,11882
Johnston,123782,107324,3719,2235,40754,79309,36573,68516
Clay,5660,5093,252,138,1053,4355,959,3996
Martin,11850,9996,247,178,2715,8888,2251,7567
Cherokee,14148,12524,719,472,2918,10511,2318,9734
Orange,121005,106930,1465,930,26663,92877,25455,80545
Burke,44778,39279,801,492,11890,32087,10218,28569
Surry,38624,34773,404,266,12185,26035,10919,23588
Wayne,66454,58487,6434,5250,21213,38807,18423,34814
Avery,10268,8623,193,95,1666,8409,1433,7095
Pitt,105073,88990,2288,1461,33024,69761,29446,58083
Bertie,11016,9657,135,70,2147,8734,1845,7742
Hertford,12346,10918,97,42,3602,8647,3100,7776
Person,23836,21307,441,302,6297,17098,5279,15726
Caswell,11614,10409,234,139,1788,9592,1439,8831
