County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Macon,22278,17805,555,327,3212,18511,2610,14868
Out o,130833,106697,,,870,129963,1051,105646
Wake,871395,772075,12763,7994,286551,572081,267208,496873
Warren,11697,10532,188,122,2656,8853,2392,8018
Guilford,354514,316277,5797,3441,117671,231046,107997,204839
Bladen,24282,20317,6677,4772,4737,12868,3971,11574
Cumberland,234415,194268,90117,67229,61697,82601,53999,73040
Chowan,8852,7445,246,94,1841,6765,1686,5665
Pamlico,7409,6635,238,176,1324,5847,1048,5411
Scotland,18840,16383,302,196,5409,13129,4350,11837
Johnston,123502,107059,3807,2232,40645,79050,36465,68362
Clay,5658,5089,252,138,1056,4350,961,3990
Cherokee,14149,12523,719,472,2914,10516,2317,9734
Martin,11864,10010,247,178,2708,8909,2247,7585
Orange,120774,106516,1605,951,26607,92562,25395,80170
Burke,44839,39320,829,513,11886,32124,10212,28595
Surry,38595,34743,415,265,12175,26005,10915,23563
Wayne,66422,58409,6456,5243,21166,38800,18371,34795
Avery,10231,8585,193,95,1664,8374,1435,7055
Pitt,104968,88764,2384,1468,32952,69632,29382,57914
Bertie,11026,9664,135,70,2147,8744,1846,7748
Hertford,12345,10899,97,42,3602,8646,3098,7759
Person,23842,21268,488,302,6282,17072,5266,15700
Caswell,11595,10391,234,139,1788,9573,1438,8814
