County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Greene,15633,12869,3474,2519,3027,9132,2627,7723
Rockingham,49460,44074,633,386,15548,33279,13537,30151
Macon,22254,17798,537,327,3211,18506,2606,14865
Out o,128207,104368,,,858,127349,1034,103334
Wake,870298,771222,12578,7792,286328,571392,266965,496465
Warren,11680,10543,167,122,2655,8858,2392,8029
Guilford,354031,315786,5764,3294,117523,230744,107885,204607
Bladen,24397,20183,6805,4654,4739,12853,3968,11561
Cumberland,235464,192910,91361,66043,61643,82460,53942,72925
Chowan,8847,7435,246,95,1840,6761,1683,5657
Pamlico,7426,6652,238,174,1324,5864,1048,5430
Scotland,18829,16374,302,194,5400,13127,4346,11834
Johnston,123454,106954,3820,2168,40616,79018,36438,68348
Clay,5657,5074,253,130,1056,4348,958,3986
Martin,11873,10023,247,176,2707,8919,2245,7602
Cherokee,14150,12523,717,471,2914,10519,2316,9736
Orange,120423,106241,1528,933,26588,92307,25373,79935
Burke,44842,39299,830,471,11882,32130,10206,28622
Surry,38562,34711,403,245,12171,25988,10903,23563
Wayne,66713,58273,6760,5131,21141,38812,18344,34798
Avery,10205,8563,193,94,1660,8352,1431,7038
Pitt,104920,88676,2348,1426,32933,69639,29339,57911
Bertie,11033,9670,135,69,2146,8752,1844,7757
Hertford,12338,10895,97,41,3600,8641,3096,7758
Person,23793,21250,452,302,6277,17064,5259,15689
Caswell,11605,10390,235,129,1788,9582,1435,8826
