County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Transylvania,19955,15543,393,258,3506,16056,2999,12286
Chatham,49480,43669,4966,3235,14128,30386,12679,27755
Durham,250476,217782,8118,5485,61637,180721,57353,154944
Tyrrell,2091,1823,,,183,1908,143,1680
Moore,64317,56887,5030,3311,17397,41890,15360,38216
Randolph,67840,59848,959,660,23611,43270,20875,38313
Rowan,67607,59300,4241,3290,23136,40230,20513,35497
Ashe,16483,13190,236,141,3477,12770,2940,10109
Henderson,73479,61507,1762,1055,15133,56584,12966,47486
Vance,28750,25200,497,345,7890,20363,6833,18022
Union,138717,124650,1431,787,55440,81846,51544,72319
Washington,6586,5711,67,42,1856,4663,1612,4057
Davidson,89328,77211,2237,1394,27144,59947,23957,51860
Granville,40995,36450,5595,4827,10997,24403,9808,21815
Watauga,33061,25797,223,116,4821,28017,4144,21537
Cleveland,52520,46527,727,407,16054,35739,13914,32206
Graham,4301,3678,457,339,909,2935,746,2593
Gates,5000,4425,149,70,590,4261,502,3853
Carteret,48970,42814,7116,5076,13595,28259,11959,25779
Alamance,108283,96664,2072,1355,28899,77312,26112,69197
Mecklenburg,751946,655555,9815,5765,271063,471068,249391,400399
Brunswick,95319,84059,3032,2023,25998,66289,23302,58734
Stanly,29755,26702,760,593,7673,21322,6721,19388
Perquimans,6734,5748,20,12,1209,5505,991,4745
Madison,12886,10405,247,138,1408,11231,1267,9000
Pasquotank,23281,19856,52,21,5844,17385,5000,14835
Caldwell,41710,35945,350,189,12034,29326,9736,26020
Wilkes,34866,30634,387,256,11094,23385,9849,20529
Catawba,91953,82523,1195,598,33458,57300,29520,52405
Greene,15612,12988,3403,2578,3036,9173,2643,7767
Rockingham,49487,44115,633,387,15633,33221,13620,30108
Out o,141198,115899,,,961,140237,1152,114747
Macon,22281,17843,539,327,3222,18520,2616,14900
Wake,873765,774047,12072,7902,287288,574405,267910,498235
Warren,11683,10550,167,122,2662,8854,2400,8028
Guilford,355083,316893,5576,3402,118059,231448,108438,205053
Bladen,24310,20357,6691,4786,4744,12875,3985,11586
Cumberland,234758,194828,89864,67261,61933,82961,54204,73363
Chowan,8858,7450,246,94,1847,6765,1690,5666
Pamlico,7397,6614,239,177,1330,5828,1051,5386
Scotland,18926,16464,304,197,5435,13187,4371,11896
Johnston,124023,107556,3719,2236,40802,79502,36616,68704
Clay,5666,5097,252,138,1053,4361,959,4000
Martin,11845,9992,247,178,2721,8877,2255,7559
Cherokee,14144,12521,719,472,2919,10506,2320,9729
Orange,121226,107189,1465,930,26702,93059,25489,80770
Burke,44812,39312,801,492,11897,32114,10222,28598
Wayne,66522,58542,6438,5252,21251,38833,18461,34829
Surry,38681,34805,404,266,12195,26082,10926,23613
Avery,10284,8644,193,95,1666,8425,1434,7115
Pitt,105221,89120,2289,1462,33066,69866,29497,58161
Bertie,11018,9656,135,70,2150,8733,1846,7740
Hertford,12356,10928,97,42,3604,8655,3101,7785
Person,23861,21332,441,302,6306,17114,5287,15743
Caswell,11634,10433,234,139,1792,9608,1441,8853
