County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Mecklenburg,757539,660926,9961,5613,269586,477992,247953,407360
Brunswick,94924,83595,3012,2018,25850,66062,23123,58454
Stanly,30081,26992,773,571,7603,21705,6668,19753
Perquimans,6706,5709,20,12,1205,5481,985,4712
Madison,12904,10407,236,138,1404,11264,1259,9010
Pasquotank,23260,19826,52,21,5815,17393,4964,14841
Catawba,91510,82160,1203,582,33295,57012,29367,52211
Caldwell,41536,35759,345,189,11951,29240,9659,25911
Wilkes,34637,30474,397,240,11006,23234,9791,20443
Greene,15579,12814,3452,2504,3022,9105,2623,7687
Rockingham,49377,44018,630,384,15508,33239,13501,30133
Macon,22239,17785,537,327,3208,18494,2606,14852
Out o,124774,101769,,,814,123960,987,100782
Wake,867977,769815,12272,7747,285877,569828,266465,495603
Warren,11657,10546,166,122,2658,8833,2391,8033
Guilford,353274,315235,5686,3279,117249,230339,107607,204349
Bladen,24353,20148,6785,4634,4731,12837,3963,11551
Cumberland,234807,192311,91176,65894,61502,82129,53777,72640
Chowan,8832,7415,245,95,1835,6752,1678,5642
Pamlico,7440,6666,237,174,1321,5882,1042,5450
Scotland,18793,16336,300,194,5391,13102,4335,11807
Johnston,123085,106619,3769,2159,40529,78787,36293,68167
Clay,5660,5077,253,130,1054,4353,955,3992
Martin,11844,10005,247,176,2705,8892,2239,7590
Cherokee,14144,12505,716,471,2911,10517,2309,9725
Orange,119898,105686,1464,923,26534,91900,25306,79457
Burke,44865,39321,827,469,11869,32169,10188,28664
Surry,38424,34602,401,245,12155,25868,10891,23466
Wayne,66571,58162,6750,5124,21088,38733,18282,34756
Avery,10156,8519,192,93,1658,8306,1431,6995
Pitt,104549,88393,2317,1424,32838,69394,29240,57729
Bertie,11037,9669,135,69,2141,8761,1839,7761
Hertford,12320,10874,97,41,3593,8630,3084,7749
Person,23723,21222,441,301,6261,17021,5252,15669
Caswell,11600,10377,234,128,1787,9579,1435,8814
