County,First Dose Administered,Second Dose Administered,first_dose_tiberius,second_dose_tiberius,first_dose_federal,first_dose_nc,second_dose_federal,second_dose_nc
Caldwell,41547,35772,347,189,11970,29230,9676,25907
Wilkes,34685,30496,398,240,11027,23260,9798,20458
Greene,15595,12830,3458,2514,3024,9113,2626,7690
Rockingham,49408,44044,633,386,15521,33254,13516,30142
Macon,22241,17790,537,327,3209,18495,2604,14859
Out o,124981,101650,,,825,124156,1001,100649
Wake,868934,770629,12286,7755,286068,570580,266727,496147
Warren,11667,10555,167,122,2658,8842,2393,8040
Guilford,353649,315560,5694,3288,117386,230569,107753,204519
Bladen,24381,20167,6799,4640,4736,12846,3965,11562
Cumberland,235092,192583,91242,65959,61565,82285,53862,72762
Chowan,8840,7430,246,95,1837,6757,1681,5654
Pamlico,7437,6665,238,174,1321,5878,1044,5447
Scotland,18809,16352,302,194,5393,13114,4339,11819
Johnston,123247,106786,3775,2166,40562,78910,36361,68259
Clay,5659,5076,253,130,1055,4351,955,3991
Martin,11842,10007,247,176,2706,8889,2242,7589
Cherokee,14150,12511,717,471,2915,10518,2313,9727
Orange,120139,105995,1465,923,26556,92118,25354,79718
Burke,44860,39311,828,471,11875,32157,10193,28647
Surry,38493,34646,403,245,12164,25926,10900,23501
Wayne,66643,58213,6758,5128,21101,38784,18307,34778
Avery,10172,8528,193,94,1659,8320,1431,7003
Pitt,104725,88544,2317,1426,32884,69524,29290,57828
Bertie,11043,9678,135,69,2145,8763,1846,7763
Hertford,12320,10887,97,41,3595,8628,3090,7756
Person,23752,21231,441,302,6267,17044,5253,15676
Caswell,11596,10381,235,129,1788,9573,1434,8818
