Facility_Type,Category,County,Outbreak Count
Nursing Home,Ongoing Outbreaks,Anson,2
Correctional Facility,Ongoing Outbreaks,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
K-12 School,,Gaston,2
Correctional Facility,Ongoing Outbreaks,Gaston,1
Residential Care Facility,Ongoing Outbreaks,Gaston,1
Nursing Home,Ongoing Outbreaks,Gaston,2
Nursing Home,Ongoing Outbreaks,Stanly,2
Correctional Facility,Ongoing Outbreaks,Stanly,1
Residential Care Facility,Ongoing Outbreaks,Stanly,1
Nursing Home,Ongoing Outbreaks,Lincoln,1
Nursing Home,Ongoing Outbreaks,Pender,2
Correctional Facility,Ongoing Outbreaks,Pender,2
Residential Care Facility,Ongoing Outbreaks,Pender,1
Correctional Facility,Ongoing Outbreaks,Swain,1
Nursing Home,Ongoing Outbreaks,Swain,1
Residential Care Facility,Ongoing Outbreaks,Cabarrus,2
Nursing Home,Ongoing Outbreaks,Cabarrus,1
Child Care,,Cabarrus,2
K-12 School,,Cabarrus,1
Nursing Home,Ongoing Outbreaks,Davidson,3
Residential Care Facility,Ongoing Outbreaks,Davidson,3
K-12 School,,Henderson,3
Child Care,,Henderson,1
Residential Care Facility,Ongoing Outbreaks,Buncombe,4
Nursing Home,Ongoing Outbreaks,Buncombe,7
Child Care,,Buncombe,1
K-12 School,,Buncombe,2
Correctional Facility,Ongoing Outbreaks,Buncombe,2
Nursing Home,Ongoing Outbreaks,Currituck,1
,,Vance,0
Nursing Home,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Hyde,1
Correctional Facility,Ongoing Outbreaks,Nash,2
Nursing Home,Ongoing Outbreaks,Nash,3
Nursing Home,Ongoing Outbreaks,Wayne,3
Correctional Facility,Ongoing Outbreaks,Wayne,2
Residential Care Facility,Ongoing Outbreaks,Wayne,1
K-12 School,,Madison,1
Nursing Home,Ongoing Outbreaks,Madison,1
Residential Care Facility,Ongoing Outbreaks,Tyrrell,1
Correctional Facility,Ongoing Outbreaks,Forsyth,1
Nursing Home,Ongoing Outbreaks,Forsyth,7
Residential Care Facility,Ongoing Outbreaks,Forsyth,4
Child Care,,Forsyth,1
Nursing Home,Ongoing Outbreaks,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Child Care,,Duplin,1
Nursing Home,Ongoing Outbreaks,Rockingham,4
Residential Care Facility,Ongoing Outbreaks,Rockingham,2
K-12 School,,Wake,11
Correctional Facility,Ongoing Outbreaks,Wake,5
Child Care,,Wake,14
Nursing Home,Ongoing Outbreaks,Wake,12
Residential Care Facility,Ongoing Outbreaks,Wake,19
Nursing Home,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Chowan,1
K-12 School,,Cumberland,2
Residential Care Facility,Ongoing Outbreaks,Cumberland,4
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Nursing Home,Ongoing Outbreaks,Cumberland,5
Residential Care Facility,Ongoing Outbreaks,Halifax,1
Correctional Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,2
Residential Care Facility,Ongoing Outbreaks,Pitt,5
Nursing Home,Ongoing Outbreaks,Pitt,3
K-12 School,,Pitt,1
Residential Care Facility,Ongoing Outbreaks,Union,1
K-12 School,,Union,2
Nursing Home,Ongoing Outbreaks,Union,4
,,Jones,0
Nursing Home,Ongoing Outbreaks,Yancey,1
K-12 School,,Yancey,1
Residential Care Facility,Ongoing Outbreaks,Yancey,2
Other,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Nursing Home,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Warren,1
Nursing Home,Ongoing Outbreaks,Warren,1
