county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
MISSING COUNTY,62196,181045,187203,185910,187223,70457,70038,67890,31555,116746,115872,113155,30641,116749,70474,287066,255129,Missing,,,,,,37970,47397,,56129,232724,245822,256654,77534,263603,277105,289310,37954,47397,39837,37813,9849,48616,47310,9782,,,,,83870,7451,95686,90687,95509,153787,153587,148464,60234,141920,84780,97222,97192,92220,8211,106205,110540,110816,38136,100634
WILSON COUNTY,10944,23398,23921,23847,23959,15452,15406,15213,7748,8390,8362,8106,3166,8390,15456,46375,43889,Wilson,79,79,79,30,113,606,371,76972,13362,40620,42864,43960,13696,42776,45214,46516,606,371,651,606,315,416,371,237,63224,15337,81801,69710,12511,1996,14337,13819,14327,31528,31442,30789,11385,29659,11805,13496,13492,13026,1981,29467,30026,30048,11144,28444
TYRRELL COUNTY,496,983,1000,995,1000,905,900,889,458,95,95,94,38,95,905,2076,1988,Tyrrell,,,,,,,,3827,687,1862,1949,1989,701,1943,2033,2079,,,,,,,,,3288,810,4016,3533,175,40,184,182,184,1895,1892,1851,661,1768,150,155,155,155,39,1794,1833,1834,648,1712
WAYNE COUNTY,13788,30290,30850,30764,30914,14082,14030,13815,6271,15391,15357,15098,7255,15391,14087,66296,61400,Wayne,1377,1377,1377,262,1436,6698,5373,115046,16596,57258,60108,61462,17307,61629,64774,66470,6643,5336,6735,6530,998,5400,5242,741,94031,20802,123131,103693,18353,3408,21064,20303,21057,38671,38541,37828,12901,36746,17337,19781,19776,19121,3281,35651,36251,36281,12574,34679
MONTGOMERY COUNTY,3148,5976,6075,6053,6104,3080,3061,3008,1569,2984,2981,2957,1568,2984,3080,12676,11901,Montgomery,11,11,11,11,40,212,141,25757,4452,11394,11776,11964,4615,12098,12523,12796,212,141,295,212,120,199,141,96,21266,5743,27173,23512,2930,585,3134,3089,3134,9367,9330,9222,3910,8956,2750,2939,2939,2896,542,8739,8821,8826,3814,8503
LENOIR COUNTY,8714,16840,17085,17056,17099,9359,9348,9269,4817,7620,7602,7465,3834,7621,9359,33303,31219,Lenoir,106,106,106,63,119,472,291,52801,10736,29378,30720,31258,11009,31213,32685,33351,472,291,490,472,266,325,291,206,43423,11303,55949,47933,9579,1858,10867,10536,10863,21994,21968,21677,8885,21162,9025,10218,10216,9930,1800,20499,20712,20715,8730,20062
SCOTLAND COUNTY,4333,8914,9055,9032,9075,5079,5060,5014,2340,3939,3935,3863,1971,3939,5079,18696,17243,Scotland,37,37,37,22,57,247,168,32530,5871,16328,17019,17296,6207,17600,18397,18770,247,168,296,247,142,218,168,104,26793,6531,34823,29381,4732,1004,5390,5238,5388,13084,13061,12912,5061,12621,4314,4884,4882,4765,903,12086,12193,12194,4864,11846
ALAMANCE COUNTY,23043,55548,57630,57157,57682,26446,26086,25192,11041,31015,30902,30187,11918,31017,26449,106726,101720,Alamance,169,169,169,84,216,2029,1281,159560,27335,92793,98403,101845,28213,97040,103011,107263,2029,1281,2077,2007,903,1340,1268,695,132145,29035,169509,145046,25594,4736,28678,27562,28651,76508,76046,73420,22574,69439,24282,27191,27188,26187,4445,70935,73251,73314,22195,67243
CAMDEN COUNTY,1038,2415,2472,2458,2504,1467,1453,1417,724,792,792,785,314,792,1467,6766,5784,Camden,213,213,213,0,245,2016,1374,10327,1486,5407,5664,5796,1767,6340,6625,6816,2004,1374,2052,1933,208,1384,1320,39,8407,1833,10867,9354,835,137,901,873,898,3863,3852,3748,1422,3572,817,878,877,851,129,3439,3533,3534,1318,3270
GREENE COUNTY,2592,6667,6832,6805,6883,4272,4247,4205,1640,1761,1759,1704,676,1761,4272,15485,14004,Greene,799,799,758,276,850,3383,2516,20022,3611,12942,13670,14041,3987,14275,15087,15552,3222,2387,3433,2925,912,2551,2153,591,16884,3592,21069,18372,2620,431,3022,2952,3021,9097,9081,8913,2644,8730,2453,2840,2839,2782,413,8501,8649,8650,2607,8336
ROWAN COUNTY,14973,31207,31799,31716,31821,12819,12780,12529,6514,18447,18403,18145,8152,18447,12825,67248,62519,Rowan,533,533,533,307,549,4214,3207,133830,19260,58609,61338,62630,20045,62954,65869,67428,4214,3207,4294,4214,1734,3293,3207,1507,110729,25371,142088,122048,21175,3744,22918,22372,22907,40216,40127,39283,14567,37565,19776,21366,21364,20890,3634,37241,37948,37971,14119,35626
NORTHAMPTON COUNTY,2740,4631,4671,4665,4671,3861,3855,3833,2405,810,810,798,335,810,3861,9330,8673,Northampton,,,,,,158,72,18570,3796,8249,8545,8701,3952,8827,9165,9371,158,72,192,158,101,97,72,59,16132,5256,19483,17363,1416,349,1561,1540,1560,7618,7612,7467,3502,7253,1339,1465,1465,1451,320,7022,7136,7139,3417,6838
WILKES COUNTY,7916,15812,16152,16107,16180,6996,6955,6821,3338,9141,9137,8976,4563,9141,6998,34488,32161,Wilkes,15,15,15,15,41,313,193,64946,10982,30365,31656,32236,11434,32533,33910,34614,313,193,395,313,221,251,193,168,54628,15162,68412,59783,10346,2254,10988,10895,10983,23231,23192,22702,8959,21874,9804,10412,10411,10329,2141,21134,21557,21573,8673,20368
LINCOLN COUNTY,11530,24460,25076,24956,25096,8448,8394,8273,4187,16578,16512,16137,7322,16578,8449,45290,43188,Lincoln,50,50,50,21,69,392,246,81663,13713,40211,42170,43227,13986,42096,44191,45399,392,246,414,392,251,279,246,203,67981,15456,86111,74647,15522,2501,17586,17014,17568,27399,27330,26785,11234,26182,14599,16552,16552,16008,2471,25916,26390,26396,11039,25366
CALDWELL COUNTY,11461,21522,21904,21847,21920,12046,12009,11852,7074,9858,9838,9670,4387,9858,12046,41424,39331,Caldwell,0,0,0,0,16,334,204,78015,13986,37348,38802,39364,14264,39206,40795,41494,334,204,343,334,193,224,204,151,65842,16769,82178,71809,10975,1606,11928,11693,11920,29223,29170,28768,12465,27897,10077,10890,10888,10705,1553,27893,28239,28250,12282,27067
POLK COUNTY,1959,3768,3864,3850,3864,2451,2442,2396,1282,1413,1408,1372,677,1413,2451,9096,8614,Polk,,,,,,160,100,19940,3973,8159,8484,8651,4135,8601,8943,9163,160,100,209,160,124,130,100,88,17478,6644,20724,18752,1724,787,1879,1832,1877,7075,7059,6951,3224,6717,1650,1802,1802,1756,768,6628,6712,6719,3117,6409
SURRY COUNTY,9409,18995,19361,19299,19380,9622,9562,9366,4744,9678,9676,9568,4618,9680,9624,38231,36266,Surry,61,61,61,47,76,339,237,67979,12452,34140,35677,36296,12815,35870,37527,38373,339,237,399,339,244,244,237,192,56811,14964,71783,62223,11467,2442,12148,12039,12144,25826,25748,25149,10129,24064,10782,11412,11408,11336,2338,24104,24621,24640,9922,23121
MACON COUNTY,6947,11519,11664,11640,11683,8259,8235,8133,4937,3405,3405,3386,2010,3405,8264,22131,21132,Macon,0,0,0,0,14,475,356,34121,9255,20184,20844,21200,9470,21083,21811,22219,475,356,534,475,266,415,356,239,29260,10350,35858,31614,3056,919,3204,3168,3203,18481,18453,18168,8285,17552,2855,2994,2993,2971,898,17517,17783,17791,8118,16973
CLAY COUNTY,2080,3205,3241,3233,3241,2629,2622,2595,1721,612,611,610,359,612,2629,5524,5219,Clay,,,,,,128,64,10740,2641,5046,5166,5314,2726,5324,5455,5654,128,64,253,128,54,158,64,23,9352,3581,11231,10050,1045,347,1051,1049,1050,4350,4346,4278,2325,4151,989,995,994,993,337,4109,4161,4161,2281,3993
YADKIN COUNTY,5033,9732,9908,9881,9920,4441,4418,4350,2421,5456,5452,5371,2601,5456,4442,19693,18775,Yadkin,11,11,11,11,22,166,108,35700,6560,17708,18457,18809,6690,18518,19349,19754,166,108,190,166,116,130,108,92,29851,7711,37667,32660,5148,914,5619,5538,5617,13945,13910,13645,5660,13204,4894,5331,5330,5252,933,13097,13337,13348,5535,12706
OUT OF STATE,26040,58783,61753,60673,61763,56568,55524,53700,23323,5185,5149,5083,2717,5185,56578,122164,112122,Out of State,,,,,,,,,41974,105350,108617,112271,44696,114298,117944,123530,,,,,,,,,,,,,742,140,806,774,804,122724,121360,117170,44556,113556,942,1060,1060,1002,205,107615,111062,111211,41769,104408
ONSLOW COUNTY,15557,42233,43365,43199,43392,10314,10217,9960,4741,23540,23471,22981,9688,23540,10318,133229,119656,Onslow,9511,9511,9292,1128,9534,61162,51938,180787,19563,111889,117269,119750,20743,124097,130254,133455,60450,51516,61206,58447,2924,51969,49960,2174,149343,19026,197938,162055,27599,3354,31581,30329,31551,40668,40516,39475,14465,38051,25692,29332,29330,28275,3192,37478,38388,38449,14197,36237
RICHMOND COUNTY,5072,10390,10620,10574,10660,6849,6804,6696,3353,3717,3716,3640,1694,3717,6850,23680,21841,Richmond,54,54,54,25,93,450,324,42075,7210,20589,21491,21919,7426,22230,23252,23795,450,324,525,450,181,390,324,152,34516,8183,44829,38043,5100,772,5645,5556,5645,17625,17585,17246,6473,16680,4688,5189,5189,5112,723,16055,16328,16340,6335,15577
BUNCOMBE COUNTY,43482,109538,114217,113023,114344,64808,63929,61817,25525,49200,48885,47512,17871,49200,64837,182304,173724,Buncombe,209,209,209,86,307,7286,4379,248550,49264,159006,167629,174187,50723,166562,175691,183834,7268,4379,7372,7207,2826,4438,4339,2101,213777,53494,261191,230148,40749,8436,45483,43934,45370,130979,129648,124489,39461,118606,40253,44966,44929,43439,8674,119811,124416,124783,38489,114414
UNION COUNTY,23485,71708,76178,75450,76237,22830,22637,21649,7255,53174,52639,49885,16128,53175,22839,138728,133202,Union,174,174,174,102,223,1376,732,226508,27291,116324,127560,133357,27857,120935,132613,139215,1376,732,1414,1331,649,808,714,431,176616,31234,239859,202043,44058,4957,54978,51297,54818,82823,82534,79940,22251,75546,42631,53217,53204,49777,5029,77051,79266,79332,21831,72979
CABARRUS COUNTY,21799,65683,69284,68548,69309,25403,25043,24039,8931,43319,42943,41092,12677,43321,25406,129384,122145,Cabarrus,562,562,552,191,582,4184,2606,202607,25576,106919,116270,122258,26408,113041,122900,129950,4158,2606,4240,4049,1287,2631,2537,977,161462,29064,216453,181104,40988,4904,49344,46356,49222,76366,75978,72386,20217,68004,39666,47758,47754,45008,4876,68656,71785,71869,19723,64716
WASHINGTON COUNTY,2083,3427,3462,3455,3478,2142,2135,2116,1361,1320,1320,1311,722,1320,2143,6543,5952,Washington,0,0,0,0,15,64,40,10985,2500,5600,5853,5965,2732,6160,6425,6563,64,40,66,64,40,41,40,27,9274,2932,11580,10083,1787,515,1854,1850,1853,4643,4626,4511,2177,4309,1594,1662,1662,1657,445,4156,4250,4262,2028,3966
HARNETT COUNTY,10989,27452,28431,28248,28461,12446,12330,12021,5674,14865,14798,14382,5143,14866,12448,64155,58789,Harnett,1120,1120,1049,172,1147,7325,5199,126086,13902,52848,56854,58869,14605,57283,61824,64430,6980,5016,7406,6107,973,5238,4338,657,100990,17458,135976,112079,18264,2158,21185,20232,21143,35839,35687,34612,11474,32912,17303,19941,19934,19104,2092,32734,33656,33690,11153,31207
BURKE COUNTY,10862,22622,23190,23108,23233,11715,11648,11373,5542,11475,11460,11249,5320,11475,11715,44624,42247,Burke,0,0,0,0,43,751,448,86176,13612,39533,41500,42355,13972,41679,43771,44816,751,448,826,751,367,514,448,262,73860,18720,90485,79893,10753,1873,11861,11625,11843,32129,32030,31395,11732,30175,9971,10977,10977,10807,1809,30245,30822,30864,11541,29114
GRANVILLE COUNTY,7900,21108,21777,21641,21799,10516,10420,10111,4143,9493,9453,9229,3491,9494,10518,40482,38074,Granville,1768,1768,1768,266,1787,5392,4683,57336,9070,35126,37072,38182,9288,37191,39311,40717,5392,4683,5491,5392,613,4758,4683,533,48058,10674,60443,52711,9706,1333,10961,10618,10946,24265,24144,23301,7342,22093,9345,10510,10507,10192,1392,22197,22884,22914,7145,21098
GASTON COUNTY,24821,58736,60426,60118,60495,25958,25798,25345,11760,34159,34011,33082,12886,34159,25972,121879,113918,Gaston,309,309,309,175,364,1942,1205,211171,31902,105170,110930,114043,33287,112240,118478,122274,1942,1205,2013,1909,1014,1249,1180,694,174276,36651,224529,191721,37965,5833,43337,41860,43291,76924,76646,74676,26440,72366,35910,40935,40935,39608,5677,70117,71778,71859,25531,68080
EDGECOMBE COUNTY,6605,12742,12971,12936,13019,8609,8589,8501,4627,4271,4256,4150,1926,4271,8610,26880,24807,Edgecombe,91,91,91,52,138,876,518,48532,8254,23223,24340,24867,8666,25086,26314,26979,876,518,937,860,420,570,497,231,39904,10509,51472,43948,6705,1244,7603,7394,7598,18439,18406,18044,7002,17521,6235,7048,7048,6878,1185,16944,17241,17249,6838,16491
WATAUGA COUNTY,7179,18703,19651,19355,19653,13335,13043,12480,4939,6316,6312,6223,2240,6316,13337,33238,31379,Watauga,,,,,,133,55,54308,7806,29091,30385,31490,8195,30984,32188,33553,133,55,223,133,74,107,55,55,49022,9229,56177,51530,4628,721,4820,4796,4817,28510,28288,27259,7400,26223,4278,4457,4456,4437,682,25893,26868,26926,7069,24758
HOKE COUNTY,3573,10076,10424,10358,10451,4996,4948,4840,2171,4385,4367,4240,1264,4385,4998,26754,23342,Hoke,1043,1043,996,138,1068,6363,4520,50664,4460,20785,22475,23385,4768,23686,25687,26890,6164,4406,6412,5584,592,4534,3960,444,40282,5854,55234,44624,6158,645,7166,6872,7160,13312,13231,12651,3531,11944,5868,6776,6776,6526,617,11543,12046,12075,3399,10957
BERTIE COUNTY,2603,5275,5340,5335,5350,3844,3841,3802,1898,1496,1494,1473,705,1496,3844,10953,10161,Bertie,0,0,0,0,10,67,16,18126,3708,9675,10027,10217,3931,10407,10797,11028,67,16,133,67,20,68,16,16,15647,4479,18947,16854,1951,384,2141,2095,2141,8754,8745,8635,3527,8389,1819,1985,1985,1946,364,8065,8160,8164,3328,7840
PERSON COUNTY,6509,13615,13907,13846,13917,6820,6783,6661,3044,7031,7007,6898,3432,7031,6825,23641,22508,Person,56,56,56,33,61,441,293,37405,7447,20964,21989,22537,7593,21949,23034,23708,441,293,441,441,225,301,293,186,31361,7938,39490,34239,5724,1186,6254,6078,6250,17013,16950,16515,6182,15784,5395,5888,5886,5720,1157,15976,16329,16348,6104,15276
BEAUFORT COUNTY,8509,14728,14920,14899,14922,9759,9740,9643,5669,5074,5072,4998,2781,5074,9759,27553,25963,Beaufort,87,87,87,59,89,669,378,44735,10682,24710,25614,26068,11132,26138,27157,27635,669,378,712,669,389,473,378,242,37669,11538,46994,41131,5102,1006,5753,5661,5751,21170,21133,20827,9737,20367,4754,5325,5325,5237,964,19999,20260,20270,9476,19578
JACKSON COUNTY,5940,12788,13298,13193,13315,7062,6990,6856,3312,5000,4991,4863,2315,5000,7068,25551,23636,Jackson,1236,1212,1069,313,1247,4162,3149,42001,7087,21764,22864,23717,7338,23445,24647,25740,3810,2857,4271,3421,678,3205,2523,570,36721,8759,43938,39175,3427,613,3831,3761,3825,17638,17564,17076,6047,16597,3173,3558,3557,3496,586,16511,16930,16954,5931,16068
CATAWBA COUNTY,21757,46682,48204,47921,48253,14456,14264,13744,6966,33709,33618,32899,14765,33709,14460,91153,87229,Catawba,39,39,39,26,84,1142,689,150636,27648,80474,85125,87317,28195,83976,88851,91422,1142,689,1193,1114,499,751,678,353,124631,29156,159551,137151,29909,4646,33262,32334,33236,56967,56775,55375,23050,52953,28279,31465,31464,30613,4544,53823,55076,55101,22751,51517
WAKE COUNTY,144775,513696,551427,540489,551596,201048,194077,181001,51712,349045,345078,331361,92642,349072,201146,856919,824544,Wake,1334,1334,1334,421,1378,12144,8141,1044525,142776,715130,777361,826894,145910,742345,806769,866472,12101,8131,12217,11956,3654,8169,8040,2937,849055,133864,1111761,941934,238497,24068,285546,267671,284429,568709,560346,526997,118188,491892,234396,279448,279173,262889,24517,506341,537230,539277,115322,472694
CLEVELAND COUNTY,13119,26002,26597,26497,26639,13917,13838,13605,7000,12656,12635,12373,6105,12657,13918,52894,49774,Cleveland,24,24,24,14,64,668,399,92365,16576,46363,48816,49857,17071,49178,51825,53017,668,399,723,668,383,473,399,291,76504,18575,97947,84044,14593,2725,15989,15834,15987,36305,36239,35323,13963,33917,13496,14783,14783,14650,2633,33767,34592,34601,13652,32468
SAMPSON COUNTY,7533,16049,16396,16360,16440,9380,9349,9168,4401,6968,6963,6833,3103,6968,9383,35975,33280,Sampson,48,48,48,29,89,632,405,59389,9546,31063,32681,33348,9893,33445,35232,36043,632,405,673,632,289,460,405,208,48081,11637,63531,53473,8347,1403,9167,8973,9167,26203,26176,25627,8201,24466,7899,8653,8653,8490,1370,23786,24222,24235,7968,22759
COLUMBUS COUNTY,5513,11538,11703,11679,11723,7245,7232,7195,3319,4414,4403,4299,2175,4414,7246,25657,24005,Columbus,44,44,44,19,63,389,307,52603,7511,22574,23645,24063,7815,24030,25203,25771,389,307,475,389,233,348,307,205,44013,11419,55508,48224,6348,1257,7410,7209,7408,17886,17860,17605,6325,17293,5904,6936,6934,6762,1180,16576,16764,16779,6126,16363
CASWELL COUNTY,3050,6122,6209,6193,6226,4827,4812,4759,2447,1382,1381,1363,603,1382,4830,11512,10741,Caswell,0,0,0,0,14,179,74,21496,4147,10241,10562,10802,4373,10948,11307,11589,179,74,233,179,86,128,74,61,18383,5005,22604,19944,1676,414,1786,1763,1786,9570,9547,9365,3873,9093,1420,1519,1519,1495,294,8993,9148,9155,3792,8747
YANCEY COUNTY,2994,5432,5554,5527,5554,4985,4959,4899,2763,569,568,533,231,569,4985,9674,9171,Yancey,,,,,,136,107,17212,3865,8727,9021,9202,3994,9178,9502,9737,136,107,179,136,117,134,107,107,14782,4744,18069,15969,956,169,1108,1104,1106,8450,8432,8262,3708,8086,884,1028,1027,1023,167,7891,8037,8040,3591,7736
LEE COUNTY,7914,17840,18577,18383,18608,8043,7892,7584,3649,10429,10386,10151,4218,10429,8045,36996,34515,Lee,105,105,105,47,134,704,474,57893,9488,31330,33457,34560,9786,33402,35731,37170,704,474,722,704,275,496,474,227,47136,10404,61779,52144,10682,1499,12355,11965,12342,24093,23950,23062,8012,22016,10350,11884,11883,11557,1496,21426,22158,22180,7765,20506
