Facility_Type,Category,County,Outbreak Count
Correctional Facility,Ongoing Outbreaks,Lee,1
Nursing Home,Ongoing Outbreaks,Pamlico,1
K-12 School,,Pamlico,2
Nursing Home,Ongoing Outbreaks,Anson,2
Correctional Facility,Ongoing Outbreaks,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
Residential Care Facility,Ongoing Outbreaks,Gaston,2
Nursing Home,Ongoing Outbreaks,Gaston,8
K-12 School,,Gaston,2
Nursing Home,Ongoing Outbreaks,Stanly,4
Correctional Facility,Ongoing Outbreaks,Stanly,1
Residential Care Facility,Ongoing Outbreaks,Stanly,2
Residential Care Facility,Ongoing Outbreaks,Lincoln,3
Nursing Home,Ongoing Outbreaks,Lincoln,1
Correctional Facility,Ongoing Outbreaks,Pender,2
Nursing Home,Ongoing Outbreaks,Pender,2
Correctional Facility,Ongoing Outbreaks,Swain,1
Nursing Home,Ongoing Outbreaks,Swain,1
Correctional Facility,Ongoing Outbreaks,Cabarrus,1
Nursing Home,Ongoing Outbreaks,Cabarrus,5
Child Care,,Cabarrus,3
Residential Care Facility,Ongoing Outbreaks,Cabarrus,4
K-12 School,,Davidson,1
Residential Care Facility,Ongoing Outbreaks,Davidson,3
Nursing Home,Ongoing Outbreaks,Davidson,5
Nursing Home,Ongoing Outbreaks,Henderson,6
K-12 School,,Henderson,2
Residential Care Facility,Ongoing Outbreaks,Henderson,5
Correctional Facility,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Hertford,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Correctional Facility,Ongoing Outbreaks,Columbus,2
Nursing Home,Ongoing Outbreaks,Columbus,2
K-12 School,,Columbus,1
Residential Care Facility,Ongoing Outbreaks,Macon,1
Nursing Home,Ongoing Outbreaks,Macon,2
Residential Care Facility,Ongoing Outbreaks,Rutherford,1
Nursing Home,Ongoing Outbreaks,Rutherford,2
Residential Care Facility,Ongoing Outbreaks,Wilkes,2
Correctional Facility,Ongoing Outbreaks,Wilkes,1
Nursing Home,Ongoing Outbreaks,Wilkes,2
Correctional Facility,Ongoing Outbreaks,Pasquotank,2
Residential Care Facility,Ongoing Outbreaks,Pasquotank,2
Nursing Home,Ongoing Outbreaks,Pasquotank,2
Nursing Home,Ongoing Outbreaks,Chatham,1
Residential Care Facility,Ongoing Outbreaks,Franklin,1
Correctional Facility,Ongoing Outbreaks,Franklin,1
Nursing Home,Ongoing Outbreaks,Franklin,2
Residential Care Facility,Ongoing Outbreaks,Johnston,4
Nursing Home,Ongoing Outbreaks,Johnston,3
Correctional Facility,Ongoing Outbreaks,Johnston,1
Child Care,,Johnston,1
K-12 School,,Rowan,1
Residential Care Facility,Ongoing Outbreaks,Rowan,2
Correctional Facility,Ongoing Outbreaks,Rowan,2
Nursing Home,Ongoing Outbreaks,Rowan,5
Correctional Facility,Ongoing Outbreaks,Bladen,1
Nursing Home,Ongoing Outbreaks,Bladen,1
Correctional Facility,Ongoing Outbreaks,Guilford,2
K-12 School,,Guilford,4
Residential Care Facility,Ongoing Outbreaks,Guilford,13
Nursing Home,Ongoing Outbreaks,Guilford,16
Nursing Home,Ongoing Outbreaks,Jackson,1
,,Camden,0
Child Care,,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Nursing Home,Ongoing Outbreaks,Watauga,1
Correctional Facility,Ongoing Outbreaks,Burke,1
Nursing Home,Ongoing Outbreaks,Burke,4
K-12 School,,Burke,1
Residential Care Facility,Ongoing Outbreaks,Burke,4
K-12 School,,Stokes,1
Nursing Home,Ongoing Outbreaks,Stokes,2
Nursing Home,Ongoing Outbreaks,Brunswick,2
Residential Care Facility,Ongoing Outbreaks,Brunswick,3
Child Care,,Brunswick,2
K-12 School,,Brunswick,6
Residential Care Facility,Ongoing Outbreaks,Granville,1
Correctional Facility,Ongoing Outbreaks,Granville,2
Nursing Home,Ongoing Outbreaks,Granville,2
Correctional Facility,Ongoing Outbreaks,Bertie,1
Nursing Home,Ongoing Outbreaks,Bertie,1
K-12 School,,Bertie,1
Nursing Home,Ongoing Outbreaks,Iredell,2
K-12 School,,Iredell,2
Residential Care Facility,Ongoing Outbreaks,Iredell,2
K-12 School,,New Hanover,2
Residential Care Facility,Ongoing Outbreaks,New Hanover,3
Correctional Facility,Ongoing Outbreaks,New Hanover,2
Nursing Home,Ongoing Outbreaks,New Hanover,8
Child Care,,New Hanover,1
,,Clay,0
Residential Care Facility,Ongoing Outbreaks,Lenoir,3
Nursing Home,Ongoing Outbreaks,Lenoir,3
K-12 School,,Lenoir,4
Correctional Facility,Ongoing Outbreaks,Onslow,1
Nursing Home,Ongoing Outbreaks,Onslow,1
Residential Care Facility,Ongoing Outbreaks,Onslow,4
K-12 School,,Onslow,1
Nursing Home,Ongoing Outbreaks,Yadkin,2
K-12 School,,Yadkin,3
Nursing Home,Ongoing Outbreaks,Carteret,3
Correctional Facility,Ongoing Outbreaks,Carteret,1
Residential Care Facility,Ongoing Outbreaks,Carteret,1
Child Care,,Craven,1
Residential Care Facility,Ongoing Outbreaks,Craven,4
Nursing Home,Ongoing Outbreaks,Craven,3
Correctional Facility,Ongoing Outbreaks,Craven,2
Nursing Home,Ongoing Outbreaks,Northampton,2
Residential Care Facility,Ongoing Outbreaks,Northampton,3
Nursing Home,Ongoing Outbreaks,Sampson,1
Residential Care Facility,Ongoing Outbreaks,Sampson,1
Correctional Facility,Ongoing Outbreaks,Sampson,1
Residential Care Facility,Ongoing Outbreaks,Moore,2
Correctional Facility,Ongoing Outbreaks,Moore,1
Nursing Home,Ongoing Outbreaks,Moore,3
Nursing Home,Ongoing Outbreaks,Dare,1
Correctional Facility,Ongoing Outbreaks,Dare,1
Residential Care Facility,Ongoing Outbreaks,Dare,1
Child Care,,Mecklenburg,5
Other,Ongoing Outbreaks,Mecklenburg,1
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,14
Correctional Facility,Ongoing Outbreaks,Mecklenburg,2
Nursing Home,Ongoing Outbreaks,Mecklenburg,15
Residential Care Facility,Ongoing Outbreaks,Randolph,4
Nursing Home,Ongoing Outbreaks,Randolph,4
Correctional Facility,Ongoing Outbreaks,Randolph,1
Residential Care Facility,Ongoing Outbreaks,Cumberland,5
K-12 School,,Cumberland,3
Nursing Home,Ongoing Outbreaks,Cumberland,9
Child Care,,Cumberland,1
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Residential Care Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,1
Correctional Facility,Ongoing Outbreaks,Halifax,2
Nursing Home,Ongoing Outbreaks,Pitt,4
Residential Care Facility,Ongoing Outbreaks,Pitt,8
K-12 School,,Pitt,1
K-12 School,,Union,3
Residential Care Facility,Ongoing Outbreaks,Union,3
Correctional Facility,Ongoing Outbreaks,Union,1
Nursing Home,Ongoing Outbreaks,Union,5
,,Jones,0
Nursing Home,Ongoing Outbreaks,Yancey,1
K-12 School,,Yancey,1
Residential Care Facility,Ongoing Outbreaks,Yancey,2
Nursing Home,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Residential Care Facility,Ongoing Outbreaks,Richmond,2
Nursing Home,Ongoing Outbreaks,Warren,1
Correctional Facility,Ongoing Outbreaks,Warren,1
Residential Care Facility,Ongoing Outbreaks,Buncombe,4
K-12 School,,Buncombe,1
Correctional Facility,Ongoing Outbreaks,Buncombe,3
Nursing Home,Ongoing Outbreaks,Buncombe,15
Nursing Home,Ongoing Outbreaks,Currituck,1
Residential Care Facility,Ongoing Outbreaks,Vance,1
Nursing Home,Ongoing Outbreaks,Vance,1
Correctional Facility,Ongoing Outbreaks,Scotland,1
Nursing Home,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Hyde,1
Nursing Home,Ongoing Outbreaks,Nash,2
Correctional Facility,Ongoing Outbreaks,Nash,2
Nursing Home,Ongoing Outbreaks,Wayne,4
Residential Care Facility,Ongoing Outbreaks,Wayne,3
Correctional Facility,Ongoing Outbreaks,Wayne,2
Nursing Home,Ongoing Outbreaks,Madison,2
Correctional Facility,Ongoing Outbreaks,Tyrrell,1
Residential Care Facility,Ongoing Outbreaks,Tyrrell,1
Nursing Home,Ongoing Outbreaks,Forsyth,10
Correctional Facility,Ongoing Outbreaks,Forsyth,1
Child Care,,Forsyth,4
Residential Care Facility,Ongoing Outbreaks,Forsyth,7
Nursing Home,Ongoing Outbreaks,Duplin,1
K-12 School,,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Rockingham,2
Nursing Home,Ongoing Outbreaks,Rockingham,3
Residential Care Facility,Ongoing Outbreaks,Wake,25
Nursing Home,Ongoing Outbreaks,Wake,19
Child Care,,Wake,10
Correctional Facility,Ongoing Outbreaks,Wake,5
K-12 School,,Wake,11
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Nursing Home,Ongoing Outbreaks,Chowan,1
