Facility_Type,Category,County,Outbreak Count
K-12 School,,Onslow,1
K-12 School,,Yadkin,3
Nursing Home,Ongoing Outbreaks,Yadkin,2
Correctional Facility,Ongoing Outbreaks,Carteret,1
Residential Care Facility,Ongoing Outbreaks,Carteret,1
Nursing Home,Ongoing Outbreaks,Carteret,3
Residential Care Facility,Ongoing Outbreaks,Craven,1
Nursing Home,Ongoing Outbreaks,Craven,1
Child Care,,Craven,1
Correctional Facility,Ongoing Outbreaks,Craven,2
Nursing Home,Ongoing Outbreaks,Bertie,1
Correctional Facility,Ongoing Outbreaks,Bertie,1
K-12 School,,Bertie,1
Nursing Home,Ongoing Outbreaks,Iredell,3
Residential Care Facility,Ongoing Outbreaks,Iredell,1
K-12 School,,Iredell,2
Residential Care Facility,Ongoing Outbreaks,New Hanover,2
Child Care,,New Hanover,1
K-12 School,,New Hanover,2
Correctional Facility,Ongoing Outbreaks,New Hanover,2
Nursing Home,Ongoing Outbreaks,New Hanover,7
Residential Care Facility,Ongoing Outbreaks,Brunswick,2
Nursing Home,Ongoing Outbreaks,Brunswick,1
K-12 School,,Brunswick,6
Child Care,,Brunswick,2
Nursing Home,Ongoing Outbreaks,Granville,1
Correctional Facility,Ongoing Outbreaks,Granville,2
Residential Care Facility,Ongoing Outbreaks,Granville,1
,,Jackson,0
,,Camden,0
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Child Care,,Watauga,1
Nursing Home,Ongoing Outbreaks,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Burke,2
Correctional Facility,Ongoing Outbreaks,Burke,1
Nursing Home,Ongoing Outbreaks,Burke,4
K-12 School,,Stokes,1
Nursing Home,Ongoing Outbreaks,Stokes,2
K-12 School,,Pasquotank,1
Correctional Facility,Ongoing Outbreaks,Pasquotank,1
Residential Care Facility,Ongoing Outbreaks,Pasquotank,2
Nursing Home,Ongoing Outbreaks,Pasquotank,2
Nursing Home,Ongoing Outbreaks,Chatham,1
Correctional Facility,Ongoing Outbreaks,Franklin,1
Child Care,,Franklin,1
Nursing Home,Ongoing Outbreaks,Franklin,2
Nursing Home,Ongoing Outbreaks,Johnston,3
Residential Care Facility,Ongoing Outbreaks,Johnston,3
Correctional Facility,Ongoing Outbreaks,Johnston,1
Child Care,,Johnston,1
Residential Care Facility,Ongoing Outbreaks,Rowan,2
K-12 School,,Rowan,1
Nursing Home,Ongoing Outbreaks,Rowan,2
Correctional Facility,Ongoing Outbreaks,Rowan,2
Correctional Facility,Ongoing Outbreaks,Bladen,1
Nursing Home,Ongoing Outbreaks,Bladen,1
K-12 School,,Guilford,4
Correctional Facility,Ongoing Outbreaks,Guilford,2
Residential Care Facility,Ongoing Outbreaks,Guilford,10
Nursing Home,Ongoing Outbreaks,Guilford,15
Nursing Home,Ongoing Outbreaks,Hertford,1
Correctional Facility,Ongoing Outbreaks,Hertford,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Correctional Facility,Ongoing Outbreaks,Columbus,2
K-12 School,,Columbus,1
Nursing Home,Ongoing Outbreaks,Columbus,1
Nursing Home,Ongoing Outbreaks,Macon,2
Residential Care Facility,Ongoing Outbreaks,Macon,1
Residential Care Facility,Ongoing Outbreaks,Rutherford,1
Nursing Home,Ongoing Outbreaks,Rutherford,2
Residential Care Facility,Ongoing Outbreaks,Wilkes,2
Nursing Home,Ongoing Outbreaks,Wilkes,1
Correctional Facility,Ongoing Outbreaks,Wilkes,1
Correctional Facility,Ongoing Outbreaks,Anson,1
Nursing Home,Ongoing Outbreaks,Anson,2
Child Care,,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
Residential Care Facility,Ongoing Outbreaks,Gaston,2
Nursing Home,Ongoing Outbreaks,Gaston,4
K-12 School,,Gaston,2
Residential Care Facility,Ongoing Outbreaks,Stanly,2
Correctional Facility,Ongoing Outbreaks,Stanly,1
Nursing Home,Ongoing Outbreaks,Stanly,4
Nursing Home,Ongoing Outbreaks,Lincoln,1
Residential Care Facility,Ongoing Outbreaks,Lincoln,2
Residential Care Facility,Ongoing Outbreaks,Pender,2
Correctional Facility,Ongoing Outbreaks,Pender,2
Nursing Home,Ongoing Outbreaks,Pender,2
Nursing Home,Ongoing Outbreaks,Swain,1
Correctional Facility,Ongoing Outbreaks,Swain,1
Nursing Home,Ongoing Outbreaks,Cabarrus,3
Child Care,,Cabarrus,3
Residential Care Facility,Ongoing Outbreaks,Cabarrus,3
Residential Care Facility,Ongoing Outbreaks,Davidson,3
Nursing Home,Ongoing Outbreaks,Davidson,3
K-12 School,,Davidson,1
K-12 School,,Henderson,2
Child Care,,Henderson,1
Nursing Home,Ongoing Outbreaks,Henderson,4
Residential Care Facility,Ongoing Outbreaks,Henderson,1
