Facility_Type,Category,County,Outbreak Count
Nursing Home,Ongoing Outbreaks,Caldwell,4
Nursing Home,Ongoing Outbreaks,Davie,2
Residential Care Facility,Ongoing Outbreaks,Montgomery,2
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Nursing Home,Ongoing Outbreaks,Montgomery,1
K-12 School,,Robeson,3
Residential Care Facility,Ongoing Outbreaks,Robeson,2
Child Care,,Robeson,1
Correctional Facility,Ongoing Outbreaks,Robeson,3
Nursing Home,Ongoing Outbreaks,Robeson,3
Nursing Home,Ongoing Outbreaks,Washington,1
K-12 School,,Greene,1
Nursing Home,Ongoing Outbreaks,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,2
Nursing Home,Ongoing Outbreaks,Perquimans,1
K-12 School,,Transylvania,1
Nursing Home,Ongoing Outbreaks,Transylvania,1
Child Care,,Harnett,1
Correctional Facility,Ongoing Outbreaks,Harnett,2
Nursing Home,Ongoing Outbreaks,Harnett,1
Correctional Facility,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Nursing Home,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,Polk,1
Nursing Home,Ongoing Outbreaks,Polk,2
Residential Care Facility,Ongoing Outbreaks,Alamance,3
Child Care,,Alamance,2
Nursing Home,Ongoing Outbreaks,Alamance,5
Correctional Facility,Ongoing Outbreaks,Alamance,1
K-12 School,,Alamance,1
Nursing Home,Ongoing Outbreaks,Caswell,1
Residential Care Facility,Ongoing Outbreaks,Caswell,1
Correctional Facility,Ongoing Outbreaks,Caswell,1
Nursing Home,Ongoing Outbreaks,Edgecombe,1
Correctional Facility,Ongoing Outbreaks,Edgecombe,1
Correctional Facility,Ongoing Outbreaks,Forsyth,1
Nursing Home,Ongoing Outbreaks,Forsyth,5
K-12 School,,Forsyth,1
Residential Care Facility,Ongoing Outbreaks,Forsyth,1
Child Care,,Forsyth,1
Nursing Home,Ongoing Outbreaks,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Child Care,,Duplin,1
Nursing Home,Ongoing Outbreaks,Rockingham,4
Residential Care Facility,Ongoing Outbreaks,Rockingham,2
K-12 School,,Wake,5
Correctional Facility,Ongoing Outbreaks,Wake,5
Child Care,,Wake,8
Nursing Home,Ongoing Outbreaks,Wake,4
Residential Care Facility,Ongoing Outbreaks,Wake,4
Nursing Home,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Cumberland,3
K-12 School,,Cumberland,2
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Nursing Home,Ongoing Outbreaks,Cumberland,5
Residential Care Facility,Ongoing Outbreaks,Halifax,1
Correctional Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,2
Residential Care Facility,Ongoing Outbreaks,Pitt,4
Nursing Home,Ongoing Outbreaks,Pitt,4
K-12 School,,Pitt,1
K-12 School,,Union,2
Nursing Home,Ongoing Outbreaks,Union,2
,,Jones,0
Nursing Home,Ongoing Outbreaks,Yancey,1
K-12 School,,Yancey,1
Residential Care Facility,Ongoing Outbreaks,Yancey,2
Other,Ongoing Outbreaks,Richmond,1
K-12 School,,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Warren,1
Nursing Home,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Hyde,1
Correctional Facility,Ongoing Outbreaks,Nash,2
Nursing Home,Ongoing Outbreaks,Nash,3
Nursing Home,Ongoing Outbreaks,Wayne,2
Correctional Facility,Ongoing Outbreaks,Wayne,1
K-12 School,,Madison,1
,,Tyrrell,0
Residential Care Facility,Ongoing Outbreaks,Buncombe,2
Nursing Home,Ongoing Outbreaks,Buncombe,6
Child Care,,Buncombe,1
Correctional Facility,Ongoing Outbreaks,Buncombe,2
K-12 School,,Buncombe,1
Nursing Home,Ongoing Outbreaks,Currituck,1
Correctional Facility,Ongoing Outbreaks,Vance,1
Residential Care Facility,Ongoing Outbreaks,Northampton,2
Nursing Home,Ongoing Outbreaks,Northampton,2
Correctional Facility,Ongoing Outbreaks,Sampson,1
Residential Care Facility,Ongoing Outbreaks,Sampson,1
Other,Ongoing Outbreaks,Sampson,1
Nursing Home,Ongoing Outbreaks,Moore,3
Residential Care Facility,Ongoing Outbreaks,Moore,1
,,Dare,0
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,3
Child Care,,Mecklenburg,3
Correctional Facility,Ongoing Outbreaks,Mecklenburg,1
Nursing Home,Ongoing Outbreaks,Mecklenburg,7
Residential Care Facility,Ongoing Outbreaks,Randolph,1
Correctional Facility,Ongoing Outbreaks,Randolph,1
Nursing Home,Ongoing Outbreaks,Randolph,2
,,Clay,0
Nursing Home,Ongoing Outbreaks,Lenoir,2
Residential Care Facility,Ongoing Outbreaks,Lenoir,2
Correctional Facility,Ongoing Outbreaks,Onslow,1
Residential Care Facility,Ongoing Outbreaks,Onslow,1
Nursing Home,Ongoing Outbreaks,Yadkin,2
K-12 School,,Yadkin,3
Nursing Home,Ongoing Outbreaks,Carteret,3
Residential Care Facility,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Carteret,1
Correctional Facility,Ongoing Outbreaks,Craven,2
Residential Care Facility,Ongoing Outbreaks,Craven,2
Residential Care Facility,Ongoing Outbreaks,Brunswick,1
Residential Care Facility,Ongoing Outbreaks,Granville,1
Correctional Facility,Ongoing Outbreaks,Granville,2
Correctional Facility,Ongoing Outbreaks,Bertie,1
Nursing Home,Ongoing Outbreaks,Bertie,1
K-12 School,,Iredell,2
Nursing Home,Ongoing Outbreaks,Iredell,1
Nursing Home,Ongoing Outbreaks,New Hanover,1
Correctional Facility,Ongoing Outbreaks,New Hanover,2
Residential Care Facility,Ongoing Outbreaks,New Hanover,2
K-12 School,,New Hanover,1
Other,Ongoing Outbreaks,New Hanover,1
