First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Race,Age Group,Second Doses ~ Percent of Total,Data Format
,,Missing or Undisclosed,,Martin ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
,0.0048951048951048955,Missing or Undisclosed,,Caswell ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.008952551477170993,County
0.01105311636475284,0.004492138757174944,Missing or Undisclosed,0.004298434141848327,Beaufort ,Age Group,Missing or Undisclosed,Missing or Undisclosed,18-24,0.00717948717948718,County
0.00016849199663016007,8.842514811212309e-05,Missing or Undisclosed,0.00016849199663016007,Randolph ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0001825817053131276,County
0.049961715160796324,0.10271546635182999,Missing or Undisclosed,0.024119448698315466,Warren ,Age Group,Missing or Undisclosed,Missing or Undisclosed,25-49,0.22702702702702704,County
0.006355932203389831,0.003761755485893417,Missing or Undisclosed,0.0031779661016949155,Mitchell ,Age Group,Missing or Undisclosed,Missing or Undisclosed,18-24,0.00487012987012987,County
,,Missing or Undisclosed,,Wayne ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.1091500561897439,0.6353370515733664,Female,0.0688472230437097,Cumberland ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.6239948536506915,County
0.00034965034965034965,0.00015356265356265356,Missing or Undisclosed,0.0,Rowan ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.11071897570584373,0.046443572264683604,Missing or Undisclosed,0.0765758371634931,Cumberland ,Race,Missing or Undisclosed,Asian or Pacific Islander,Missing or Undisclosed,0.05001608234158894,County
,,Missing or Undisclosed,,Avery ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.1743813792324206,0.9830148619957537,Missing or Undisclosed,0.0612406312379948,Currituck ,Ethnicity,Non-Hispanic,Missing or Undisclosed,Missing or Undisclosed,0.9860521528198908,County
0.4572450248756219,0.3703563782898879,Missing or Undisclosed,0.17723880597014927,Granville ,Age Group,Missing or Undisclosed,Missing or Undisclosed,65-74,0.27450036118468574,County
,0.0014290818149339049,Missing or Undisclosed,,Henderson ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0016330974414806752,County
0.01669213588809216,0.03256133914239853,Missing or Undisclosed,0.00940402021864347,Onslow ,Ethnicity,Hispanic,Missing or Undisclosed,Missing or Undisclosed,0.039170882976987106,County
,,Missing or Undisclosed,,Warren ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Suppressed,,County
0.4244518589132507,0.35330291608807773,Missing or Undisclosed,0.16944709246901812,Edgecombe ,Age Group,Missing or Undisclosed,Missing or Undisclosed,75+,0.4903448275862069,County
0.12088609959281259,0.12843818217900377,Missing or Undisclosed,0.08065299413500691,Orange ,Age Group,Missing or Undisclosed,Missing or Undisclosed,50-64,0.1556484752361041,County
0.030312069756769162,0.1014281326781327,Missing or Undisclosed,0.02010096374483708,Rowan ,Age Group,Missing or Undisclosed,Missing or Undisclosed,25-49,0.16303740926856505,County
,0.0018850141376060322,Missing or Undisclosed,,Hyde ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.005063291139240506,County
0.04301786896095301,0.1045016077170418,Missing or Undisclosed,0.02157511581733951,Montgomery ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,25-49,0.14450354609929078,County
,0.0001032844453625284,Missing or Undisclosed,,Cumberland ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.05907011070110701,0.11664464480024872,Missing or Undisclosed,0.04019680196801968,Guilford ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,50-64,0.1529332484744113,County
0.1188752217278781,0.9786928417524539,Missing or Undisclosed,0.0367268603332461,Macon ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.9745370370370371,County
,0.057865829737151826,Missing or Undisclosed,,Duplin ,Race,Missing or Undisclosed,Other,Missing or Undisclosed,0.08922558922558922,County
,0.012137931034482758,Missing or Undisclosed,,Hoke ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0030864197530864196,County
,0.0068140520896426415,Missing or Undisclosed,,Watauga ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0027397260273972603,County
,,Missing or Undisclosed,,Franklin ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.11910162704080204,0.9906825064057768,Missing or Undisclosed,0.05502814416533647,Alexander ,Ethnicity,Non-Hispanic,Missing or Undisclosed,Missing or Undisclosed,0.9929257200606367,County
0.059345446817553923,0.18993368474749192,Missing or Undisclosed,0.031346296886622035,Rutherford ,Age Group,Missing or Undisclosed,Missing or Undisclosed,25-49,0.26624548736462095,County
,0.002125850340136054,Missing or Undisclosed,,Franklin ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.002568218298555377,County
,,Missing or Undisclosed,,Wake ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.0016778523489932886,0.00023621117278847288,Missing or Undisclosed,0.0008389261744966443,Haywood ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0002472799208704253,County
0.02669522946362363,0.023151125401929262,Missing or Undisclosed,0.01573700255417319,Henderson ,Ethnicity,Hispanic,Missing or Undisclosed,Missing or Undisclosed,0.025993467610234078,County
,0.00016966406515100103,Missing or Undisclosed,,Richmond ,Race,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.5194556822361163,0.3243094303230695,Missing or Undisclosed,0.16215520411916146,Durham ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,65-74,0.18847518488436713,County
0.4576919207163699,0.41749265785609396,Missing or Undisclosed,0.2062581748666868,Caldwell ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,65-74,0.33000643915003225,County
,0.0021536252692031586,Missing or Undisclosed,,Brunswick ,Ethnicity,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.43809313617303025,0.45340338053905893,Missing or Undisclosed,0.1762304127124255,Wilson ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,65-74,0.37470671046457066,County
,0.00013659336156262805,Missing or Undisclosed,,Wilkes ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
,0.002276662605015071,Missing or Undisclosed,,Missing ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0005925048141016146,County
,0.00027148092846477533,Missing or Undisclosed,,Lenoir ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.07557717438652534,0.4126858275520317,Male,0.02366777987512705,Columbus ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.3650615901455767,County
,,Missing or Undisclosed,,Beaufort ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.5711864406779661,0.47149352920601606,Missing or Undisclosed,0.03983050847457627,Avery ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,65-74,0.08909952606635071,County
,0.002253267237494367,Missing or Undisclosed,,Bladen ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00117096018735363,County
0.4341174220692293,0.3555207517619421,Missing or Undisclosed,0.1417096959265634,Davie ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,65-74,0.20838020247469063,County
0.16052263182454504,0.28406275805119735,Missing or Undisclosed,0.021931871208586095,Clay ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,65-74,0.17602996254681647,County
0.03136762860727729,0.012690355329949238,Missing or Undisclosed,0.0075282308657465494,Gates ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,18-24,0.0091324200913242,County
0.4807511737089202,0.3153356600287415,Missing or Undisclosed,0.3458528951486698,Person ,Age Group,Missing or Undisclosed,Missing or Undisclosed,75+,0.4379706698374951,County
0.04379341588643914,0.09090909090909091,Missing or Undisclosed,0.012684989429175475,Mitchell ,Age Group,Missing or Undisclosed,Missing or Undisclosed,50-64,0.06818181818181818,County
,0.0027772267407260463,Missing or Undisclosed,,Edgecombe ,Ethnicity,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0013793103448275863,County
,,Missing or Undisclosed,,Scotland ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.21943289627971432,0.9734011112424636,Missing or Undisclosed,0.11272785417332908,Pasquotank ,Ethnicity,Non-Hispanic,Missing or Undisclosed,Missing or Undisclosed,0.9841786877617497,County
0.05999915672302568,0.07950609006592915,Missing or Undisclosed,0.0214613989965004,Iredell ,Race,Missing or Undisclosed,Black or African-American,Missing or Undisclosed,0.05959489521133357,County
,0.0011123470522803114,Missing or Undisclosed,,Swain ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.004672897196261683,County
0.507195477128662,0.32265271647321675,Missing or Undisclosed,0.3908685968819599,Cabarrus ,Age Group,Missing or Undisclosed,Missing or Undisclosed,75+,0.4318568994889267,County
,,Missing or Undisclosed,,Transylvania ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.358654399079931,0.33987248651299656,Missing or Undisclosed,0.12041403105232892,Cabarrus ,Age Group,Missing or Undisclosed,Missing or Undisclosed,65-74,0.19818285065303806,County
0.0683982683982684,0.0049123243377689335,Missing or Undisclosed,0.03722943722943723,Moore ,Race,Missing or Undisclosed,American Indian or Alaskan Native,Missing or Undisclosed,0.005185095863981672,County
,,Missing or Undisclosed,,Buncombe ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
,0.0321514204751871,Missing or Undisclosed,,Buncombe ,Race,Missing or Undisclosed,Other,Missing or Undisclosed,0.023671281822242072,County
0.29700093206864414,0.35807773664727655,Missing or Undisclosed,0.10203410274686112,Davidson ,Age Group,Missing or Undisclosed,Missing or Undisclosed,65-74,0.20358822885898697,County
0.023501762632197415,0.0017497812773403323,Missing or Undisclosed,0.011750881316098707,Burke ,Race,Missing or Undisclosed,American Indian or Alaskan Native,Missing or Undisclosed,0.0017853954650955185,County
,0.8269736420188546,Missing or Undisclosed,,Missing ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.8466153162494445,County
0.16850937034423272,0.9125265392781317,Missing or Undisclosed,0.05924096291068768,Currituck ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.916312916919345,County
0.0019015021867275148,0.0005449294316386028,Missing or Undisclosed,0.0007606008746910059,Cabarrus ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0003785727806170736,County
0.012042389210019268,0.009819324430479183,Missing or Undisclosed,0.007586705202312138,Nash ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,18-24,0.01549053356282272,County
,0.03335362142422398,Missing or Undisclosed,,Lincoln ,Race,Missing or Undisclosed,Other,Missing or Undisclosed,0.03697047496790758,County
0.10581886438291882,0.17122247532270313,Missing or Undisclosed,0.031675269826372594,Greene ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,50-64,0.20239880059970014,County
0.05641025641025641,0.12706270627062705,Missing or Undisclosed,0.02564102564102564,Tyrrell ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,25-49,0.15695067264573992,County
,0.00043817369205152924,Missing or Undisclosed,,Harnett ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.11838810847850724,0.9608556149732621,Missing or Undisclosed,0.03497351290093034,Jackson ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.9581227436823104,County
,0.00029146587906109126,Missing or Undisclosed,,Guilford ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00018718879862229045,County
0.11035170533874078,0.8518784643810307,Missing or Undisclosed,0.03857456286151187,Cleveland ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.8885145482388974,County
,0.0004542701393095094,Missing or Undisclosed,,Watauga ,Race,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.000273972602739726,County
,0.5705124094144808,Female,,Missing ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.5835431787883276,County
0.13697878566203364,0.4059620596205962,Male,0.036393562545720556,Washington ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.4086242299794661,County
,0.0007695760918360803,Missing or Undisclosed,,Missing ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00081469411938972,County
0.07253131371977863,0.08663883089770355,Missing or Undisclosed,0.03029420332071075,Perquimans ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,25-49,0.08973252804141502,County
0.46706894338169214,0.3120068610634648,Missing or Undisclosed,0.31852612658877905,Robeson ,Age Group,Missing or Undisclosed,Missing or Undisclosed,75+,0.37241068748123685,County
0.149848335377041,0.6888323797414707,Missing or Undisclosed,0.08043295870481178,Pitt ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.7687698272823406,County
0.09089985135873363,0.7084859887117536,Missing or Undisclosed,0.04535464281630734,Wayne ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.8027883966719136,County
0.07100149476831091,0.1884920634920635,Missing or Undisclosed,0.022688447576339952,Franklin ,Race,Missing or Undisclosed,Black or African-American,Missing or Undisclosed,0.13643659711075443,County
0.11383702482005682,0.39157648074492024,Male,0.06370391617292472,New Hanover ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.38522413138923517,County
0.01733005366726297,0.016692692908297883,Missing or Undisclosed,0.00944767441860465,Alamance ,Age Group,Missing or Undisclosed,Missing or Undisclosed,18-24,0.018876354294649837,County
0.05873099108547457,0.10803858520900322,Missing or Undisclosed,0.03128823632232127,Montgomery ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,50-64,0.15868794326241134,County
0.06438810500871325,0.3831922652303369,Male,0.030934847377592896,Mecklenburg ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.37328720662054,County
0.022827687776141383,0.009766855702583491,Missing or Undisclosed,0.009572901325478646,Cherokee ,Race,Missing or Undisclosed,Suppressed,Missing or Undisclosed,0.009318996415770608,County
,0.0007889546351084812,Missing or Undisclosed,,Polk ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.001182033096926714,County
,0.0005933460478915024,Missing or Undisclosed,,Pitt ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.08835141501609103,0.3950452455125352,Male,0.046946020370923325,Lee ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.37733333333333335,County
,0.0005305508886727386,Missing or Undisclosed,,Randolph ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.13614258230012827,0.8263725569702376,Missing or Undisclosed,0.06972798204360837,Craven ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.8659366185498589,County
0.0005945303210463733,0.00027586206896551725,Missing or Undisclosed,0.0005945303210463733,Hoke ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0006172839506172839,County
0.1795998787511367,0.2515923566878981,Missing or Undisclosed,0.06153379812064262,Currituck ,Age Group,Missing or Undisclosed,Missing or Undisclosed,50-64,0.2462098241358399,County
0.07143077921676506,0.39296038088760415,Male,0.026736315024881774,Rutherford ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.39034296028880866,County
,0.0006664198445020362,Missing or Undisclosed,,Chatham ,Ethnicity,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00015948963317384372,County
,,Missing or Undisclosed,,Person ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
,0.00021231422505307856,Missing or Undisclosed,,Currituck ,Race,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
,0.0010516168609236703,Missing or Undisclosed,,Harnett ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0014700477765527378,County
0.03403675970047652,0.011970313622216903,Missing or Undisclosed,0.011572498298162015,Macon ,Race,Missing or Undisclosed,Suppressed,Missing or Undisclosed,0.013117283950617283,County
0.08513962116774068,0.152580927384077,Missing or Undisclosed,0.051894161296621756,Burke ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,50-64,0.18978753793965364,County
0.045868990197603855,0.03384537668480632,Missing or Undisclosed,0.03149214252372802,Durham ,Age Group,Missing or Undisclosed,Missing or Undisclosed,18-24,0.04326080451417091,County
,0.0001417233560090703,Missing or Undisclosed,,Franklin ,Race,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.00032102728731942215,County
,0.00010453690152623876,Missing or Undisclosed,,Carteret ,Race,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
,0.0027186225645672857,Missing or Undisclosed,,Yadkin ,Ethnicity,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.08930500540151243,0.3872704754725109,Male,0.04211937963319384,Alamance ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.378867418742321,County
0.4093680709534368,0.4653434152488973,Missing or Undisclosed,0.19539911308203992,Cherokee ,Age Group,Missing or Undisclosed,Missing or Undisclosed,75+,0.5053763440860215,County
,0.00619962802231866,Missing or Undisclosed,,Martin ,Ethnicity,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.08257703081232493,0.15130363375076986,Missing or Undisclosed,0.0515406162464986,Person ,Age Group,Missing or Undisclosed,Missing or Undisclosed,50-64,0.1823226317875545,County
,0.019918973666441592,Missing or Undisclosed,,Catawba ,Race,Missing or Undisclosed,Other,Missing or Undisclosed,0.018677483256296576,County
0.116796375885701,0.9368739808991382,Missing or Undisclosed,0.05494250203275642,Alexander ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.9560384032339565,County
,0.008191556395715185,Missing or Undisclosed,,Cherokee ,Race,Missing or Undisclosed,Other,Missing or Undisclosed,0.01003584229390681,County
,,Missing or Undisclosed,,Beaufort ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
,,Missing or Undisclosed,,Lee ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.1508964143426295,1.0,Missing or Undisclosed,0.05552788844621514,Tyrrell ,Ethnicity,Suppressed,Missing or Undisclosed,Missing or Undisclosed,1.0,County
,0.0007804370447450572,Missing or Undisclosed,,Bertie ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
0.1269693658099181,0.6099169660208469,Female,0.05670792790142137,Wake ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.6281524016450686,County
,,Missing or Undisclosed,,Iredell ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
0.07393715341959335,0.005037148973680896,Missing or Undisclosed,0.04990757855822551,Granville ,Race,Missing or Undisclosed,Asian or Pacific Islander,Missing or Undisclosed,0.00650132434384782,County
0.06991694823450517,0.8287854467629749,Missing or Undisclosed,0.033220706197931445,Onslow ,Race,Missing or Undisclosed,White,Missing or Undisclosed,0.8408682879059899,County
0.08333333333333333,0.22803717135086127,Missing or Undisclosed,0.060638438856309845,Forsyth ,Age Group K-12,Missing or Undisclosed,Missing or Undisclosed,25-49,0.3032097742803893,County
0.06730984967466906,0.11806375442739078,Missing or Undisclosed,0.02355844738613417,Warren ,Age Group,Missing or Undisclosed,Missing or Undisclosed,50-64,0.1891891891891892,County
,0.001061101777345477,Missing or Undisclosed,,Randolph ,Ethnicity,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0003651634106262552,County
,,Missing or Undisclosed,,Buncombe ,Age Group,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,,County
,0.0011210762331838565,Missing or Undisclosed,,Camden ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.0,County
,0.006166495375128469,Missing or Undisclosed,,Ashe ,Gender,Missing or Undisclosed,Missing or Undisclosed,Missing or Undisclosed,0.008537886872998933,County
