Facility_Type,Category,County,Outbreak Count
Correctional Facility,Ongoing Outbreaks,Columbus,1
Residential Care Facility,Ongoing Outbreaks,Macon,2
Nursing Home,Ongoing Outbreaks,Macon,2
Nursing Home,Ongoing Outbreaks,Rutherford,1
Nursing Home,Ongoing Outbreaks,Wilkes,1
Child Care,,Wilkes,1
Residential Care Facility,Ongoing Outbreaks,Jackson,1
,,Camden,0
Nursing Home,Ongoing Outbreaks,Watauga,1
Child Care,,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Correctional Facility,Ongoing Outbreaks,Watauga,1
Other,Ongoing Outbreaks,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Burke,2
Nursing Home,Ongoing Outbreaks,Burke,1
Residential Care Facility,Ongoing Outbreaks,Stokes,1
K-12 School,,Stokes,1
Residential Care Facility,Ongoing Outbreaks,Pasquotank,1
Nursing Home,Ongoing Outbreaks,Chatham,1
Nursing Home,Ongoing Outbreaks,Franklin,1
Correctional Facility,Ongoing Outbreaks,Franklin,2
K-12 School,,Franklin,1
Correctional Facility,Ongoing Outbreaks,Johnston,1
Child Care,,Johnston,1
Residential Care Facility,Ongoing Outbreaks,Johnston,1
Nursing Home,Ongoing Outbreaks,Johnston,3
Nursing Home,Ongoing Outbreaks,Rowan,1
Correctional Facility,Ongoing Outbreaks,Rowan,1
K-12 School,,Rowan,1
Residential Care Facility,Ongoing Outbreaks,Rowan,1
K-12 School,,Bladen,1
Residential Care Facility,Ongoing Outbreaks,Guilford,5
Nursing Home,Ongoing Outbreaks,Guilford,8
Child Care,,Guilford,2
Other,Ongoing Outbreaks,Guilford,1
K-12 School,,Guilford,1
,,Martin,0
Residential Care Facility,Ongoing Outbreaks,Orange,2
Correctional Facility,Ongoing Outbreaks,Beaufort,1
Nursing Home,Ongoing Outbreaks,Beaufort,1
,,Cleveland,0
,,Mitchell,0
Nursing Home,Ongoing Outbreaks,Caldwell,1
K-12 School,,Caldwell,1
Nursing Home,Ongoing Outbreaks,Davie,2
Residential Care Facility,Ongoing Outbreaks,Davie,1
Residential Care Facility,Ongoing Outbreaks,Montgomery,2
Correctional Facility,Ongoing Outbreaks,Montgomery,1
Residential Care Facility,Ongoing Outbreaks,Robeson,2
Correctional Facility,Ongoing Outbreaks,Robeson,1
,,Washington,0
Nursing Home,Ongoing Outbreaks,Greene,1
K-12 School,,Greene,2
Residential Care Facility,Ongoing Outbreaks,Greene,1
Correctional Facility,Ongoing Outbreaks,Greene,3
,,Perquimans,0
K-12 School,,Transylvania,1
Correctional Facility,Ongoing Outbreaks,Harnett,1
Nursing Home,Ongoing Outbreaks,Harnett,1
Correctional Facility,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Nursing Home,Ongoing Outbreaks,McDowell,1
Nursing Home,Ongoing Outbreaks,Polk,1
Residential Care Facility,Ongoing Outbreaks,Alamance,1
Nursing Home,Ongoing Outbreaks,Caswell,1
Correctional Facility,Ongoing Outbreaks,Caswell,1
Correctional Facility,Ongoing Outbreaks,Edgecombe,1
Correctional Facility,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Catawba,1
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Nursing Home,Ongoing Outbreaks,Haywood,2
Correctional Facility,Ongoing Outbreaks,Haywood,1
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Child Care,,Lee,1
Nursing Home,Ongoing Outbreaks,Lee,2
Correctional Facility,Ongoing Outbreaks,Pamlico,1
,,Avery,0
,,Graham,0
Nursing Home,Ongoing Outbreaks,Surry,2
K-12 School,,Surry,1
Residential Care Facility,Ongoing Outbreaks,Surry,1
K-12 School,,Alleghany,1
Nursing Home,Ongoing Outbreaks,Alleghany,1
Residential Care Facility,Ongoing Outbreaks,Durham,1
Nursing Home,Ongoing Outbreaks,Durham,3
Nursing Home,Ongoing Outbreaks,Person,1
Child Care,,Person,2
K-12 School,,Person,1
