county1,New Booster Doses - All Programs12Plus,New Booster Doses - All Programs5Plus,New Booster Doses - All Programs65Plus,New Booster Doses - All Programs18Plus,New Booster Doses- All Programs,Bivalent NC Dose - 5 Plus,Bivalent NC Dose - 12 Plus,Bivalent NC Dose - 18 Plus,Bivalent NC Dose - 65 Plus,Bivalent NC Dose,Bivalent LTC Dose,Bivalent LTC Dose  - 5 Plus,Bivalent LTC Dose  - 12 Plus,Bivalent LTC Dose  - 18 Plus,Bivalent LTC Dose  - 65 Plus,At Least One Booster/Additional Dose - All Providers - 65Plus,Additional Doses - NC,Additional Doses - Pharmacy,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,Additional Doses - 5Plus,Additional Doses - 12Plus,Additional Doses - 18Plus,Additional Doses - 65Plus,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,county-1,Additional Booster Doses,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
MISSING COUNTY,26056,26056,13024,25536,26056,12837,12837,12541,7742,12837,13219,13219,13219,12995,5282,82296,71963,116092,71945,71474,69380,32496,116089,115163,112507,30613,116092,71963,216857,221607,223004,224149,289525,57939,235558,248622,259453,79172,266232,279754,292296,Missing,34970,34970,34970,19187,36094,188034,186637,181887,63109,38005,47427,,37988,47427,40358,37845,9849,48826,47338,9783,,,,,MISSING COUNTY,188055,84087,7590,95788,90922,95613,156150,155907,150844,61733,144300,85019,97404,97371,92470,8329,108725,112942,113223,39827,103201
WILSON COUNTY,2433,2433,1460,2403,2433,1842,1842,1828,1165,1842,591,591,591,575,295,11093,15633,8419,15629,15566,15372,7863,8419,8387,8140,3196,8419,15633,23598,24039,24134,24171,46573,13489,40804,43060,44144,13824,42974,45425,46733,Wilson,86,86,86,34,119,24048,23953,23512,11059,609,371,76972,609,371,654,609,316,417,371,237,63224,15337,81801,69710,WILSON COUNTY,24052,12594,2021,14406,13897,14396,31673,31568,30919,11487,29771,11882,13560,13556,13099,2009,29590,30143,30167,11243,28551
TYRRELL COUNTY,70,70,48,69,70,65,65,64,45,65,5,5,5,5,3,506,912,95,912,908,896,467,95,95,94,39,95,912,990,1003,1007,1007,2077,696,1867,1955,1993,709,1944,2035,2080,Tyrrell,,,,,,1007,1003,990,506,,,3827,,,,,,,,,3288,810,4016,3533,TYRRELL COUNTY,1007,174,40,183,181,183,1897,1894,1854,669,1770,150,155,155,155,39,1800,1837,1838,657,1717
WAYNE COUNTY,1949,1949,1015,1914,1949,708,708,704,369,708,1241,1241,1241,1210,646,13996,14273,15450,14268,14203,13998,6409,15450,15414,15158,7323,15450,14273,30551,31012,31113,31181,66498,16743,57465,60277,61668,17471,61838,64941,66713,Wayne,1395,1395,1395,264,1458,29718,29617,29156,13732,6722,5386,115046,6667,5349,6760,6554,1010,5413,5255,745,94031,20802,123131,103693,WAYNE COUNTY,29723,18454,3461,21141,20386,21134,38812,38642,37888,13000,36830,17432,19870,19860,19208,3330,35720,36347,36385,12668,34778
MONTGOMERY COUNTY,488,488,285,474,488,267,267,253,151,267,221,221,221,221,134,3172,3107,2989,3107,3079,3020,1581,2989,2986,2962,1579,2989,3107,6004,6087,6118,6139,12688,4469,11389,11778,11986,4635,12096,12524,12821,Montgomery,22,22,22,12,43,6096,6065,5982,3160,214,142,25757,214,142,297,214,122,200,142,97,21266,5743,27173,23512,MONTGOMERY COUNTY,6096,2941,593,3139,3096,3139,9385,9335,9214,3920,8941,2760,2945,2945,2903,550,8733,8826,8841,3822,8487
LENOIR COUNTY,1131,1131,670,1111,1131,496,496,489,302,496,635,635,635,622,368,8841,9444,7657,9444,9426,9346,4887,7656,7638,7505,3891,7657,9444,16958,17171,17207,17221,33406,10849,29485,30806,31362,11134,31335,32784,33462,Lenoir,107,107,107,63,120,17100,17064,16851,8778,475,291,52801,475,291,493,475,268,325,291,206,43423,11303,55949,47933,LENOIR COUNTY,17101,9661,1905,10938,10605,10933,22031,21998,21704,8961,21199,9087,10271,10268,9978,1844,20537,20759,20766,8799,20107
SCOTLAND COUNTY,477,477,274,469,477,100,100,97,34,100,377,377,377,372,240,4394,5133,3956,5133,5111,5061,2376,3956,3952,3886,1993,3956,5133,8995,9111,9137,9149,18746,5932,16381,17065,17356,6278,17654,18447,18829,Scotland,48,48,48,25,60,9089,9063,8947,4369,252,169,32530,252,169,302,252,144,219,169,104,26793,6531,34823,29381,SCOTLAND COUNTY,9089,4756,1014,5400,5251,5397,13127,13097,12944,5120,12646,4342,4898,4896,4780,911,12116,12235,12239,4917,11870
ALAMANCE COUNTY,5353,5353,2965,5219,5353,2185,2185,2111,1384,2185,3168,3168,3168,3108,1581,23317,26792,31123,26789,26337,25415,11170,31121,31002,30312,12059,31123,26792,55903,57515,58086,58137,107097,27611,93111,98706,102263,28535,97425,103368,107792,Alamance,176,176,176,88,222,57910,57339,55727,23229,2071,1289,159560,2071,1289,2142,2048,936,1358,1276,697,132145,29035,169509,145046,ALAMANCE COUNTY,57915,25704,4792,28752,27652,28727,76898,76299,73645,22807,69673,24403,27277,27273,26288,4502,71129,73502,73628,22412,67432
CAMDEN COUNTY,169,169,97,164,169,67,67,62,31,67,102,102,102,102,66,1055,1475,795,1475,1459,1425,731,795,795,788,324,795,1475,2438,2479,2495,2520,6798,1502,5429,5682,5816,1789,6367,6652,6850,Camden,225,225,225,0,250,2270,2254,2213,1055,2033,1388,10327,2018,1388,2071,1946,211,1398,1333,41,8407,1833,10867,9354,CAMDEN COUNTY,2270,843,139,908,880,905,3871,3860,3754,1439,3578,822,881,880,854,130,3440,3536,3537,1331,3274
GREENE COUNTY,584,584,309,565,584,459,459,444,249,459,125,125,125,121,60,2612,4300,1763,4300,4266,4227,1649,1763,1761,1709,682,1763,4300,6708,6844,6892,6944,15544,3643,13013,13735,14116,4027,14344,15148,15633,Greene,829,817,772,281,881,6063,6027,5936,2331,3413,2541,20022,3250,2407,3474,2949,924,2576,2169,596,16884,3592,21069,18372,GREENE COUNTY,6063,2639,436,3027,2960,3026,9132,9105,8938,2667,8756,2472,2847,2846,2790,418,8538,8688,8693,2629,8372
ROWAN COUNTY,2476,2476,1439,2454,2476,500,500,494,312,500,1976,1976,1976,1960,1127,15074,12744,18527,12738,12696,12454,6479,18527,18486,18235,8284,18527,12744,31230,31723,31806,31829,67422,19365,58694,61392,62703,20200,63159,66047,67638,Rowan,541,541,541,311,558,31265,31182,30689,14763,4238,3213,133830,4238,3213,4347,4238,1750,3300,3213,1509,110729,25371,142088,122048,ROWAN COUNTY,31271,21273,3816,23007,22465,22996,40284,40188,39344,14634,37648,19879,21455,21452,20983,3711,37196,37911,37948,14145,35602
NORTHAMPTON COUNTY,448,448,332,446,448,416,416,414,316,416,32,32,32,32,16,2758,3872,810,3872,3863,3838,2415,810,810,798,343,810,3872,4636,4673,4682,4682,9319,3806,8233,8528,8690,3964,8806,9148,9364,Northampton,,,,,,4682,4673,4636,2758,159,72,18570,159,72,194,159,102,97,72,59,16132,5256,19483,17363,NORTHAMPTON COUNTY,4682,1420,353,1563,1543,1562,7607,7598,7446,3509,7227,1348,1470,1470,1456,325,7000,7120,7123,3422,6813
WILKES COUNTY,1645,1645,989,1624,1645,683,683,670,402,683,962,962,962,954,587,8001,7011,9165,7009,6963,6834,3364,9165,9161,9007,4621,9165,7011,15857,16140,16190,16219,34605,11056,30451,31741,32308,11528,32666,34047,34735,Wilkes,16,16,16,16,43,16174,16124,15841,7985,316,193,64946,316,193,398,316,224,251,193,168,54628,15162,68412,59783,WILKES COUNTY,16176,10407,2283,11048,10959,11043,23289,23246,22772,9021,21943,9849,10456,10453,10375,2169,21173,21585,21601,8719,20409
LINCOLN COUNTY,2354,2354,1374,2327,2354,503,503,496,282,503,1851,1851,1851,1831,1092,11601,8343,16693,8342,8282,8166,4125,16693,16616,16252,7455,16693,8343,24468,24948,25085,25106,45082,13655,40070,41988,43055,13931,41932,43982,45209,Lincoln,50,50,50,21,70,25035,24898,24418,11580,394,246,81663,394,246,416,394,252,279,246,203,67981,15456,86111,74647,LINCOLN COUNTY,25036,15598,2560,17626,17055,17607,27167,27081,26533,11119,25940,14690,16608,16607,16070,2526,25672,26159,26168,10926,25134
CALDWELL COUNTY,1868,1868,1165,1841,1868,831,831,815,540,831,1037,1037,1037,1026,625,11549,12068,9884,12068,12023,11871,7109,9884,9856,9694,4440,9884,12068,21565,21879,21952,21969,41492,14102,37423,38873,39444,14375,39291,40871,41584,Caldwell,0,0,0,0,17,21952,21879,21565,11549,338,204,78015,338,204,357,338,195,224,204,151,65842,16769,82178,71809,CALDWELL COUNTY,21952,11031,1646,11976,11745,11966,29251,29188,28788,12534,27922,10114,10922,10920,10740,1594,27929,28287,28298,12357,27105
POLK COUNTY,524,524,332,517,524,386,386,380,250,386,138,138,138,137,82,1968,2427,1417,2427,2413,2367,1282,1417,1413,1376,686,1417,2427,3743,3826,3844,3844,9034,3944,8081,8406,8572,4129,8544,8885,9097,Polk,,,,,,3844,3826,3743,1968,172,100,19940,172,100,213,172,136,131,100,88,17478,6644,20724,18752,POLK COUNTY,3844,1727,791,1881,1833,1878,7003,6984,6880,3202,6645,1652,1804,1804,1760,770,6546,6629,6637,3086,6329
SURRY COUNTY,2084,2084,1298,2051,2085,1079,1079,1054,659,1080,1005,1005,1005,997,639,9628,9894,9738,9892,9818,9599,4899,9736,9733,9631,4683,9738,9894,19289,19610,19687,19706,38400,12572,34270,35812,36461,12959,36022,37682,38562,Surry,59,59,59,46,74,19628,19551,19230,9582,351,238,67979,351,238,403,351,256,245,238,193,56811,14964,71783,62223,SURRY COUNTY,19632,11502,2473,12171,12063,12168,25988,25881,25268,10230,24169,10817,11431,11427,11356,2368,24218,24752,24785,10011,23215
MACON COUNTY,1583,1583,1130,1570,1583,1164,1164,1152,858,1164,419,419,419,418,272,6974,8250,3413,8244,8217,8116,4945,3413,3413,3395,2029,3413,8250,11511,11630,11657,11688,22160,9306,20230,20874,21230,9516,21126,21839,22254,Macon,0,0,0,0,25,11657,11630,11511,6974,477,356,34121,477,356,537,477,266,415,356,239,29260,10350,35858,31614,MACON COUNTY,11663,3064,927,3211,3174,3210,18506,18473,18188,8323,17585,2865,2998,2997,2976,909,17542,17808,17817,8158,17009
CLAY COUNTY,561,561,405,557,561,457,457,453,333,457,104,104,104,104,72,2115,2650,617,2650,2642,2613,1746,617,616,615,369,617,2650,3228,3258,3267,3267,5526,2657,5047,5167,5316,2744,5328,5459,5657,Clay,,,,,,3267,3258,3228,2115,128,64,10740,128,64,253,128,54,158,64,23,9352,3581,11231,10050,CLAY COUNTY,3267,1050,356,1056,1054,1055,4348,4343,4277,2334,4150,994,1000,999,998,344,4105,4158,4158,2290,3989
YADKIN COUNTY,1046,1046,655,1031,1046,462,462,449,305,462,584,584,584,582,350,5087,4456,5470,4455,4430,4362,2440,5470,5465,5385,2635,5470,4456,9759,9907,9937,9949,19730,6626,17766,18512,18862,6762,18572,19394,19804,Yadkin,12,12,12,12,23,9925,9895,9747,5075,169,109,35700,169,109,193,169,118,131,109,93,29851,7711,37667,32660,YADKIN COUNTY,9926,5176,929,5637,5560,5634,13974,13927,13665,5715,13227,4925,5362,5361,5284,949,13119,13354,13369,5584,12732
OUT OF STATE,10060,10063,5233,9790,10063,9406,9403,9137,4765,9406,657,657,657,653,468,26412,58635,5340,58626,57036,55072,23584,5340,5304,5239,2828,5340,58635,60311,62340,63966,63975,125842,42881,107982,111504,115769,45596,116984,120925,128207,Out of State,,,,,,63966,62340,60311,26412,,,,,,,,,,,,,,,,OUT OF STATE,63975,776,151,858,816,853,127349,124989,120109,45445,116208,983,1116,1116,1054,224,110450,114492,114653,42657,106999
ONSLOW COUNTY,2993,2993,1663,2953,2993,927,927,914,557,927,2066,2066,2066,2039,1106,15729,10399,23636,10395,10276,10015,4788,23636,23560,23080,9810,23636,10399,42603,43572,43767,43799,133655,19769,112347,117710,120230,20959,124523,130662,133951,Onslow,9736,9736,9508,1131,9764,34031,33836,33095,14598,61316,52094,180787,60585,51651,61373,58572,2935,52125,50085,2178,149343,19026,197938,162055,ONSLOW COUNTY,34035,27770,3427,31713,30481,31677,40865,40662,39596,14597,38181,25863,29458,29456,28424,3258,37635,38565,38647,14333,36399
RICHMOND COUNTY,672,672,396,654,673,389,389,373,245,390,283,283,283,281,151,5120,6898,3726,6897,6843,6722,3387,3726,3725,3653,1713,3726,6898,10418,10611,10666,10704,23793,7281,20681,21587,22031,7518,22335,23363,23917,Richmond,43,43,43,20,80,10623,10568,10375,5100,469,326,42075,469,326,537,469,198,393,326,153,34516,8183,44829,38043,RICHMOND COUNTY,10624,5136,788,5667,5582,5667,17713,17657,17312,6532,16730,4719,5209,5209,5136,736,16125,16408,16429,6392,15636
BUNCOMBE COUNTY,22373,22374,12043,21828,22375,14963,14962,14556,8527,14964,7411,7411,7411,7272,3516,43893,65150,49331,65121,63987,61877,25726,49331,49002,47665,18032,49331,65150,109808,113255,114718,114848,182928,49731,159660,168218,175011,51295,167214,176281,184760,Buncombe,266,266,266,135,367,114452,112989,109542,43758,7344,4435,248550,7326,4435,7436,7265,2864,4496,4395,2142,213777,53494,261191,230148,BUNCOMBE COUNTY,114481,40841,8525,45535,44000,45418,131789,130166,124955,39906,119108,40354,45038,44995,43517,8760,120266,124933,125477,38829,114911
UNION COUNTY,5895,5895,2635,5668,5895,909,909,890,433,909,4986,4986,4986,4778,2202,23734,22823,53391,22813,22596,21623,7299,53390,52810,50132,16333,53391,22823,71929,75580,76377,76437,138594,27375,116428,127532,133262,27952,121083,132635,139131,Union,174,174,174,102,223,76203,75406,71755,23632,1385,734,226508,1385,734,1425,1340,654,810,716,432,176616,31234,239859,202043,UNION COUNTY,76214,44338,5060,55159,51537,54975,82547,82234,79713,22238,75405,42904,53415,53388,50007,5131,76791,78953,79037,21812,72808
CABARRUS COUNTY,5482,5482,2448,5284,5482,987,987,953,520,987,4495,4495,4495,4331,1928,21897,25257,43425,25254,24857,23866,8897,43423,43004,41174,12802,43425,25257,65609,68441,69257,69283,129351,25668,107001,116268,122194,26556,113185,122968,129979,Cabarrus,580,580,569,198,601,68677,67861,65040,21699,4219,2628,202607,4192,2628,4285,4080,1298,2653,2559,984,161462,29064,216453,181104,CABARRUS COUNTY,68682,41180,4996,49523,46542,49371,76171,75761,72234,20262,67925,39853,47923,47917,45186,4968,68454,71520,71618,19716,64589
WASHINGTON COUNTY,324,324,222,321,324,166,166,166,130,166,158,158,158,155,92,2099,2163,1322,2162,2155,2135,1371,1322,1322,1314,728,1322,2163,3449,3477,3484,3500,6555,2520,5616,5869,5980,2752,6170,6436,6577,Washington,0,0,0,0,15,3484,3477,3449,2099,64,40,10985,64,40,66,64,40,41,40,27,9274,2932,11580,10083,WASHINGTON COUNTY,3485,1791,519,1857,1853,1856,4654,4635,4519,2193,4315,1598,1666,1665,1660,449,4169,4261,4273,2044,3978
HARNETT COUNTY,2492,2492,1289,2425,2492,1166,1166,1126,675,1166,1326,1326,1326,1299,614,11074,12526,14950,12524,12381,12058,5695,14949,14871,14470,5205,14950,12526,27610,28409,28630,28666,64306,13993,52994,56989,59012,14711,57433,61982,64633,Harnett,1157,1157,1082,174,1190,27473,27252,26528,10900,7380,5251,126086,7023,5056,7466,6140,979,5290,4372,660,100990,17458,135976,112079,HARNETT COUNTY,27476,18360,2195,21261,20311,21209,35906,35717,34648,11537,32933,17410,20026,20017,19188,2135,32745,33655,33696,11198,31212
BURKE COUNTY,2339,2339,1499,2305,2339,1349,1349,1325,916,1349,990,990,990,980,583,10913,11681,11517,11681,11602,11330,5551,11517,11499,11297,5362,11517,11681,22637,23111,23208,23245,44632,13648,39546,41477,42388,14036,41707,43761,44842,Burke,10,10,10,0,47,23198,23101,22627,10913,754,451,86176,754,451,830,754,368,518,451,264,73860,18720,90485,79893,BURKE COUNTY,23198,10801,1914,11882,11649,11866,32130,32012,31358,11754,30152,10020,11002,11002,10831,1841,30195,30794,30868,11543,29075
