county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
NORTHAMPTON COUNTY,2748,4639,4679,4673,4679,3868,3862,3840,2413,811,811,799,335,811,3868,9330,8674,Northampton,,,,,,158,72,18570,3801,8248,8544,8702,3957,8826,9164,9375,158,72,193,158,101,97,72,59,16132,5256,19483,17363,1417,349,1562,1541,1561,7620,7611,7465,3507,7251,1339,1465,1465,1451,320,7021,7137,7140,3422,6837
WILKES COUNTY,7947,15837,16177,16131,16205,7004,6962,6828,3347,9158,9154,8994,4585,9158,7006,34498,32165,Wilkes,15,15,15,15,41,314,193,64946,10995,30371,31661,32241,11450,32547,33925,34624,314,193,396,314,222,251,193,168,54628,15162,68412,59783,10359,2261,10999,10907,10994,23229,23190,22704,8967,21874,9812,10419,10417,10334,2145,21134,21555,21571,8682,20366
LINCOLN COUNTY,11558,24501,25125,24998,25146,8462,8406,8285,4189,16613,16542,16166,7348,16613,8463,45287,43192,Lincoln,50,50,50,21,70,393,246,81663,13724,40214,42168,43233,13998,42093,44186,45402,393,246,415,393,252,279,246,203,67981,15456,86111,74647,15524,2509,17592,17019,17573,27395,27321,26774,11237,26176,14607,16561,16560,16017,2478,25905,26386,26393,11043,25361
CALDWELL COUNTY,11494,21558,21938,21880,21954,12065,12028,11871,7095,9873,9852,9687,4399,9873,12065,41450,39338,Caldwell,0,0,0,0,16,335,204,78015,14005,37355,38808,39371,14283,39232,40820,41521,335,204,344,335,193,224,204,151,65842,16769,82178,71809,10991,1609,11947,11710,11938,29230,29177,28775,12481,27906,10079,10892,10890,10707,1555,27897,28244,28255,12299,27072
POLK COUNTY,1962,3771,3869,3855,3869,2454,2445,2398,1284,1415,1410,1373,678,1415,2454,9100,8612,Polk,,,,,,170,100,19940,3974,8158,8481,8649,4145,8607,8948,9159,170,100,210,170,134,130,100,88,17478,6644,20724,18752,1723,787,1878,1831,1876,7071,7054,6947,3224,6714,1651,1803,1803,1757,768,6624,6709,6716,3118,6407
SURRY COUNTY,9440,19050,19433,19367,19452,9659,9595,9386,4753,9713,9711,9603,4640,9715,9661,38252,36288,Surry,61,61,61,47,76,340,238,67979,12472,34154,35695,36322,12833,35879,37543,38401,340,238,400,340,245,245,238,193,56811,14964,71783,62223,11470,2447,12153,12043,12149,25848,25763,25160,10141,24069,10789,11417,11413,11341,2343,24116,24637,24660,9936,23127
MACON COUNTY,6954,11526,11673,11648,11703,8264,8239,8136,4940,3409,3409,3390,2014,3409,8269,22139,21142,Macon,0,0,0,0,25,476,356,34121,9261,20189,20852,21210,9476,21088,21818,22229,476,356,535,476,266,415,356,239,29260,10350,35858,31614,3059,920,3207,3172,3206,18487,18457,18170,8290,17553,2856,2995,2994,2973,899,17523,17792,17800,8123,16977
CLAY COUNTY,2084,3210,3248,3239,3248,2632,2624,2596,1723,616,615,614,361,616,2632,5525,5221,Clay,,,,,,128,64,10740,2644,5048,5168,5316,2729,5327,5457,5655,128,64,253,128,54,158,64,23,9352,3581,11231,10050,1048,349,1054,1052,1053,4348,4344,4277,2326,4151,991,997,996,995,339,4109,4161,4161,2282,3993
YADKIN COUNTY,5051,9757,9936,9910,9948,4454,4432,4360,2427,5470,5466,5385,2612,5470,4455,19700,18784,Yadkin,12,12,12,12,23,167,109,35700,6572,17713,18469,18819,6703,18526,19360,19762,167,109,191,167,117,131,109,93,29851,7711,37667,32660,5153,917,5623,5543,5621,13948,13912,13650,5669,13206,4899,5340,5339,5260,936,13100,13336,13348,5543,12705
OUT OF STATE,26328,59364,62568,61353,62578,57370,56191,54268,23608,5198,5162,5096,2720,5198,57380,122749,112642,Out of State,,,,,,,,,42164,105698,109024,112798,44906,114663,118385,124278,,,,,,,,,,,,,744,141,813,778,809,123465,121940,117607,44765,113919,944,1066,1066,1007,206,108017,111576,111732,41958,104754
ONSLOW COUNTY,15591,42392,43536,43366,43564,10347,10247,9988,4749,23597,23527,23035,9713,23597,10351,133301,119743,Onslow,9592,9592,9369,1129,9616,61199,51974,180787,19587,111968,117351,119841,20768,124167,130328,133543,60482,51547,61244,58476,2926,52005,49987,2176,149343,19026,197938,162055,27621,3362,31600,30349,31566,40699,40536,39497,14480,38070,25721,29356,29354,28300,3199,37504,38415,38480,14212,36260
RICHMOND COUNTY,5078,10406,10653,10601,10693,6868,6817,6699,3356,3729,3728,3651,1696,3729,6869,23694,21859,Richmond,56,56,56,26,95,452,324,42075,7222,20598,21507,21939,7440,22241,23265,23811,452,324,527,452,183,390,324,152,34516,8183,44829,38043,5104,774,5649,5560,5649,17635,17593,17253,6483,16685,4690,5190,5190,5113,725,16070,16345,16359,6345,15584
BUNCOMBE COUNTY,43566,109696,114454,113198,114581,64957,64025,61894,25565,49284,48960,47589,17914,49284,64986,182373,173799,Buncombe,213,213,213,87,311,7293,4379,248550,49320,159071,167680,174316,50778,166626,175747,183977,7275,4379,7379,7214,2829,4438,4339,2101,213777,53494,261191,230148,40764,8447,45495,43947,45380,131103,129700,124525,39502,118648,40265,44979,44939,43451,8688,119850,124481,124899,38531,114467
UNION COUNTY,23536,71825,76327,75574,76387,22853,22654,21662,7255,53299,52745,49988,16178,53300,22862,138723,133204,Union,175,175,175,103,225,1380,734,226508,27307,116354,127567,133370,27879,120974,132629,139222,1380,734,1418,1335,651,810,716,432,176616,31234,239859,202043,44111,4974,55023,51342,54853,82781,82490,79907,22254,75528,42679,53263,53247,49819,5042,77014,79223,79297,21833,72959
CABARRUS COUNTY,21842,65786,69439,68666,69465,25432,25057,24047,8931,43442,43044,41184,12719,43444,25435,129384,122150,Cabarrus,565,565,555,192,586,4195,2614,202607,25604,106959,116289,122264,26439,113076,122921,129977,4169,2614,4251,4057,1289,2639,2545,980,161462,29064,216453,181104,41018,4915,49387,46390,49255,76339,75934,72362,20235,68001,39695,47785,47781,45035,4889,68640,71755,71840,19735,64719
WASHINGTON COUNTY,2087,3437,3473,3466,3489,2152,2145,2125,1363,1321,1321,1312,724,1321,2153,6548,5955,Washington,0,0,0,0,15,64,40,10985,2503,5602,5855,5969,2735,6162,6428,6568,64,40,66,64,40,41,40,27,9274,2932,11580,10083,1789,517,1856,1852,1855,4646,4629,4512,2178,4309,1596,1665,1664,1659,447,4156,4251,4263,2029,3966
HARNETT COUNTY,11016,27532,28539,28342,28570,12497,12370,12051,5684,14914,14844,14424,5158,14915,12499,64199,58828,Harnett,1128,1128,1057,174,1156,7341,5210,126086,13922,52891,56887,58908,14628,57317,61860,64481,6991,5025,7424,6114,975,5249,4346,657,100990,17458,135976,112079,18285,2167,21200,20249,21157,35857,35701,34620,11486,32918,17328,19959,19952,19120,2101,32742,33666,33700,11164,31217
BURKE COUNTY,10893,22657,23232,23147,23276,11728,11660,11381,5553,11504,11487,11276,5340,11504,11728,44656,42275,Burke,0,0,0,0,44,751,448,86176,13626,39557,41523,42392,13987,41699,43794,44849,751,448,826,751,367,514,448,262,73860,18720,90485,79893,10764,1876,11867,11632,11849,32156,32056,31411,11744,30184,9981,10983,10983,10814,1811,30261,30844,30895,11553,29128
GRANVILLE COUNTY,7926,21157,21846,21706,21868,10568,10468,10143,4157,9509,9469,9245,3502,9510,10570,40522,38110,Granville,1769,1769,1769,267,1788,5396,4693,57336,9086,35153,37104,38210,9307,37208,39334,40766,5396,4693,5495,5396,615,4759,4693,533,48058,10674,60443,52711,9713,1339,10965,10623,10951,24306,24175,23315,7353,22099,9349,10516,10513,10197,1397,22214,22904,22935,7156,21111
GASTON COUNTY,24898,58879,60572,60261,60641,26010,25849,25393,11796,34250,34100,33174,12926,34250,26024,121933,113982,Gaston,312,312,312,176,367,1946,1206,211171,31950,105249,110993,114110,33346,112316,118537,122338,1946,1206,2017,1913,1017,1250,1181,694,174276,36651,224529,191721,38003,5854,43361,41884,43313,76960,76674,74707,26475,72400,35946,40958,40958,39631,5696,70156,71818,71902,25560,68122
EDGECOMBE COUNTY,6632,12795,13027,12991,13076,8643,8623,8535,4643,4289,4273,4165,1935,4289,8644,26893,24818,Edgecombe,95,95,95,54,143,879,519,48532,8267,23233,24352,24880,8686,25098,26328,26996,879,519,940,863,423,572,498,231,39904,10509,51472,43948,6713,1251,7611,7402,7605,18445,18409,18047,7012,17522,6245,7059,7059,6889,1192,16944,17240,17249,6844,16490
WATAUGA COUNTY,7189,18720,19670,19370,19672,13345,13049,12487,4945,6325,6321,6233,2244,6325,13347,33240,31382,Watauga,,,,,,133,55,54308,7814,29094,30388,31493,8202,30989,32190,33565,133,55,223,133,74,107,55,55,49022,9229,56177,51530,4631,723,4821,4797,4818,28521,28289,27260,7405,26225,4279,4457,4456,4437,685,25896,26871,26929,7074,24760
HOKE COUNTY,3582,10100,10470,10391,10497,5030,4971,4855,2179,4394,4374,4246,1265,4394,5032,26772,23361,Hoke,1046,1046,999,138,1071,6376,4525,50664,4464,20798,22485,23405,4776,23709,25706,26914,6175,4410,6426,5595,593,4539,3964,444,40282,5854,55234,44624,6165,647,7169,6876,7163,13319,13233,12655,3536,11949,5872,6781,6781,6527,616,11548,12055,12085,3404,10962
BERTIE COUNTY,2606,5283,5348,5343,5358,3850,3847,3808,1901,1498,1496,1475,705,1498,3850,10954,10171,Bertie,0,0,0,0,10,67,26,18126,3713,9687,10037,10218,3935,10407,10796,11029,67,26,133,67,20,69,26,16,15647,4479,18947,16854,1951,386,2141,2095,2141,8755,8746,8634,3529,8389,1820,1986,1986,1947,366,8064,8159,8163,3331,7841
PERSON COUNTY,6538,13653,13961,13893,13971,6855,6811,6681,3055,7050,7026,6916,3450,7050,6860,23647,22520,Person,56,56,56,33,61,441,293,37405,7456,20973,22001,22551,7602,21954,23040,23715,441,293,441,441,225,301,293,186,31361,7938,39490,34239,5728,1190,6257,6081,6253,17017,16953,16518,6187,15785,5400,5893,5891,5725,1161,15983,16336,16357,6109,15280
BEAUFORT COUNTY,8519,14756,14953,14930,14955,9783,9762,9662,5674,5082,5080,5006,2786,5082,9783,27566,25974,Beaufort,88,88,88,59,90,670,378,44735,10689,24724,25625,26080,11140,26151,27166,27646,670,378,713,670,390,474,378,242,37669,11538,46994,41131,5108,1007,5755,5664,5754,21178,21142,20832,9743,20373,4758,5327,5327,5241,966,20006,20269,20279,9481,19588
JACKSON COUNTY,5943,12806,13318,13211,13335,7069,6997,6864,3313,5007,4999,4870,2316,5007,7075,25559,23646,Jackson,1242,1215,1072,314,1253,4165,3155,42001,7090,21773,22873,23737,7341,23452,24655,25750,3811,2860,4276,3422,678,3221,2526,570,36721,8759,43938,39175,3430,613,3834,3765,3828,17640,17566,17079,6050,16600,3174,3559,3558,3498,586,16515,16933,16957,5934,16073
CATAWBA COUNTY,21808,46779,48323,48025,48372,14504,14300,13772,6981,33777,33683,32965,14801,33777,14508,91178,87267,Catawba,42,42,42,26,87,1147,690,150636,27666,80513,85157,87356,28217,84007,88878,91459,1147,690,1198,1119,503,752,679,353,124631,29156,159551,137151,29927,4656,33275,32345,33249,56986,56782,55386,23058,52961,28306,31486,31485,30633,4552,53834,55092,55118,22761,51528
WAKE COUNTY,145196,514738,553088,541684,553258,201884,194569,181342,51860,349844,345755,332036,92907,349871,201983,857342,824984,Wake,1360,1360,1360,429,1404,12172,8152,1044525,142981,715505,777742,827519,146127,742702,807139,867359,12129,8139,12245,11983,3667,8180,8048,2940,849055,133864,1111761,941934,238647,24143,285746,267834,284582,569368,560588,527176,118317,492072,234574,279628,279340,263064,24592,506539,537492,539711,115449,472883
CLEVELAND COUNTY,13149,26044,26639,26538,26672,13923,13843,13610,7004,12681,12660,12399,6120,12682,13924,52895,49789,Cleveland,35,35,35,25,66,670,400,92365,16584,46372,48830,49872,17082,49185,51834,53020,670,400,725,670,385,474,400,291,76504,18575,97947,84044,14599,2728,15993,15840,15991,36302,36234,35324,13969,33916,13500,14788,14788,14656,2636,33774,34601,34610,13657,32472
SAMPSON COUNTY,7551,16094,16455,16417,16499,9425,9392,9200,4411,6982,6977,6846,3111,6982,9428,35994,33309,Sampson,48,48,48,29,89,635,405,59389,9557,31085,32706,33377,9908,33461,35250,36067,635,405,676,635,291,460,405,208,48081,11637,63531,53473,8354,1408,9176,8981,9176,26215,26183,25634,8209,24472,7902,8658,8658,8496,1374,23805,24246,24259,7975,22778
COLUMBUS COUNTY,5520,11548,11715,11691,11736,7248,7235,7197,3321,4423,4412,4307,2180,4423,7249,25668,24015,Columbus,44,44,44,19,64,389,307,52603,7519,22588,23657,24074,7823,24040,25211,25787,389,307,477,389,233,348,307,205,44013,11419,55508,48224,6353,1257,7412,7213,7410,17898,17869,17609,6333,17298,5913,6943,6941,6770,1181,16580,16767,16783,6133,16368
CASWELL COUNTY,3060,6131,6220,6202,6237,4832,4817,4764,2455,1388,1385,1367,605,1388,4835,11519,10744,Caswell,0,0,0,0,14,179,74,21496,4155,10243,10564,10805,4381,10953,11312,11598,179,74,233,179,86,128,74,61,18383,5005,22604,19944,1677,414,1788,1765,1787,9577,9553,9368,3881,9097,1419,1518,1518,1495,294,8995,9152,9159,3800,8750
YANCEY COUNTY,3000,5436,5558,5531,5558,4988,4962,4902,2769,570,569,534,231,570,4988,9673,9174,Yancey,,,,,,137,107,17212,3869,8731,9024,9205,3999,9179,9502,9740,137,107,180,137,118,134,107,107,14782,4744,18069,15969,955,169,1107,1103,1105,8453,8431,8262,3712,8087,884,1028,1027,1023,168,7894,8040,8043,3594,7740
LEE COUNTY,7939,17899,18650,18448,18681,8072,7917,7605,3656,10471,10424,10187,4236,10471,8074,37038,34546,Lee,107,107,107,47,136,704,474,57893,9497,31350,33480,34594,9797,33437,35771,37220,704,474,722,704,275,496,474,227,47136,10404,61779,52144,10697,1501,12364,11977,12351,24134,23983,23090,8021,22036,10356,11888,11887,11562,1497,21444,22185,22210,7773,20520
