At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,county1
61582,179810,185786,184627,185804,69692,69325,67205,31148,116094,115302,112605,30434,116096,69708,285337,254439,Missing,,,,,,37952,47373,,55628,231938,245042,255966,76320,261753,275277,287940,37936,47373,39798,37795,9848,48600,47286,9782,,,,,83798,7413,96063,90627,95497,152079,151888,146714,59059,140160,84695,97173,97147,92132,8171,105537,109919,110193,37675,99957,MISSING COUNTY
10852,23193,23681,23626,23717,15269,15237,15053,7671,8335,8312,8063,3151,8335,15273,46320,43835,Wilson,77,77,77,30,109,602,369,76972,13326,40555,42810,43899,13660,42718,45168,46444,602,369,647,602,312,413,369,236,63224,15337,81801,69710,12483,1980,14318,13801,14310,31479,31408,30765,11368,29633,11774,13479,13475,13008,1965,29433,29991,30007,11125,28412,WILSON COUNTY
496,980,994,991,994,899,896,886,458,95,95,94,38,95,899,2074,1988,Tyrrell,,,,,,,,3827,687,1862,1949,1989,701,1942,2031,2077,,,,,,,,,3288,810,4016,3533,174,40,183,181,183,1894,1891,1850,661,1768,150,155,155,155,39,1794,1833,1834,648,1712,TYRRELL COUNTY
13658,30048,30591,30517,30654,14012,13969,13757,6242,15220,15189,14932,7157,15220,14017,66167,61265,Wayne,1359,1359,1359,259,1417,6661,5315,115046,16546,57134,59989,61326,17246,61512,64671,66310,6606,5278,6695,6493,993,5342,5186,738,94031,20802,123131,103693,18295,3381,21009,20250,21003,38606,38503,37815,12872,36724,17300,19742,19737,19085,3260,35626,36213,36242,12548,34648,WAYNE COUNTY
3116,5911,5993,5977,6022,3049,3035,2992,1566,2933,2931,2908,1539,2933,3049,12654,11881,Montgomery,11,11,11,11,40,212,140,25757,4452,11389,11761,11943,4615,12102,12511,12763,212,140,295,212,120,198,140,95,21266,5743,27173,23512,2925,582,3128,3084,3128,9340,9314,9215,3913,8965,2740,2928,2928,2887,541,8734,8813,8817,3816,8509,MONTGOMERY COUNTY
8640,16729,16968,16944,16982,9306,9298,9220,4786,7560,7544,7407,3793,7561,9306,33256,31174,Lenoir,102,102,102,61,115,466,290,52801,10700,29340,30676,31213,10968,31171,32638,33300,466,290,483,466,262,324,290,205,43423,11303,55949,47933,9563,1845,10856,10519,10850,21961,21940,21653,8861,21142,9004,10200,10197,9912,1790,20474,20687,20689,8705,20046,LENOIR COUNTY
4315,8874,9014,8992,9033,5061,5043,4997,2334,3916,3912,3840,1959,3916,5061,18664,17232,Scotland,37,37,37,22,56,247,166,32530,5861,16311,17009,17284,6195,17578,18379,18734,247,166,296,247,142,216,166,104,26793,6531,34823,29381,4716,1000,5382,5230,5380,13056,13037,12902,5053,12615,4303,4884,4883,4763,902,12080,12183,12184,4855,11842,SCOTLAND COUNTY
22850,55218,57142,56759,57190,26145,25860,25020,10957,30829,30731,30030,11810,30831,26148,106558,101550,Alamance,168,168,168,83,211,2005,1233,159560,27253,92643,98246,101651,28126,96908,102863,106997,2005,1233,2035,1984,901,1291,1220,695,132145,29035,169509,145046,25528,4705,28603,27490,28580,76359,75973,73368,22520,69396,24218,27126,27123,26119,4413,70894,73194,73234,22145,67205,ALAMANCE COUNTY
1031,2405,2456,2443,2485,1455,1442,1411,718,790,790,783,313,790,1455,6754,5776,Camden,211,211,211,0,240,2009,1369,10327,1478,5400,5657,5787,1754,6328,6615,6803,1997,1369,2045,1926,204,1379,1315,39,8407,1833,10867,9354,834,136,900,873,897,3858,3848,3745,1414,3568,818,878,878,852,128,3436,3529,3530,1311,3267,CAMDEN COUNTY
2573,6615,6764,6745,6812,4229,4211,4175,1634,1747,1746,1693,668,1747,4229,15448,13973,Greene,788,788,747,271,836,3356,2502,20022,3603,12917,13644,14010,3969,14245,15056,15514,3199,2377,3406,2905,899,2537,2144,589,16884,3592,21069,18372,2616,431,3017,2949,3016,9091,9076,8908,2639,8724,2446,2835,2834,2777,413,8490,8637,8638,2601,8327,GREENE COUNTY
14827,30929,31510,31439,31529,12773,12739,12489,6493,18250,18213,17953,8043,18250,12779,67148,62411,Rowan,487,487,487,291,500,4145,3127,133830,19243,58488,61234,62527,20023,62836,65767,67314,4145,3127,4227,4145,1729,3219,3127,1503,110729,25371,142088,122048,21123,3721,22869,22324,22860,40218,40143,39298,14573,37568,19741,21335,21333,20859,3617,37248,37951,37973,14123,35620,ROWAN COUNTY
2718,4605,4645,4639,4645,3840,3834,3812,2388,805,805,793,330,805,3840,9327,8658,Northampton,,,,,,157,72,18570,3788,8238,8529,8686,3945,8822,9159,9366,157,72,191,157,101,97,72,59,16132,5256,19483,17363,1413,347,1560,1538,1559,7615,7611,7464,3497,7252,1334,1458,1458,1443,318,7014,7128,7131,3411,6832,NORTHAMPTON COUNTY
7855,15719,16039,16002,16066,6946,6913,6790,3321,9079,9075,8915,4520,9079,6948,34461,32144,Wilkes,14,14,14,14,39,308,192,64946,10959,30348,31638,32208,11404,32513,33886,34568,308,192,377,308,217,239,192,167,54628,15162,68412,59783,10334,2238,10972,10880,10968,23219,23185,22698,8949,21871,9796,10405,10403,10320,2129,21126,21549,21564,8663,20360,WILKES COUNTY
11362,24172,24749,24662,24777,8413,8372,8255,4178,16299,16253,15880,7174,16299,8414,45237,43153,Lincoln,37,37,37,10,64,392,246,81663,13693,40183,42139,43192,13963,42057,44149,45336,392,246,414,392,251,279,246,203,67981,15456,86111,74647,15480,2473,17537,16970,17523,27385,27322,26787,11239,26185,14566,16510,16510,15968,2448,25925,26397,26403,11042,25371,LINCOLN COUNTY
11369,21375,21738,21691,21752,11983,11951,11801,7033,9755,9740,9574,4336,9755,11983,41396,39309,Caldwell,0,0,0,0,14,333,203,78015,13960,37320,38779,39339,14245,39187,40779,41457,333,203,342,333,193,222,203,150,65842,16769,82178,71809,10964,1603,11920,11686,11914,29195,29149,28760,12449,27890,10063,10878,10878,10696,1547,27880,28228,28239,12263,27054,CALDWELL COUNTY
1955,3759,3852,3841,3852,2449,2441,2395,1282,1403,1400,1364,673,1403,2449,9105,8626,Polk,,,,,,160,100,19940,3973,8170,8497,8660,4133,8606,8955,9170,160,100,209,160,124,129,100,88,17478,6644,20724,18752,1720,784,1877,1830,1875,7084,7070,6965,3225,6726,1650,1802,1802,1756,767,6641,6724,6729,3118,6420,POLK COUNTY
9310,18815,19157,19108,19176,9537,9490,9304,4714,9563,9561,9454,4553,9565,9539,38207,36229,Surry,57,57,57,43,72,338,237,67979,12436,34102,35644,36254,12801,35847,37509,38338,338,237,397,338,243,244,237,192,56811,14964,71783,62223,11454,2433,12139,12031,12135,25802,25734,25140,10125,24055,10767,11396,11394,11325,2326,24082,24598,24614,9918,23098,SURRY COUNTY
6911,11461,11602,11581,11621,8226,8205,8106,4917,3376,3376,3355,1994,3376,8231,22115,21115,Macon,0,0,0,0,14,473,355,34121,9232,20165,20828,21183,9445,21064,21797,22199,473,355,532,473,264,414,355,238,29260,10350,35858,31614,3047,916,3196,3160,3195,18471,18447,18164,8265,17544,2844,2984,2983,2959,896,17514,17777,17785,8098,16966,MACON COUNTY
2068,3194,3227,3222,3227,2621,2617,2590,1716,606,605,604,352,606,2621,5521,5196,Clay,,,,,,126,41,10740,2634,5023,5143,5297,2719,5321,5452,5649,126,41,251,126,54,141,41,23,9352,3581,11231,10050,1045,344,1051,1049,1050,4347,4345,4277,2321,4150,990,996,995,994,335,4108,4160,4160,2276,3992,CLAY COUNTY
4992,9645,9808,9789,9820,4400,4384,4319,2410,5397,5394,5315,2571,5397,4401,19655,18751,Yadkin,11,11,11,11,22,164,108,35700,6546,17683,18431,18781,6673,18490,19317,19711,164,108,188,164,114,130,108,92,29851,7711,37667,32660,5134,910,5600,5520,5598,13923,13893,13633,5649,13192,4881,5315,5315,5237,928,13086,13328,13336,5526,12694,YADKIN COUNTY
25312,57380,59798,59067,59808,54602,53903,52283,22589,5196,5164,5097,2723,5196,54612,120769,110923,Out of State,,,,,,,,,41533,104549,107687,111061,44226,113438,116933,121797,,,,,,,,,,,,,745,139,812,776,807,120985,119962,116157,44087,112693,945,1067,1067,1006,206,106681,109856,109994,41327,103604,OUT OF STATE
15449,41864,42950,42798,42967,10226,10141,9894,4708,23368,23301,22828,9622,23368,10230,133027,119472,Onslow,9356,9356,9142,1119,9369,61043,51829,180787,19511,111721,117097,119552,20672,123921,130073,133240,60351,51411,61095,58359,2907,51857,49865,2164,149343,19026,197938,162055,27551,3340,31540,30286,31518,40605,40466,39436,14425,38011,25643,29290,29288,28228,3185,37458,38355,38405,14162,36213,ONSLOW COUNTY
5050,10337,10550,10508,10579,6797,6756,6664,3335,3700,3699,3620,1691,3700,6798,23633,21752,Richmond,53,53,53,24,81,450,288,42075,7189,20510,21407,21838,7405,22192,23207,23729,450,288,511,450,181,364,288,151,34516,8183,44829,38043,5083,769,5632,5541,5632,17586,17551,17216,6455,16659,4672,5180,5180,5102,721,16017,16284,16294,6317,15550,RICHMOND COUNTY
43291,109194,113616,112625,113737,64380,63669,61617,25411,49031,48751,47372,17794,49031,64409,182069,173517,Buncombe,205,205,205,86,297,7249,4299,248550,49138,158789,167429,173874,50584,166361,175489,183420,7231,4299,7318,7172,2824,4366,4262,2089,213777,53494,261191,230148,40713,8414,45445,43896,45345,130657,129475,124362,39346,118476,40224,44945,44913,43415,8659,119715,124305,124563,38390,114303,BUNCOMBE COUNTY
23297,71287,75620,75008,75676,22738,22578,21602,7254,52711,52259,49514,15943,52712,22747,138736,133167,Union,171,171,171,100,217,1368,703,226508,27270,116224,127496,133326,27833,120859,132577,139143,1368,703,1405,1324,644,790,685,431,176616,31234,239859,202043,43958,4926,54848,51207,54731,82890,82637,80002,22263,75577,42538,53118,53107,49694,4998,77099,79357,79418,21841,73001,UNION COUNTY
21774,65601,69092,68426,69151,25310,24991,24000,8904,43280,42933,41099,12698,43282,25313,129371,122115,Cabarrus,502,502,502,172,556,4128,2542,202607,25530,106826,116184,122214,26363,112961,122826,129862,4103,2542,4182,3995,1282,2567,2473,967,161462,29064,216453,181104,40977,4876,49288,46340,49214,76392,76029,72383,20205,67989,39648,47758,47754,44988,4849,68654,71819,71889,19714,64705,CABARRUS COUNTY
2076,3414,3449,3442,3465,2136,2129,2109,1358,1313,1313,1305,718,1313,2137,6539,5944,Washington,0,0,0,0,15,64,40,10985,2496,5595,5847,5957,2728,6156,6421,6559,64,40,66,64,40,41,40,27,9274,2932,11580,10083,1790,514,1857,1853,1856,4636,4619,4504,2174,4302,1592,1659,1659,1654,444,4153,4245,4257,2025,3963,WASHINGTON COUNTY
10874,27190,28104,27954,28134,12323,12229,11939,5625,14682,14626,14220,5081,14683,12325,64036,58657,Harnett,1099,1099,1031,168,1126,7264,5143,126086,13868,52744,56742,58730,14556,57186,61729,64275,6931,4969,7346,6059,961,5182,4295,655,100990,17458,135976,112079,18227,2149,21137,20199,21106,35792,35666,34599,11446,32900,17257,19896,19888,19054,2085,32719,33626,33652,11128,31192,HARNETT COUNTY
10803,22481,23012,22949,23048,11657,11609,11349,5538,11355,11340,11132,5265,11355,11657,44561,42152,Burke,0,0,0,0,36,728,405,86176,13578,39437,41419,42255,13935,41620,43719,44742,728,405,806,728,356,478,405,262,73860,18720,90485,79893,10728,1867,11841,11607,11824,32095,32009,31384,11712,30164,9937,10952,10952,10781,1798,30233,30795,30825,11518,29095,BURKE COUNTY
7823,20936,21575,21454,21596,10407,10323,10028,4112,9416,9379,9156,3450,9416,10409,40406,37971,Granville,1752,1752,1752,261,1771,5367,4629,57336,9043,35034,36976,38075,9261,37143,39256,40608,5367,4629,5455,5367,612,4704,4629,533,48058,10674,60443,52711,9697,1323,10946,10606,10931,24207,24108,23283,7326,22079,9323,10484,10481,10168,1383,22179,22861,22887,7127,21082,GRANVILLE COUNTY
24687,58452,60090,59818,60148,25828,25687,25243,11704,33958,33827,32905,12810,33958,25842,121354,113410,Gaston,304,304,304,173,348,1928,1133,211171,31793,104671,110416,113533,33167,111748,117948,121642,1928,1133,1981,1897,1008,1182,1110,689,174276,36651,224529,191721,37901,5806,43268,41809,43233,76393,76193,74211,26353,71950,35848,40885,40885,39564,5647,69719,71392,71466,25457,67713,GASTON COUNTY
6529,12591,12805,12781,12850,8523,8509,8423,4591,4192,4182,4078,1886,4192,8524,26842,24767,Edgecombe,90,90,90,52,134,869,503,48532,8233,23186,24303,24824,8644,25057,26281,26924,869,503,916,853,419,555,482,229,39904,10509,51472,43948,6683,1236,7584,7374,7578,18424,18395,18038,6989,17521,6210,7024,7024,6856,1178,16944,17240,17245,6826,16494,EDGECOMBE COUNTY
7104,18585,19472,19225,19473,13259,13016,12464,4926,6213,6209,6121,2178,6213,13260,33239,31356,Watauga,,,,,,133,55,54308,7783,29078,30366,31452,8177,30985,32185,33534,133,55,223,133,74,99,55,55,49022,9229,56177,51530,4629,715,4820,4796,4817,28491,28289,27256,7388,26223,4276,4454,4453,4434,677,25877,26848,26899,7051,24747,WATAUGA COUNTY
3523,9947,10265,10211,10292,4924,4883,4786,2143,4321,4308,4181,1246,4321,4926,26628,23225,Hoke,1020,1020,980,134,1045,6288,4450,50664,4448,20695,22379,23264,4754,23585,25579,26759,6098,4343,6355,5519,588,4464,3900,442,40282,5854,55234,44624,6140,644,7146,6852,7141,13258,13199,12629,3522,11926,5857,6765,6765,6514,616,11522,12010,12035,3390,10938,HOKE COUNTY
2578,5234,5293,5289,5293,3811,3810,3776,1881,1482,1479,1458,697,1482,3811,10936,10158,Bertie,,,,,,67,16,18126,3702,9671,10025,10212,3923,10392,10781,11010,67,16,132,67,20,66,16,16,15647,4479,18947,16854,1942,386,2135,2089,2135,8743,8734,8625,3517,8383,1816,1984,1984,1945,364,8064,8158,8162,3322,7839,BERTIE COUNTY
6438,13509,13789,13735,13794,6776,6740,6624,3020,6959,6941,6831,3385,6959,6776,23616,22481,Person,54,54,54,33,59,439,293,37405,7419,20932,21958,22508,7563,21917,23005,23669,439,293,439,439,224,301,293,186,31361,7938,39490,34239,5708,1182,6242,6066,6239,16988,16938,16500,6157,15770,5378,5876,5873,5708,1152,15957,16315,16331,6081,15261,PERSON COUNTY
8439,14636,14812,14800,14814,9670,9659,9569,5614,5057,5056,4982,2767,5057,9670,27519,25918,Beaufort,85,85,85,58,87,666,358,44735,10651,24667,25572,26030,11105,26108,27127,27590,666,358,709,666,388,460,358,239,37669,11538,46994,41131,5085,1001,5737,5644,5736,21144,21117,20817,9716,20357,4744,5318,5318,5228,962,19986,20242,20252,9450,19565,BEAUFORT COUNTY
5900,12728,13210,13124,13227,7027,6970,6839,3302,4964,4956,4831,2289,4964,7033,25528,23602,Jackson,1219,1198,1058,309,1230,4156,3131,42001,7068,21738,22838,23678,7315,23433,24631,25708,3805,2841,4260,3417,678,3187,2507,570,36721,8759,43938,39175,3423,608,3826,3757,3820,17622,17552,17069,6029,16593,3165,3549,3548,3488,582,16509,16923,16942,5916,16066,JACKSON COUNTY
21599,46441,47911,47654,47948,14343,14177,13681,6932,33530,33439,32722,14642,33530,14347,91082,87086,Catawba,38,38,38,25,71,1136,638,150636,27571,80354,85004,87192,28118,83906,88781,91319,1136,638,1176,1108,496,719,627,353,124631,29156,159551,137151,29872,4615,33235,32298,33213,56908,56733,55347,23007,52926,28236,31428,31426,30570,4512,53796,55022,55045,22706,51491,CATAWBA COUNTY
143586,510780,546932,537232,547097,199056,192927,180124,51374,346606,343035,329386,91801,346630,199154,855852,823633,Wake,1270,1270,1270,411,1313,11944,7947,1044525,142408,714294,776617,825422,145515,741395,805907,864189,11905,7937,12035,11763,3635,7975,7846,2931,849055,133864,1111761,941934,238236,23933,285106,267439,284188,567048,559720,526563,117947,491396,234162,279183,278953,262679,24382,506001,536733,538264,115095,472286,WAKE COUNTY
13037,25845,26429,26338,26468,13837,13765,13532,6972,12568,12549,12289,6051,12569,13838,52883,49754,Cleveland,24,24,24,14,61,658,388,92365,16550,46323,48794,49832,17039,49143,51808,52999,658,388,712,658,375,458,388,291,76504,18575,97947,84044,14577,2713,15980,15827,15979,36307,36246,35323,13951,33908,13468,14766,14766,14633,2620,33773,34600,34608,13639,32467,CLEVELAND COUNTY
7496,15955,16277,16255,16317,9291,9273,9100,4380,6939,6935,6808,3087,6939,9293,35908,33199,Sampson,47,47,47,29,85,621,380,59389,9519,31004,32619,33271,9855,33399,35185,35968,621,380,658,621,278,440,380,208,48081,11637,63531,53473,8336,1398,9157,8965,9157,26153,26130,25599,8179,24442,7888,8643,8643,8480,1362,23759,24176,24188,7949,22736,SAMPSON COUNTY
5472,11457,11610,11591,11628,7207,7198,7164,3301,4360,4350,4250,2152,4360,7207,25637,23957,Columbus,43,43,43,19,61,387,284,52603,7494,22516,23601,24029,7798,24000,25184,25747,387,284,472,387,233,341,284,205,44013,11419,55508,48224,6331,1254,7398,7197,7397,17877,17853,17600,6311,17282,5880,6918,6916,6745,1177,16572,16757,16770,6112,16352,COLUMBUS COUNTY
3034,6086,6170,6159,6186,4812,4802,4747,2435,1358,1357,1339,599,1358,4815,11493,10726,Caswell,0,0,0,0,13,178,73,21496,4138,10229,10551,10769,4364,10931,11292,11567,178,73,231,178,86,109,73,61,18383,5005,22604,19944,1673,413,1782,1760,1782,9554,9533,9354,3865,9080,1419,1517,1517,1493,293,8985,9136,9143,3784,8737,CASWELL COUNTY
2979,5409,5526,5504,5526,4971,4950,4889,2754,555,554,520,225,555,4971,9670,9163,Yancey,,,,,,136,107,17212,3856,8715,9015,9194,3984,9171,9501,9729,136,107,179,136,117,134,107,107,14782,4744,18069,15969,952,167,1106,1102,1104,8444,8430,8263,3700,8083,881,1026,1025,1022,165,7886,8031,8034,3584,7727,YANCEY COUNTY
7856,17709,18401,18241,18432,7946,7822,7523,3618,10353,10317,10084,4192,10353,7948,36920,34457,Lee,102,102,102,46,131,700,473,57893,9464,31278,33411,34496,9757,33349,35679,37067,700,473,718,700,272,495,473,226,47136,10404,61779,52144,10658,1489,12325,11942,12310,24024,23910,23037,7996,21991,10327,11859,11858,11535,1486,21403,22126,22142,7752,20478,LEE COUNTY
