Facility_Type,Category,County,Outbreak Count
Nursing Home,Ongoing Outbreaks,Transylvania,2
Nursing Home,Ongoing Outbreaks,Harnett,1
Correctional Facility,Ongoing Outbreaks,Harnett,2
Correctional Facility,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,McDowell,4
Nursing Home,Ongoing Outbreaks,McDowell,1
Residential Care Facility,Ongoing Outbreaks,Polk,1
Nursing Home,Ongoing Outbreaks,Polk,3
Residential Care Facility,Ongoing Outbreaks,Alamance,15
Correctional Facility,Ongoing Outbreaks,Alamance,1
Child Care,,Alamance,2
Nursing Home,Ongoing Outbreaks,Alamance,8
Correctional Facility,Ongoing Outbreaks,Caswell,1
Nursing Home,Ongoing Outbreaks,Caswell,1
Residential Care Facility,Ongoing Outbreaks,Caswell,2
Nursing Home,Ongoing Outbreaks,Edgecombe,1
Correctional Facility,Ongoing Outbreaks,Edgecombe,1
K-12 School,,Martin,1
Residential Care Facility,Ongoing Outbreaks,Martin,1
Nursing Home,Ongoing Outbreaks,Martin,1
Residential Care Facility,Ongoing Outbreaks,Orange,1
Nursing Home,Ongoing Outbreaks,Orange,1
Child Care,,Orange,1
Correctional Facility,Ongoing Outbreaks,Beaufort,1
Residential Care Facility,Ongoing Outbreaks,Beaufort,1
Correctional Facility,Ongoing Outbreaks,Cleveland,1
K-12 School,,Cleveland,1
Nursing Home,Ongoing Outbreaks,Cleveland,3
Residential Care Facility,Ongoing Outbreaks,Mitchell,1
Correctional Facility,Ongoing Outbreaks,Avery,2
K-12 School,,Avery,1
,,Graham,0
Child Care,,Surry,1
Correctional Facility,Ongoing Outbreaks,Surry,1
Nursing Home,Ongoing Outbreaks,Surry,3
K-12 School,,Alleghany,1
Residential Care Facility,Ongoing Outbreaks,Durham,2
Other,Ongoing Outbreaks,Durham,2
Child Care,,Durham,1
Correctional Facility,Ongoing Outbreaks,Durham,1
Nursing Home,Ongoing Outbreaks,Durham,6
Child Care,,Person,2
Residential Care Facility,Ongoing Outbreaks,Person,1
Nursing Home,Ongoing Outbreaks,Person,1
K-12 School,,Person,2
Residential Care Facility,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Alexander,1
Correctional Facility,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Catawba,6
K-12 School,,Catawba,1
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Correctional Facility,Ongoing Outbreaks,Haywood,1
Residential Care Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Haywood,4
Nursing Home,Ongoing Outbreaks,Ashe,1
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Nursing Home,Ongoing Outbreaks,Lee,2
Nursing Home,Ongoing Outbreaks,Pamlico,1
K-12 School,,Pamlico,2
Correctional Facility,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Hertford,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Correctional Facility,Ongoing Outbreaks,Columbus,2
K-12 School,,Columbus,1
Nursing Home,Ongoing Outbreaks,Columbus,1
Residential Care Facility,Ongoing Outbreaks,Macon,1
Nursing Home,Ongoing Outbreaks,Macon,2
Residential Care Facility,Ongoing Outbreaks,Rutherford,1
Nursing Home,Ongoing Outbreaks,Rutherford,2
Residential Care Facility,Ongoing Outbreaks,Wilkes,2
Nursing Home,Ongoing Outbreaks,Wilkes,1
Correctional Facility,Ongoing Outbreaks,Wilkes,1
K-12 School,,Pasquotank,1
Correctional Facility,Ongoing Outbreaks,Pasquotank,1
Residential Care Facility,Ongoing Outbreaks,Pasquotank,2
Nursing Home,Ongoing Outbreaks,Pasquotank,2
Nursing Home,Ongoing Outbreaks,Chatham,1
Correctional Facility,Ongoing Outbreaks,Franklin,1
Nursing Home,Ongoing Outbreaks,Franklin,2
Child Care,,Franklin,1
Residential Care Facility,Ongoing Outbreaks,Johnston,3
Nursing Home,Ongoing Outbreaks,Johnston,3
Child Care,,Johnston,1
Correctional Facility,Ongoing Outbreaks,Johnston,1
K-12 School,,Rowan,1
Residential Care Facility,Ongoing Outbreaks,Rowan,2
Correctional Facility,Ongoing Outbreaks,Rowan,2
Nursing Home,Ongoing Outbreaks,Rowan,1
Correctional Facility,Ongoing Outbreaks,Bladen,1
Nursing Home,Ongoing Outbreaks,Bladen,1
Correctional Facility,Ongoing Outbreaks,Guilford,1
K-12 School,,Guilford,4
Residential Care Facility,Ongoing Outbreaks,Guilford,10
Nursing Home,Ongoing Outbreaks,Guilford,13
Nursing Home,Ongoing Outbreaks,Anson,2
Correctional Facility,Ongoing Outbreaks,Anson,1
Child Care,,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
Nursing Home,Ongoing Outbreaks,Gaston,2
Residential Care Facility,Ongoing Outbreaks,Gaston,1
K-12 School,,Gaston,2
Nursing Home,Ongoing Outbreaks,Stanly,3
Residential Care Facility,Ongoing Outbreaks,Stanly,1
Correctional Facility,Ongoing Outbreaks,Stanly,1
Residential Care Facility,Ongoing Outbreaks,Lincoln,2
Nursing Home,Ongoing Outbreaks,Lincoln,1
Correctional Facility,Ongoing Outbreaks,Pender,2
Residential Care Facility,Ongoing Outbreaks,Pender,1
Nursing Home,Ongoing Outbreaks,Pender,2
Correctional Facility,Ongoing Outbreaks,Swain,1
Nursing Home,Ongoing Outbreaks,Swain,1
Child Care,,Cabarrus,2
Nursing Home,Ongoing Outbreaks,Cabarrus,3
Residential Care Facility,Ongoing Outbreaks,Cabarrus,2
K-12 School,,Davidson,1
Residential Care Facility,Ongoing Outbreaks,Davidson,2
Nursing Home,Ongoing Outbreaks,Davidson,3
Nursing Home,Ongoing Outbreaks,Henderson,2
K-12 School,,Henderson,3
Child Care,,Henderson,1
,,Jackson,0
,,Camden,0
Child Care,,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Nursing Home,Ongoing Outbreaks,Watauga,1
Correctional Facility,Ongoing Outbreaks,Burke,1
Nursing Home,Ongoing Outbreaks,Burke,4
Residential Care Facility,Ongoing Outbreaks,Burke,2
K-12 School,,Stokes,1
Nursing Home,Ongoing Outbreaks,Stokes,2
