county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
MISSING COUNTY,62615,181717,187915,186579,187935,70849,70405,68256,31803,117066,116174,113461,30812,117069,70866,287881,255567,Missing,,,,,,37986,47408,,56418,233180,246296,257088,78141,264484,278003,290161,37969,47408,39880,37826,9849,48621,47319,9783,,,,,83958,7495,95755,90798,95578,154526,154317,149236,60797,142700,84896,97349,97317,92354,8251,106534,110842,111118,38384,100965
WILSON COUNTY,11021,23565,24098,24016,24136,15596,15544,15348,7807,8419,8389,8134,3183,8419,15600,46447,43948,Wilson,83,83,83,31,117,607,371,76972,13394,40686,42929,44019,13733,42843,45284,46594,607,371,652,607,316,416,371,237,63224,15337,81801,69710,12538,2003,14362,13845,14352,31580,31488,30832,11414,29698,11836,13524,13520,13056,1989,29502,30057,30079,11168,28479
TYRRELL COUNTY,498,987,1004,999,1004,909,904,893,460,95,95,94,38,95,909,2075,1987,Tyrrell,,,,,,,,3827,689,1861,1948,1988,703,1942,2032,2078,,,,,,,,,3288,810,4016,3533,174,40,183,181,183,1895,1892,1851,663,1768,149,154,154,154,39,1794,1833,1834,650,1712
WAYNE COUNTY,13861,30419,30990,30898,31058,14155,14098,13880,6313,15443,15408,15147,7285,15443,14160,66372,61474,Wayne,1392,1392,1392,263,1455,6713,5379,115046,16637,57328,60170,61543,17362,61698,64834,66571,6658,5342,6750,6545,1006,5406,5248,743,94031,20802,123131,103693,18381,3423,21088,20326,21080,38733,38579,37850,12933,36772,17367,19807,19799,19144,3292,35684,36296,36330,12602,34713
MONTGOMERY COUNTY,3151,5998,6101,6077,6122,3091,3070,3015,1568,2988,2985,2961,1571,2988,3091,12678,11909,Montgomery,22,22,22,12,43,213,142,25757,4455,11401,11782,11973,4616,12101,12526,12802,213,142,296,213,121,200,142,97,21266,5743,27173,23512,2933,586,3136,3093,3136,9370,9329,9220,3909,8955,2756,2943,2943,2901,543,8739,8824,8830,3815,8503
LENOIR COUNTY,8778,16929,17181,17149,17195,9426,9412,9329,4859,7648,7630,7493,3856,7649,9426,33340,31254,Lenoir,107,107,107,63,120,474,291,52801,10768,29412,30749,31294,11047,31250,32715,33392,474,291,492,474,268,325,291,206,43423,11303,55949,47933,9595,1872,10886,10553,10882,22014,21984,21688,8907,21181,9038,10235,10232,9943,1813,20515,20731,20734,8749,20083
SCOTLAND COUNTY,4367,8968,9108,9084,9129,5113,5093,5046,2357,3955,3951,3882,1985,3955,5113,18714,17264,Scotland,40,40,40,25,61,250,169,32530,5896,16348,17037,17317,6235,17618,18414,18793,250,169,300,250,143,219,169,104,26793,6531,34823,29381,4736,1007,5391,5240,5389,13102,13075,12924,5085,12632,4320,4887,4885,4768,907,12100,12210,12211,4885,11859
ALAMANCE COUNTY,23150,55746,57885,57373,57937,26605,26213,25292,11088,31104,30984,30278,11974,31106,26608,106821,101817,Alamance,176,176,176,88,223,2041,1285,159560,27410,92872,98481,101963,28298,97135,103106,107407,2041,1285,2089,2018,910,1344,1272,695,132145,29035,169509,145046,25630,4752,28708,27592,28681,76610,76099,73473,22636,69487,24323,27223,27219,26218,4458,70978,73313,73396,22257,67277
CAMDEN COUNTY,1045,2424,2481,2466,2514,1472,1457,1422,728,795,795,788,317,795,1472,6777,5791,Camden,214,214,214,0,247,2024,1380,10327,1494,5416,5671,5803,1777,6348,6632,6829,2011,1380,2062,1940,210,1390,1326,41,8407,1833,10867,9354,835,138,901,873,898,3866,3855,3748,1429,3573,819,880,879,853,130,3438,3532,3533,1323,3271
GREENE COUNTY,2600,6707,6885,6845,6927,4292,4264,4223,1643,1763,1761,1707,677,1763,4292,15510,14025,Greene,830,820,777,280,872,3402,2526,20022,3618,12963,13689,14062,4000,14305,15115,15579,3240,2396,3452,2942,920,2561,2162,594,16884,3592,21069,18372,2624,432,3022,2955,3021,9105,9087,8920,2648,8739,2459,2844,2843,2787,414,8506,8656,8657,2610,8342
ROWAN COUNTY,15060,31314,31904,31822,31927,12826,12787,12537,6523,18536,18493,18235,8225,18536,12832,67290,62566,Rowan,542,542,542,312,559,4227,3210,133830,19303,58661,61385,62684,20091,62999,65916,67473,4227,3210,4307,4227,1740,3297,3210,1509,110729,25371,142088,122048,21207,3765,22951,22408,22940,40215,40123,39281,14586,37565,19813,21399,21395,20923,3656,37252,37961,37988,14138,35638
NORTHAMPTON COUNTY,2752,4644,4683,4677,4683,3872,3866,3845,2415,811,811,799,337,811,3872,9334,8679,Northampton,,,,,,159,72,18570,3804,8254,8547,8707,3961,8829,9166,9379,159,72,194,159,102,97,72,59,16132,5256,19483,17363,1418,351,1563,1542,1562,7622,7613,7465,3508,7252,1343,1467,1467,1453,322,7022,7140,7143,3423,6839
WILKES COUNTY,7988,15875,16213,16167,16242,7015,6973,6838,3360,9182,9178,9021,4612,9182,7017,34511,32175,Wilkes,16,16,16,16,43,315,193,64946,11012,30382,31674,32251,11468,32557,33939,34637,315,193,397,315,223,251,193,168,54628,15162,68412,59783,10364,2266,11006,10914,11001,23234,23195,22710,8979,21878,9819,10425,10423,10340,2150,21141,21559,21575,8694,20370
LINCOLN COUNTY,11575,24522,25150,25016,25172,8465,8406,8286,4191,16635,16560,16186,7363,16635,8466,45284,43195,Lincoln,50,50,50,21,71,394,246,81663,13735,40221,42164,43237,14010,42099,44181,45401,394,246,416,394,252,279,246,203,67981,15456,86111,74647,15538,2515,17595,17023,17576,27390,27314,26764,11243,26167,14621,16565,16564,16021,2483,25897,26385,26393,11049,25354
CALDWELL COUNTY,11514,21581,21963,21902,21980,12082,12042,11885,7105,9881,9860,9696,4409,9881,12082,41461,39347,Caldwell,0,0,0,0,17,336,204,78015,14027,37360,38815,39380,14308,39239,40829,41536,336,204,345,336,194,224,204,151,65842,16769,82178,71809,10994,1617,11951,11713,11941,29240,29184,28780,12497,27909,10078,10893,10891,10706,1562,27905,28252,28263,12314,27078
POLK COUNTY,1968,3772,3870,3856,3870,2455,2446,2399,1287,1415,1410,1373,681,1415,2455,9100,8613,Polk,,,,,,170,100,19940,3979,8159,8481,8651,4149,8608,8948,9159,170,100,210,170,134,130,100,88,17478,6644,20724,18752,1723,787,1878,1831,1876,7071,7054,6947,3228,6715,1651,1803,1803,1757,769,6624,6710,6718,3122,6408
SURRY COUNTY,9461,19086,19470,19401,19489,9676,9609,9401,4763,9733,9731,9624,4651,9735,9678,38274,36302,Surry,61,61,61,47,76,340,238,67979,12483,34165,35704,36338,12845,35897,37559,38424,340,238,401,340,245,245,238,193,56811,14964,71783,62223,11477,2451,12155,12045,12152,25868,25782,25174,10149,24080,10796,11421,11417,11345,2348,24121,24647,24672,9942,23131
MACON COUNTY,6954,11528,11675,11650,11707,8265,8240,8137,4940,3410,3410,3391,2014,3410,8270,22147,21147,Macon,0,0,0,0,27,477,356,34121,9265,20196,20859,21215,9479,21095,21825,22239,477,356,537,477,266,415,356,239,29260,10350,35858,31614,3060,921,3208,3173,3207,18494,18463,18175,8292,17558,2857,2996,2995,2974,900,17529,17796,17804,8126,16983
CLAY COUNTY,2084,3214,3252,3243,3252,2634,2626,2598,1723,618,617,616,361,618,2634,5529,5223,Clay,,,,,,128,64,10740,2645,5049,5169,5318,2730,5330,5460,5660,128,64,253,128,54,158,64,23,9352,3581,11231,10050,1048,349,1054,1052,1053,4353,4348,4280,2327,4154,991,997,996,995,339,4110,4163,4163,2283,3994
YADKIN COUNTY,5062,9768,9946,9920,9958,4456,4434,4363,2427,5478,5474,5393,2623,5478,4457,19709,18796,Yadkin,12,12,12,12,23,167,109,35700,6584,17725,18481,18831,6715,18538,19371,19772,167,109,191,167,117,131,109,93,29851,7711,37667,32660,5161,920,5631,5551,5628,13950,13914,13653,5678,13210,4905,5346,5345,5267,939,13105,13342,13354,5552,12711
OUT OF STATE,26530,59710,63026,61738,63036,57823,56571,54608,23807,5203,5167,5102,2723,5203,57833,123110,112951,Out of State,,,,,,,,,42286,105917,109270,113108,45033,114893,118654,124774,,,,,,,,,,,,,745,141,814,781,810,123960,122300,117873,44892,114148,944,1066,1066,1008,206,108262,111885,112042,42080,104973
ONSLOW COUNTY,15618,42487,43631,43461,43659,10362,10261,10002,4753,23603,23534,23044,9732,23603,10366,133354,119794,Onslow,9666,9666,9441,1133,9690,61227,51999,180787,19615,112015,117398,119895,20799,124222,130378,133603,60505,51568,61272,58499,2930,52030,50007,2177,149343,19026,197938,162055,27642,3374,31615,30366,31580,40716,40547,39507,14495,38081,25735,29367,29365,28314,3211,37516,38430,38498,14227,36273
RICHMOND COUNTY,5086,10417,10663,10611,10703,6875,6824,6706,3361,3732,3731,3655,1699,3732,6876,23721,21876,Richmond,56,56,56,26,95,467,324,42075,7229,20612,21524,21959,7462,22265,23290,23831,467,324,534,467,197,390,324,152,34516,8183,44829,38043,5108,777,5653,5564,5653,17644,17601,17259,6488,16690,4695,5198,5198,5121,727,16079,16354,16371,6350,15593
BUNCOMBE COUNTY,43634,109770,114548,113265,114667,65006,64048,61920,25588,49314,48989,47622,17948,49314,65035,182425,173834,Buncombe,228,228,228,98,318,7298,4383,248550,49356,159097,167706,174373,50824,166670,175796,184068,7280,4383,7384,7219,2830,4442,4343,2103,213777,53494,261191,230148,40775,8456,45501,43959,45388,131183,129739,124557,39538,118676,40278,44991,44950,43464,8696,119859,124501,124940,38557,114476
UNION COUNTY,23565,71876,76380,75614,76440,22868,22661,21668,7259,53336,52777,50032,16202,53337,22877,138733,133226,Union,176,176,176,104,226,1382,734,226508,27326,116399,127595,133394,27900,121019,132655,139245,1382,734,1420,1337,652,810,716,432,176616,31234,239859,202043,44148,4986,55050,51368,54872,82775,82479,79905,22262,75534,42719,53294,53276,49849,5054,77012,79216,79290,21840,72964
CABARRUS COUNTY,21905,65857,69509,68735,69535,25452,25076,24066,8948,43479,43081,41224,12760,43481,25455,129410,122192,Cabarrus,578,578,567,197,599,4203,2618,202607,25650,107011,116340,122311,26486,113114,122962,130027,4176,2618,4259,4064,1294,2643,2549,981,161462,29064,216453,181104,41029,4927,49401,46401,49261,76367,75946,72385,20265,68021,39725,47812,47808,45065,4904,68657,71766,71856,19765,64737
WASHINGTON COUNTY,2091,3446,3482,3476,3498,2161,2155,2134,1367,1321,1321,1312,724,1321,2162,6548,5956,Washington,0,0,0,0,15,64,40,10985,2505,5603,5857,5970,2737,6162,6429,6568,64,40,66,64,40,41,40,27,9274,2932,11580,10083,1789,517,1856,1852,1855,4646,4629,4513,2180,4309,1596,1665,1664,1659,447,4158,4252,4264,2031,3967
HARNETT COUNTY,11045,27582,28594,28397,28626,12528,12401,12078,5701,14929,14859,14440,5169,14930,12530,64233,58865,Harnett,1137,1137,1064,175,1166,7358,5227,126086,13939,52928,56920,58947,14650,57356,61898,64528,7006,5036,7442,6129,979,5266,4356,659,100990,17458,135976,112079,18294,2172,21214,20259,21167,35872,35708,34633,11499,32933,17342,19972,19965,19131,2106,32753,33673,33709,11174,31230
BURKE COUNTY,10904,22681,23264,23177,23300,11740,11670,11383,5556,11514,11497,11288,5348,11514,11740,44668,42285,Burke,10,10,10,0,46,752,450,86176,13641,39567,41531,42411,14001,41711,43804,44865,752,450,827,752,367,516,450,264,73860,18720,90485,79893,10767,1882,11869,11634,11851,32169,32065,31418,11752,30192,9985,10985,10985,10817,1817,30264,30850,30910,11560,29132
GRANVILLE COUNTY,7946,21204,21902,21760,21924,10594,10492,10160,4166,9520,9480,9256,3513,9521,10596,40577,38139,Granville,1788,1788,1788,267,1807,5433,4708,57336,9097,35180,37132,38242,9321,37259,39385,40827,5433,4708,5532,5433,618,4774,4708,533,48058,10674,60443,52711,9721,1342,10969,10627,10955,24326,24189,23325,7361,22105,9357,10525,10522,10205,1400,22219,22909,22943,7164,21115
GASTON COUNTY,24941,58938,60631,60317,60700,26033,25869,25412,11812,34284,34134,33212,12951,34284,26047,121954,114009,Gaston,314,314,314,178,369,1952,1207,211171,31991,105286,111024,114137,33389,112359,118571,122367,1952,1207,2023,1919,1019,1251,1182,694,174276,36651,224529,191721,38027,5870,43375,41900,43327,76969,76675,74719,26500,72413,35976,40983,40983,39655,5713,70162,71819,71903,25584,68128
EDGECOMBE COUNTY,6643,12808,13038,13002,13087,8650,8630,8542,4649,4292,4276,4170,1940,4292,8651,26891,24825,Edgecombe,96,96,96,54,144,880,520,48532,8274,23241,24355,24887,8693,25100,26327,26998,880,520,941,864,424,573,499,232,39904,10509,51472,43948,6718,1254,7614,7405,7607,18443,18404,18042,7015,17518,6252,7064,7064,6893,1195,16942,17241,17250,6847,16490
WATAUGA COUNTY,7218,18745,19693,19394,19695,13360,13065,12504,4961,6333,6329,6241,2257,6333,13362,33241,31383,Watauga,,,,,,133,55,54308,7820,29094,30391,31492,8208,30988,32191,33566,133,55,223,133,74,107,55,55,49022,9229,56177,51530,4633,728,4823,4799,4821,28520,28287,27259,7406,26222,4280,4458,4458,4438,690,25898,26870,26927,7075,24759
HOKE COUNTY,3589,10112,10485,10404,10513,5037,4976,4860,2181,4394,4374,4246,1269,4394,5039,26790,23379,Hoke,1054,1054,1006,139,1080,6385,4532,50664,4470,20810,22496,23423,4783,23721,25715,26937,6180,4412,6435,5599,594,4546,3965,444,40282,5854,55234,44624,6167,650,7170,6877,7163,13332,13242,12658,3539,11955,5877,6784,6784,6531,619,11553,12063,12093,3407,10968
BERTIE COUNTY,2610,5287,5353,5347,5363,3850,3847,3808,1902,1503,1500,1479,708,1503,3850,10960,10173,Bertie,0,0,0,0,10,69,26,18126,3714,9687,10037,10220,3937,10409,10799,11037,69,26,135,69,20,69,26,16,15647,4479,18947,16854,1951,386,2141,2095,2141,8761,8750,8635,3531,8389,1821,1989,1989,1948,366,8063,8158,8162,3332,7840
PERSON COUNTY,6550,13661,13970,13902,13980,6862,6818,6687,3063,7052,7028,6918,3454,7052,6867,23651,22527,Person,56,56,56,33,61,441,293,37405,7466,20978,22007,22558,7608,21958,23046,23723,441,293,441,441,225,301,293,186,31361,7938,39490,34239,5732,1191,6261,6085,6257,17021,16953,16520,6192,15785,5402,5895,5893,5727,1164,15987,16341,16362,6116,15283
BEAUFORT COUNTY,8543,14785,14981,14958,14983,9807,9786,9687,5692,5085,5083,5009,2792,5085,9807,27579,25987,Beaufort,89,89,89,59,91,670,378,44735,10702,24741,25638,26093,11153,26166,27177,27658,670,378,713,670,390,474,378,242,37669,11538,46994,41131,5112,1010,5757,5665,5756,21188,21153,20842,9753,20384,4763,5330,5330,5244,969,20016,20279,20289,9491,19600
JACKSON COUNTY,5946,12816,13330,13223,13347,7073,7001,6866,3315,5010,5002,4873,2317,5010,7079,25560,23653,Jackson,1247,1220,1077,314,1258,4167,3160,42001,7094,21781,22881,23746,7345,23454,24659,25757,3813,2863,4280,3423,678,3228,2529,570,36721,8759,43938,39175,3433,615,3834,3765,3828,17643,17565,17081,6052,16598,3177,3559,3558,3498,588,16520,16935,16959,5936,16075
CATAWBA COUNTY,21845,46822,48364,48059,48413,14523,14312,13788,6989,33796,33702,32989,14829,33796,14527,91221,87291,Catawba,45,45,45,27,90,1152,691,150636,27698,80555,85188,87381,28254,84064,88923,91510,1152,691,1203,1124,508,754,680,354,124631,29156,159551,137151,29954,4669,33295,32367,33267,57012,56802,55404,23077,52986,28323,31496,31495,30647,4564,53850,55105,55131,22780,51552
WAKE COUNTY,145520,515213,553685,542118,553855,202189,194745,181509,51954,350118,345995,332326,93131,350145,202287,857665,825309,Wake,1378,1378,1378,435,1423,12198,8158,1044525,143185,715824,778030,827965,146345,743055,807451,867977,12155,8145,12272,12009,3677,8186,8053,2940,849055,133864,1111761,941934,238786,24213,285877,267946,284691,569828,560776,527350,118455,492260,234708,279772,279478,263186,24658,506699,537673,540007,115587,473063
CLEVELAND COUNTY,13173,26065,26663,26558,26697,13934,13850,13616,7014,12693,12672,12413,6133,12694,13935,52898,49796,Cleveland,36,36,36,26,68,671,400,92365,16606,46382,48835,49879,17104,49190,51834,53026,671,400,726,671,386,474,400,291,76504,18575,97947,84044,14604,2738,15995,15843,15993,36305,36234,35320,13980,33915,13509,14797,14797,14664,2647,33771,34599,34608,13668,32473
SAMPSON COUNTY,7566,16114,16479,16438,16523,9441,9406,9212,4419,6990,6984,6854,3118,6990,9444,36012,33323,Sampson,48,48,48,29,89,635,405,59389,9573,31100,32717,33392,9926,33479,35268,36087,635,405,676,635,291,460,405,208,48081,11637,63531,53473,8361,1416,9183,8988,9183,26228,26194,25645,8219,24483,7908,8662,8662,8500,1379,23812,24256,24270,7986,22787
COLUMBUS COUNTY,5533,11563,11729,11706,11750,7257,7244,7207,3325,4428,4418,4312,2189,4428,7258,25684,24029,Columbus,44,44,44,19,64,389,307,52603,7531,22605,23670,24089,7836,24064,25228,25804,389,307,478,389,233,349,307,205,44013,11419,55508,48224,6364,1261,7415,7217,7413,17911,17882,17622,6342,17311,5924,6948,6946,6776,1186,16587,16776,16792,6140,16374
CASWELL COUNTY,3064,6140,6229,6211,6246,4840,4825,4772,2458,1389,1386,1368,606,1389,4843,11520,10745,Caswell,0,0,0,0,14,180,74,21496,4160,10243,10565,10808,4386,10955,11314,11600,180,74,234,180,87,128,74,61,18383,5005,22604,19944,1676,413,1787,1764,1786,9579,9554,9370,3886,9099,1419,1518,1518,1495,294,8996,9153,9162,3805,8750
YANCEY COUNTY,3002,5439,5561,5534,5561,4991,4965,4905,2771,570,569,534,231,570,4991,9676,9177,Yancey,,,,,,137,107,17212,3872,8735,9027,9210,4002,9182,9504,9746,137,107,180,137,118,134,107,107,14782,4744,18069,15969,956,169,1108,1104,1106,8458,8433,8263,3715,8089,884,1028,1027,1023,168,7897,8043,8048,3597,7744
LEE COUNTY,7955,17915,18668,18467,18699,8085,7932,7615,3665,10474,10426,10191,4242,10474,8087,37059,34568,Lee,109,109,109,48,138,705,474,57893,9503,31363,33498,34618,9805,33457,35793,37251,705,474,723,705,276,496,474,227,47136,10404,61779,52144,10706,1504,12374,11985,12360,24154,23994,23103,8025,22046,10363,11893,11892,11565,1499,21459,22202,22229,7777,20526
