county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
SCOTLAND COUNTY,4376,8986,9127,9103,9139,5122,5102,5054,2362,3957,3953,3884,1989,3957,5122,18724,17268,Scotland,48,48,48,25,60,252,169,32530,5904,16357,17041,17323,6246,17631,18424,18804,252,169,302,252,144,219,169,104,26793,6531,34823,29381,4743,1008,5393,5242,5391,13109,13081,12930,5094,12636,4329,4890,4888,4771,908,12101,12211,12214,4892,11859
ALAMANCE COUNTY,23202,55777,57933,57404,57984,26652,26244,25321,11115,31105,30984,30280,11999,31107,26655,106900,101893,Alamance,176,176,176,88,222,2042,1287,159560,27464,92947,98546,102059,28356,97214,103178,107504,2042,1287,2090,2019,911,1346,1274,697,132145,29035,169509,145046,25651,4760,28719,27607,28692,76695,76166,73529,22685,69544,24349,27240,27236,26238,4468,71021,73370,73473,22299,67324
CAMDEN COUNTY,1051,2435,2492,2477,2517,1472,1457,1422,731,795,795,788,320,795,1472,6783,5794,Camden,225,225,225,0,250,2029,1384,10327,1500,5418,5675,5806,1784,6352,6638,6835,2015,1384,2067,1943,210,1394,1329,41,8407,1833,10867,9354,836,138,902,874,899,3866,3855,3749,1436,3573,819,880,879,853,130,3438,3531,3532,1329,3270
GREENE COUNTY,2608,6701,6882,6839,6933,4294,4265,4224,1646,1763,1761,1708,681,1763,4294,15522,14037,Greene,825,813,769,281,876,3408,2535,20022,3626,12972,13697,14075,4010,14315,15127,15591,3246,2401,3458,2945,923,2570,2165,595,16884,3592,21069,18372,2628,433,3026,2959,3025,9107,9089,8922,2654,8742,2462,2845,2844,2788,415,8508,8658,8660,2616,8345
ROWAN COUNTY,15064,31285,31874,31792,31897,12816,12777,12528,6518,18517,18474,18216,8235,18517,12822,67325,62597,Rowan,541,541,541,311,558,4227,3212,133830,19332,58695,61416,62717,20129,63037,65953,67510,4227,3212,4307,4227,1740,3299,3212,1509,110729,25371,142088,122048,21224,3778,22965,22423,22954,40238,40144,39303,14611,37586,19829,21415,21411,20939,3668,37265,37974,38003,14155,35654
NORTHAMPTON COUNTY,2754,4643,4684,4678,4684,3874,3868,3845,2416,810,810,798,338,810,3874,9326,8676,Northampton,,,,,,159,72,18570,3802,8247,8541,8704,3958,8819,9158,9371,159,72,194,159,102,97,72,59,16132,5256,19483,17363,1417,350,1562,1541,1561,7615,7606,7458,3506,7243,1344,1468,1468,1454,322,7015,7136,7139,3421,6831
WILKES COUNTY,7988,15866,16202,16155,16231,7017,6974,6841,3364,9169,9165,9009,4608,9169,7019,34544,32189,Wilkes,16,16,16,16,43,316,193,64946,11035,30401,31689,32266,11501,32591,33974,34670,316,193,398,316,224,251,193,168,54628,15162,68412,59783,10372,2268,11016,10925,11011,23256,23217,22733,9009,21903,9822,10429,10426,10344,2152,21152,21570,21586,8715,20386
LINCOLN COUNTY,11581,24526,25156,25020,25177,8463,8403,8285,4190,16643,16567,16191,7370,16643,8464,45281,43209,Lincoln,50,50,50,21,70,394,246,81663,13742,40238,42174,43251,14014,42102,44177,45397,394,246,416,394,252,279,246,203,67981,15456,86111,74647,15550,2522,17600,17029,17581,27381,27306,26754,11240,26158,14638,16577,16576,16035,2490,25893,26387,26395,11049,25354
CALDWELL COUNTY,11523,21578,21963,21896,21980,12080,12040,11885,7108,9883,9856,9693,4415,9883,12080,41474,39357,Caldwell,0,0,0,0,17,338,204,78015,14041,37365,38822,39390,14322,39256,40843,41550,338,204,347,338,195,224,204,151,65842,16769,82178,71809,11011,1628,11966,11729,11956,29237,29180,28776,12499,27907,10088,10903,10901,10717,1573,27901,28252,28263,12317,27073
POLK COUNTY,1973,3777,3875,3860,3875,2458,2448,2402,1290,1417,1412,1375,683,1417,2458,9108,8615,Polk,,,,,,172,100,19940,3984,8161,8484,8653,4158,8616,8956,9168,172,100,212,172,136,130,100,88,17478,6644,20724,18752,1724,788,1879,1832,1877,7077,7059,6952,3234,6720,1651,1803,1803,1758,770,6626,6712,6720,3126,6410
SURRY COUNTY,9472,19094,19483,19412,19502,9694,9625,9414,4771,9730,9728,9621,4655,9732,9696,38307,36326,Surry,59,59,59,46,74,351,238,67979,12491,34175,35721,36363,12867,35926,37589,38455,351,238,403,351,256,245,238,193,56811,14964,71783,62223,11483,2455,12159,12050,12156,25893,25800,25188,10156,24092,10800,11424,11420,11348,2352,24135,24668,24694,9946,23137
MACON COUNTY,6964,11529,11675,11650,11705,8263,8238,8136,4943,3412,3412,3393,2021,3412,8268,22148,21149,Macon,0,0,0,0,25,477,356,34121,9279,20199,20862,21217,9491,21096,21827,22241,477,356,537,477,266,415,356,239,29260,10350,35858,31614,3059,922,3208,3172,3207,18496,18464,18178,8303,17560,2856,2995,2994,2973,903,17533,17799,17807,8137,16987
CLAY COUNTY,2085,3213,3251,3242,3251,2634,2626,2598,1723,617,616,615,362,617,2634,5529,5222,Clay,,,,,,128,64,10740,2646,5048,5168,5317,2732,5330,5460,5660,128,64,253,128,54,158,64,23,9352,3581,11231,10050,1049,351,1055,1053,1054,4352,4347,4279,2327,4153,991,997,996,995,340,4109,4162,4162,2283,3993
YADKIN COUNTY,5063,9765,9944,9917,9956,4456,4434,4363,2428,5476,5471,5390,2623,5476,4457,19709,18801,Yadkin,12,12,12,12,23,168,109,35700,6592,17731,18484,18836,6724,18542,19370,19777,168,109,192,168,118,131,109,93,29851,7711,37667,32660,5162,921,5631,5551,5628,13954,13913,13651,5685,13212,4907,5351,5350,5270,940,13105,13342,13354,5559,12715
OUT OF STATE,26350,59411,62771,61433,62781,57536,56234,54277,23603,5235,5199,5134,2747,5235,57546,122915,112735,Out of State,,,,,,,,,42098,105594,108967,112891,44835,114590,118372,124746,,,,,,,,,,,,,746,142,818,782,813,123928,122102,117590,44693,113844,944,1068,1068,1008,207,107959,111667,111823,41891,104650
ONSLOW COUNTY,15631,42493,43645,43468,43663,10367,10260,10001,4757,23604,23534,23045,9744,23604,10371,133424,119861,Onslow,9674,9674,9447,1130,9688,61255,52027,180787,19650,112084,117463,119965,20840,124292,130449,133680,60531,51593,61300,58522,2933,52058,50031,2177,149343,19026,197938,162055,27668,3388,31633,30391,31599,40747,40570,39527,14519,38102,25761,29382,29380,28334,3223,37536,38454,38525,14250,36292
RICHMOND COUNTY,5083,10409,10655,10602,10693,6882,6830,6713,3362,3730,3729,3653,1701,3730,6883,23736,21887,Richmond,43,43,43,20,80,469,326,42075,7235,20628,21535,21970,7469,22280,23307,23850,469,326,537,469,198,392,326,153,34516,8183,44829,38043,5114,779,5657,5569,5657,17656,17610,17269,6492,16697,4702,5201,5201,5125,729,16084,16360,16377,6353,15600
BUNCOMBE COUNTY,43660,109761,114572,113253,114691,65039,64045,61917,25606,49303,48978,47614,17955,49303,65068,182499,173894,Buncombe,230,230,230,99,320,7299,4384,248550,49414,159155,167760,174453,50908,166742,175866,184175,7281,4384,7385,7220,2831,4443,4344,2104,213777,53494,261191,230148,40790,8475,45510,43969,45397,131280,129803,124616,39602,118732,40294,45005,44964,43478,8713,119898,124546,125005,38597,114517
UNION COUNTY,23621,71933,76431,75659,76490,22898,22690,21704,7280,53359,52795,50055,16239,53360,22907,138810,133318,Union,174,174,174,102,223,1385,734,226508,27372,116508,127697,133494,27949,121132,132757,139320,1385,734,1423,1340,654,810,716,432,176616,31234,239859,202043,44200,4997,55083,51420,54903,82814,82522,79952,22298,75592,42773,53345,53322,49904,5066,77059,79262,79339,21874,73019
CABARRUS COUNTY,21926,65854,69508,68726,69534,25474,25095,24089,8968,43454,43051,41196,12760,43456,25477,129511,122270,Cabarrus,580,580,569,198,601,4212,2623,202607,25704,107105,116432,122393,26539,113220,123066,130140,4185,2623,4268,4073,1296,2648,2554,983,161462,29064,216453,181104,41064,4943,49433,46431,49286,76439,76013,72450,20300,68083,39759,47837,47833,45098,4921,68711,71814,71908,19800,64792
WASHINGTON COUNTY,2093,3445,3481,3475,3497,2160,2154,2133,1369,1321,1321,1312,724,1321,2161,6548,5959,Washington,0,0,0,0,15,64,40,10985,2509,5606,5860,5973,2741,6163,6430,6568,64,40,66,64,40,41,40,27,9274,2932,11580,10083,1789,518,1856,1852,1855,4646,4629,4514,2183,4310,1596,1665,1664,1659,448,4161,4255,4267,2034,3970
HARNETT COUNTY,11054,27600,28615,28413,28650,12542,12413,12089,5709,14931,14858,14444,5171,14932,12544,64268,58898,Harnett,1142,1142,1067,174,1174,7364,5233,126086,13950,52959,56948,58980,14665,57391,61934,64567,7011,5041,7448,6131,979,5272,4360,659,100990,17458,135976,112079,18304,2172,21223,20266,21174,35896,35730,34657,11514,32956,17351,19981,19974,19138,2107,32769,33691,33727,11184,31248
BURKE COUNTY,10921,22681,23262,23173,23299,11734,11663,11379,5569,11518,11500,11292,5352,11518,11734,44679,42290,Burke,10,10,10,0,47,753,450,86176,13661,39573,41534,42423,14028,41725,43815,44882,753,450,828,753,368,517,450,264,73860,18720,90485,79893,10774,1890,11873,11639,11855,32181,32071,31423,11770,30198,9991,10986,10986,10818,1823,30266,30854,30920,11574,29132
GRANVILLE COUNTY,7968,21238,21940,21793,21962,10626,10519,10189,4179,9526,9486,9261,3523,9527,10628,40602,38154,Granville,1788,1788,1788,266,1807,5436,4709,57336,9111,35194,37145,38259,9338,37286,39412,40856,5436,4709,5535,5436,618,4775,4709,534,48058,10674,60443,52711,9727,1343,10969,10629,10955,24352,24211,23347,7377,22123,9361,10527,10524,10209,1400,22227,22921,22957,7177,21124
GASTON COUNTY,24980,58970,60667,60348,60736,26072,25904,25444,11831,34281,34130,33212,12971,34281,26086,122010,114068,Gaston,314,314,314,178,369,1953,1209,211171,32035,105350,111078,114197,33442,112421,118625,122428,1953,1209,2025,1920,1019,1253,1184,696,174276,36651,224529,191721,38049,5892,43388,41915,43338,77015,76719,74757,26531,72452,36002,41002,41000,39672,5731,70197,71859,71942,25608,68164
EDGECOMBE COUNTY,6649,12809,13037,13001,13086,8648,8628,8540,4656,4293,4277,4173,1939,4293,8649,26891,24828,Edgecombe,96,96,96,54,144,882,521,48532,8284,23248,24359,24890,8705,25107,26330,27000,882,521,943,866,424,574,500,232,39904,10509,51472,43948,6724,1257,7615,7406,7608,18442,18401,18042,7024,17517,6258,7066,7066,6895,1197,16943,17241,17250,6855,16490
WATAUGA COUNTY,7231,18748,19696,19395,19698,13356,13059,12498,4966,6340,6336,6250,2265,6340,13358,33239,31395,Watauga,,,,,,133,65,54308,7828,29108,30402,31495,8217,30987,32190,33563,133,65,223,133,74,108,65,55,49022,9229,56177,51530,4634,728,4822,4799,4820,28518,28286,27258,7415,26220,4281,4457,4457,4437,690,25900,26873,26930,7083,24762
HOKE COUNTY,3600,10123,10495,10414,10523,5044,4983,4866,2187,4396,4376,4250,1273,4396,5046,26807,23401,Hoke,1055,1055,1007,140,1081,6390,4539,50664,4481,20828,22515,23449,4796,23737,25732,26956,6184,4415,6440,5601,595,4553,3968,444,40282,5854,55234,44624,6173,654,7174,6882,7167,13342,13250,12666,3547,11963,5888,6795,6795,6543,622,11557,12067,12101,3415,10972
BERTIE COUNTY,2615,5289,5355,5349,5365,3852,3849,3810,1905,1503,1500,1479,710,1503,3852,10965,10177,Bertie,0,0,0,0,10,69,26,18126,3721,9690,10042,10224,3943,10414,10805,11042,69,26,135,69,20,69,26,16,15647,4479,18947,16854,1954,387,2144,2099,2144,8763,8752,8637,3536,8391,1823,1991,1991,1951,368,8065,8160,8164,3337,7841
PERSON COUNTY,6561,13667,13974,13906,13984,6864,6820,6690,3067,7054,7030,6921,3461,7054,6869,23668,22537,Person,56,56,56,33,61,441,294,37405,7479,20992,22020,22568,7624,21977,23064,23744,441,294,441,441,225,302,294,186,31361,7938,39490,34239,5736,1193,6265,6089,6261,17038,16966,16534,6206,15800,5405,5898,5896,5730,1168,15996,16347,16368,6125,15293
BEAUFORT COUNTY,8558,14796,14990,14967,14992,9815,9794,9697,5702,5087,5085,5011,2797,5087,9815,27591,26000,Beaufort,88,88,88,59,90,671,380,44735,10711,24756,25652,26106,11161,26184,27191,27673,671,380,714,671,390,476,380,243,37669,11538,46994,41131,5123,1014,5766,5673,5765,21193,21155,20847,9757,20390,4770,5335,5335,5248,973,20024,20285,20295,9495,19606
JACKSON COUNTY,5953,12822,13334,13227,13351,7071,7000,6865,3317,5016,5008,4881,2322,5016,7077,25564,23658,Jackson,1247,1219,1076,314,1258,4171,3162,42001,7097,21786,22885,23753,7348,23458,24662,25762,3814,2865,4285,3424,678,3231,2531,570,36721,8759,43938,39175,3436,617,3835,3766,3829,17642,17564,17082,6053,16598,3180,3560,3559,3499,590,16521,16937,16962,5937,16075
CATAWBA COUNTY,21883,46835,48375,48067,48424,14535,14322,13799,7006,33795,33700,32991,14850,33795,14539,91262,87343,Catawba,45,45,45,27,90,1153,691,150636,27737,80617,85241,87433,28296,84115,88966,91559,1153,691,1204,1125,508,754,680,354,124631,29156,159551,137151,29971,4681,33307,32377,33277,57048,56832,55436,23107,53019,28349,31511,31510,30663,4576,53887,55142,55168,22807,51588
WAKE COUNTY,145692,515307,553941,542147,554111,202463,194830,181595,52057,350135,345974,332369,93211,350162,202561,857908,825561,Wake,1343,1343,1343,424,1388,12207,8163,1044525,143354,716096,778266,828402,146555,743417,807748,868560,12163,8150,12282,12017,3679,8191,8055,2940,849055,133864,1111761,941934,238955,24267,285973,268082,284775,570305,560926,527503,118609,492445,234858,279907,279600,263315,24710,506801,537798,540304,115704,473183
CLEVELAND COUNTY,13180,26064,26664,26555,26697,13936,13848,13613,7011,12692,12671,12415,6143,12693,13937,52900,49804,Cleveland,36,36,36,26,67,672,400,92365,16614,46393,48846,49887,17112,49200,51842,53029,672,400,727,672,387,474,400,291,76504,18575,97947,84044,14615,2744,16001,15849,15999,36301,36229,35321,13981,33913,13518,14802,14802,14669,2651,33777,34602,34611,13672,32475
SAMPSON COUNTY,7573,16131,16500,16459,16546,9467,9432,9233,4429,6986,6980,6851,3116,6986,9470,36014,33328,Sampson,47,47,47,28,90,636,405,59389,9586,31108,32725,33399,9939,33485,35271,36091,636,405,677,636,291,460,405,208,48081,11637,63531,53473,8362,1423,9183,8988,9183,26231,26195,25647,8225,24487,7909,8662,8662,8500,1386,23820,24261,24277,7992,22794
COLUMBUS COUNTY,5534,11560,11727,11703,11748,7260,7246,7208,3326,4424,4414,4309,2189,4424,7261,25699,24041,Columbus,43,43,43,19,63,389,307,52603,7541,22618,23683,24101,7846,24075,25241,25820,389,307,479,389,233,349,307,205,44013,11419,55508,48224,6368,1264,7420,7222,7418,17921,17892,17630,6349,17318,5929,6953,6951,6781,1189,16595,16783,16799,6147,16382
CASWELL COUNTY,3069,6136,6226,6207,6243,4838,4823,4770,2460,1388,1384,1366,609,1388,4841,11517,10746,Caswell,0,0,0,0,14,180,74,21496,4165,10243,10565,10809,4390,10952,11311,11597,180,74,234,180,87,128,74,61,18383,5005,22604,19944,1676,415,1787,1764,1786,9576,9551,9367,3888,9096,1417,1516,1516,1493,296,8998,9156,9165,3808,8752
YANCEY COUNTY,3003,5436,5557,5530,5557,4989,4963,4904,2773,568,567,532,230,568,4989,9676,9178,Yancey,,,,,,137,107,17212,3876,8738,9027,9211,4005,9184,9503,9746,137,107,180,137,118,134,107,107,14782,4744,18069,15969,958,169,1108,1104,1106,8458,8433,8262,3718,8089,886,1028,1027,1023,168,7897,8044,8049,3601,7745
LEE COUNTY,7973,17936,18697,18489,18728,8099,7941,7622,3670,10486,10436,10202,4252,10486,8101,37108,34622,Lee,112,112,112,51,141,705,474,57893,9527,31406,33545,34673,9841,33506,35845,37307,705,474,723,705,276,496,474,227,47136,10404,61779,52144,10714,1505,12376,11987,12363,24208,24040,23153,8060,22087,10375,11907,11906,11575,1499,21496,22242,22270,7801,20557
