At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,county1
61901,180450,186517,185284,186537,70095,69703,67573,31352,116422,115581,112877,30549,116425,70112,286008,254769,Missing,,,,,,37964,47391,,55884,232328,245422,256292,76830,262492,276002,288231,37948,47391,39817,37807,9848,48613,47304,9782,,,,,83806,7428,95637,90628,95462,152777,152582,147426,59554,140879,84717,97154,97128,92148,8183,105883,110250,110525,37919,100307,MISSING COUNTY
10902,23296,23808,23740,23845,15363,15322,15132,7713,8367,8340,8086,3159,8367,15367,46350,43857,Wilson,78,78,78,30,111,603,370,76972,13350,40586,42831,43924,13682,42745,45185,46490,603,370,648,603,313,414,370,237,63224,15337,81801,69710,12501,1991,14334,13811,14324,31508,31423,30771,11378,29641,11790,13485,13481,13014,1977,29447,30006,30025,11136,28426,WILSON COUNTY
496,981,997,992,997,902,897,887,458,95,95,94,38,95,902,2076,1988,Tyrrell,,,,,,,,3827,687,1862,1949,1989,701,1943,2033,2079,,,,,,,,,3288,810,4016,3533,175,40,184,182,184,1895,1892,1851,661,1768,150,155,155,155,39,1794,1833,1834,648,1712,TYRRELL COUNTY
13748,30224,30778,30697,30841,14063,14014,13799,6258,15344,15312,15054,7228,15344,14068,66262,61361,Wayne,1371,1371,1371,262,1429,6689,5366,115046,16577,57223,60077,61423,17282,61591,64744,66430,6634,5329,6726,6521,995,5393,5235,741,94031,20802,123131,103693,18333,3400,21046,20287,21040,38658,38533,37823,12887,36737,17319,19766,19761,19108,3274,35640,36234,36264,12562,34669,WAYNE COUNTY
3139,5960,6046,6028,6075,3064,3049,3005,1568,2971,2968,2944,1560,2971,3064,12664,11892,Montgomery,11,11,11,11,40,212,140,25757,4451,11394,11770,11954,4615,12104,12521,12773,212,140,295,212,120,198,140,95,21266,5743,27173,23512,2930,585,3134,3089,3134,9344,9318,9220,3910,8962,2748,2937,2937,2894,542,8736,8815,8819,3814,8506,MONTGOMERY COUNTY
8675,16775,17013,16988,17027,9330,9321,9244,4808,7578,7562,7426,3805,7579,9330,33288,31200,Lenoir,105,105,105,62,118,470,291,52801,10720,29364,30699,31238,10993,31201,32666,33335,470,291,488,470,266,325,291,206,43423,11303,55949,47933,9575,1851,10862,10527,10857,21985,21961,21669,8876,21156,9016,10208,10206,9919,1795,20489,20703,20705,8719,20057,LENOIR COUNTY
4321,8899,9039,9017,9059,5073,5055,5009,2335,3929,3925,3853,1964,3929,5073,18675,17228,Scotland,37,37,37,22,57,247,168,32530,5864,16312,17007,17280,6200,17587,18386,18747,247,168,296,247,142,218,168,104,26793,6531,34823,29381,4724,1004,5387,5234,5385,13064,13043,12905,5054,12616,4304,4879,4878,4760,903,12079,12182,12183,4857,11840,SCOTLAND COUNTY
22964,55397,57412,56979,57464,26306,25980,25108,10997,30937,30830,30120,11883,30939,26309,106675,101676,Alamance,169,169,169,84,216,2027,1280,159560,27298,92758,98366,101780,28174,96999,102970,107165,2027,1280,2075,2005,902,1339,1267,695,132145,29035,169509,145046,25575,4727,28659,27543,28633,76431,76015,73400,22545,69419,24265,27176,27173,26168,4436,70918,73223,73265,22167,67226,ALAMANCE COUNTY
1035,2412,2466,2453,2497,1463,1450,1416,722,790,790,783,313,790,1463,6764,5781,Camden,213,213,213,0,244,2015,1373,10327,1481,5405,5662,5792,1761,6337,6624,6813,2003,1373,2051,1932,207,1383,1319,39,8407,1833,10867,9354,834,136,901,873,898,3861,3851,3748,1418,3571,817,877,877,851,128,3438,3531,3532,1314,3269,CAMDEN COUNTY
2582,6644,6797,6777,6846,4251,4232,4193,1639,1753,1752,1699,672,1753,4251,15460,13992,Greene,793,793,752,271,842,3365,2510,20022,3606,12931,13658,14029,3977,14256,15066,15527,3206,2381,3415,2912,904,2545,2148,589,16884,3592,21069,18372,2616,430,3017,2949,3016,9095,9079,8911,2643,8728,2451,2839,2838,2781,412,8496,8644,8645,2605,8332,GREENE COUNTY
14926,31129,31719,31640,31741,12812,12776,12524,6514,18384,18341,18082,8113,18384,12818,67223,62496,Rowan,523,523,523,299,539,4210,3205,133830,19253,58577,61319,62607,20035,62921,65844,67391,4210,3205,4290,4210,1733,3291,3205,1507,110729,25371,142088,122048,21151,3730,22899,22350,22888,40202,40125,39284,14572,37560,19760,21353,21351,20877,3624,37237,37940,37963,14122,35612,ROWAN COUNTY
2729,4618,4658,4652,4658,3850,3844,3822,2396,808,808,796,333,808,3850,9326,8669,Northampton,,,,,,157,72,18570,3791,8245,8539,8697,3947,8821,9158,9366,157,72,191,157,101,97,72,59,16132,5256,19483,17363,1414,348,1560,1539,1559,7615,7610,7462,3498,7250,1338,1464,1464,1450,319,7017,7133,7136,3413,6835,NORTHAMPTON COUNTY
7886,15762,16089,16049,16117,6960,6924,6798,3324,9114,9110,8949,4547,9114,6962,34466,32153,Wilkes,15,15,15,15,41,309,192,64946,10970,30358,31649,32228,11419,32518,33891,34589,309,192,391,309,217,250,192,167,54628,15162,68412,59783,10339,2246,10980,10886,10975,23218,23182,22696,8956,21870,9801,10411,10410,10327,2134,21130,21551,21567,8669,20365,WILKES COUNTY
11478,24374,24971,24871,25000,8415,8371,8252,4175,16518,16462,16084,7293,16518,8416,45274,43177,Lincoln,38,38,38,10,66,392,246,81663,13704,40197,42162,43216,13978,42084,44181,45379,392,246,414,392,251,279,246,203,67981,15456,86111,74647,15509,2492,17574,17003,17556,27391,27326,26786,11235,26183,14586,16541,16541,15999,2463,25917,26390,26396,11038,25365,LINCOLN COUNTY
11426,21467,21837,21786,21851,12017,11982,11829,7055,9820,9804,9638,4371,9820,12017,41406,39316,Caldwell,0,0,0,0,14,333,203,78015,13972,37333,38789,39348,14252,39194,40784,41470,333,203,342,333,193,222,203,150,65842,16769,82178,71809,10970,1603,11926,11689,11918,29202,29155,28762,12456,27891,10072,10885,10883,10701,1550,27885,28230,28241,12272,27058,CALDWELL COUNTY
1956,3762,3856,3844,3856,2448,2440,2394,1281,1408,1404,1368,675,1408,2448,9104,8622,Polk,,,,,,160,100,19940,3973,8165,8492,8659,4135,8606,8953,9169,160,100,209,160,124,130,100,88,17478,6644,20724,18752,1724,787,1880,1833,1878,7080,7066,6960,3224,6722,1650,1802,1802,1756,768,6636,6720,6727,3117,6415,POLK COUNTY
9362,18907,19265,19209,19284,9581,9527,9331,4732,9625,9623,9517,4585,9627,9583,38230,36258,Surry,59,59,59,45,74,339,237,67979,12452,34132,35672,36285,12816,35871,37530,38371,339,237,399,339,244,244,237,192,56811,14964,71783,62223,11461,2438,12143,12034,12139,25829,25752,25157,10134,24071,10777,11407,11404,11332,2334,24103,24617,24634,9926,23118,SURRY COUNTY
6938,11507,11650,11627,11669,8248,8225,8125,4931,3402,3402,3382,2007,3402,8253,22127,21124,Macon,0,0,0,0,14,474,355,34121,9248,20175,20838,21192,9462,21076,21809,22213,474,355,533,474,265,414,355,238,29260,10350,35858,31614,3055,918,3203,3167,3202,18477,18451,18168,8279,17547,2851,2990,2989,2966,898,17517,17780,17788,8112,16969,MACON COUNTY
2074,3199,3234,3227,3234,2626,2620,2593,1719,608,607,606,355,608,2626,5524,5219,Clay,,,,,,128,64,10740,2637,5046,5166,5314,2723,5324,5455,5654,128,64,253,128,54,158,64,23,9352,3581,11231,10050,1045,346,1051,1049,1050,4350,4346,4278,2323,4151,989,995,994,993,336,4109,4161,4161,2278,3993,CLAY COUNTY
5015,9703,9873,9849,9885,4429,4409,4344,2416,5433,5429,5348,2588,5433,4430,19673,18762,Yadkin,11,11,11,11,22,164,108,35700,6552,17694,18441,18792,6680,18502,19329,19734,164,108,188,164,114,130,108,92,29851,7711,37667,32660,5146,914,5614,5533,5612,13932,13897,13632,5652,13192,4891,5325,5325,5247,932,13086,13329,13337,5528,12695,YADKIN COUNTY
25671,58103,60802,59893,60812,55632,54759,53036,22966,5170,5134,5067,2705,5170,55642,121429,111501,Out of State,,,,,,,,,41742,104949,108143,111645,44447,113859,117417,122620,,,,,,,,,,,,,738,137,800,770,798,121820,120631,116647,44310,113121,937,1055,1055,997,202,107146,110446,110590,41540,104012,OUT OF STATE
15508,42046,43155,43002,43182,10267,10182,9930,4728,23470,23402,22915,9655,23470,10271,133141,119584,Onslow,9418,9418,9201,1125,9441,61109,51905,180787,19544,111840,117211,119671,20719,124034,130184,133366,60414,51486,61161,58415,2915,51933,49936,2168,149343,19026,197938,162055,27587,3351,31571,30315,31542,40634,40490,39455,14453,38032,25677,29318,29316,28259,3190,37466,38363,38420,14186,36227,ONSLOW COUNTY
5066,10369,10585,10543,10624,6821,6780,6685,3349,3710,3709,3630,1692,3710,6822,23658,21811,Richmond,54,54,54,25,92,450,323,42075,7200,20567,21467,21888,7417,22213,23233,23769,450,323,525,450,181,389,323,152,34516,8183,44829,38043,5092,771,5640,5551,5640,17604,17568,17232,6465,16671,4678,5185,5185,5108,722,16036,16303,16314,6326,15566,RICHMOND COUNTY
43384,109382,113912,112837,114036,64596,63815,61739,25477,49108,48814,47435,17821,49108,64625,182218,173650,Buncombe,208,208,208,86,303,7284,4366,248550,49204,158931,167560,174061,50668,166504,175621,183679,7266,4366,7370,7206,2826,4434,4327,2091,213777,53494,261191,230148,40730,8417,45472,43913,45359,130837,129575,124442,39425,118568,40230,44947,44912,43417,8657,119777,124372,124680,38456,114374,BUNCOMBE COUNTY
23431,71545,75959,75279,76017,22775,22597,21611,7257,53011,52509,49761,16073,53012,22784,138756,133219,Union,173,173,173,101,221,1374,730,226508,27297,116300,127554,133370,27863,120903,132606,139223,1374,730,1412,1329,647,806,712,431,176616,31234,239859,202043,44005,4944,54942,51252,54780,82869,82602,79980,22272,75569,42581,53166,53156,49732,5015,77092,79333,79398,21851,73007,UNION COUNTY
21736,65557,69077,68388,69111,25357,25017,24022,8921,43176,42827,40991,12628,43178,25360,129380,122120,Cabarrus,544,544,544,187,573,4177,2599,202607,25548,106875,116236,122227,26384,113014,122888,129925,4151,2599,4233,4043,1284,2624,2530,972,161462,29064,216453,181104,40966,4889,49314,46339,49201,76378,76002,72398,20211,68005,39634,47729,47725,44978,4859,68659,71796,71874,19717,64711,CABARRUS COUNTY
2079,3423,3458,3451,3474,2140,2133,2114,1359,1318,1318,1309,720,1318,2141,6539,5946,Washington,0,0,0,0,15,64,40,10985,2497,5596,5849,5959,2729,6155,6421,6559,64,40,66,64,40,41,40,27,9274,2932,11580,10083,1787,514,1854,1850,1853,4639,4622,4507,2175,4304,1592,1660,1660,1655,444,4154,4246,4258,2026,3964,WASHINGTON COUNTY
10938,27360,28307,28139,28337,12387,12279,11982,5646,14806,14746,14334,5120,14807,12389,64111,58746,Harnett,1114,1114,1044,172,1141,7304,5185,126086,13882,52819,56823,58820,14575,57253,61794,64367,6965,5009,7382,6092,965,5224,4331,656,100990,17458,135976,112079,18253,2150,21168,20222,21131,35817,35676,34607,11460,32908,17288,19929,19922,19087,2085,32727,33639,33667,11141,31200,HARNETT COUNTY
10845,22584,23136,23065,23178,11687,11631,11363,5543,11449,11434,11221,5302,11449,11687,44593,42222,Burke,0,0,0,0,42,740,447,86176,13600,39513,41485,42327,13954,41652,43746,44789,740,447,824,740,356,513,447,262,73860,18720,90485,79893,10743,1873,11854,11617,11836,32111,32017,31389,11725,30169,9959,10969,10969,10798,1807,30240,30806,30845,11531,29107,BURKE COUNTY
7868,21040,21696,21566,21717,10463,10373,10071,4127,9466,9426,9202,3476,9466,10465,40456,38055,Granville,1767,1767,1767,265,1786,5388,4683,57336,9054,35110,37059,38159,9272,37176,39297,40676,5388,4683,5487,5388,612,4756,4683,533,48058,10674,60443,52711,9701,1329,10954,10612,10940,24235,24128,23297,7331,22087,9341,10505,10502,10187,1387,22189,22870,22898,7134,21086,GRANVILLE COUNTY
24736,58594,60269,59974,60337,25883,25730,25279,11721,34080,33938,33009,12841,34080,25897,121536,113615,Gaston,306,306,306,174,360,1933,1203,211171,31832,104889,110635,113736,33205,111922,118133,121912,1933,1203,2004,1900,1011,1246,1178,693,174276,36651,224529,191721,37942,5820,43319,41846,43277,76589,76326,74354,26374,72080,35887,40914,40914,39593,5664,69839,71498,71576,25475,67824,GASTON COUNTY
6578,12691,12914,12883,12961,8570,8551,8464,4608,4253,4241,4136,1918,4253,8571,26872,24796,Edgecombe,91,91,91,52,137,872,516,48532,8245,23217,24332,24853,8659,25081,26309,26967,872,516,933,856,420,568,495,230,39904,10509,51472,43948,6700,1242,7600,7392,7595,18434,18405,18045,6997,17525,6230,7041,7041,6874,1183,16942,17239,17244,6832,16492,EDGECOMBE COUNTY
7168,18680,19606,19326,19608,13304,13028,12470,4932,6302,6298,6210,2236,6302,13306,33240,31370,Watauga,,,,,,133,55,54308,7790,29086,30375,31478,8184,30984,32184,33549,133,55,223,133,74,107,55,55,49022,9229,56177,51530,4626,718,4818,4794,4815,28508,28292,27257,7392,26225,4275,4454,4453,4434,679,25886,26862,26917,7056,24756,WATAUGA COUNTY
3554,10029,10355,10298,10382,4948,4907,4808,2157,4374,4358,4231,1260,4374,4950,26714,23302,Hoke,1033,1033,990,137,1058,6345,4509,50664,4451,20771,22455,23341,4759,23664,25658,26836,6151,4399,6394,5571,590,4523,3953,443,40282,5854,55234,44624,6155,644,7162,6869,7157,13280,13212,12638,3525,11938,5867,6773,6773,6524,615,11532,12020,12045,3393,10951,HOKE COUNTY
2595,5263,5324,5321,5334,3830,3829,3792,1892,1494,1492,1471,703,1494,3830,10949,10158,Bertie,0,0,0,0,10,67,16,18126,3703,9672,10025,10214,3925,10402,10794,11024,67,16,133,67,20,68,16,16,15647,4479,18947,16854,1948,384,2139,2093,2139,8752,8743,8634,3521,8387,1818,1985,1985,1946,364,8063,8157,8161,3323,7838,BERTIE COUNTY
6489,13585,13871,13814,13881,6801,6765,6646,3031,7016,6995,6885,3425,7016,6806,23633,22500,Person,54,54,54,33,59,441,293,37405,7437,20956,21979,22527,7583,21939,23023,23692,441,293,441,441,225,301,293,186,31361,7938,39490,34239,5718,1185,6250,6072,6246,17001,16946,16510,6173,15780,5389,5883,5881,5715,1156,15971,16326,16343,6095,15274,PERSON COUNTY
8475,14680,14866,14849,14868,9714,9699,9604,5645,5066,5064,4990,2772,5066,9714,27536,25949,Beaufort,86,86,86,58,88,667,376,44735,10669,24698,25605,26054,11122,26127,27147,27608,667,376,710,667,388,471,376,240,37669,11538,46994,41131,5097,1004,5748,5657,5747,21150,21122,20823,9730,20363,4749,5322,5322,5234,962,19995,20251,20261,9467,19573,BEAUFORT COUNTY
5925,12770,13274,13175,13291,7054,6986,6851,3307,4993,4984,4856,2306,4993,7060,25545,23621,Jackson,1227,1205,1063,312,1238,4161,3138,42001,7076,21748,22850,23699,7327,23440,24641,25731,3809,2846,4267,3420,678,3194,2512,570,36721,8759,43938,39175,3426,610,3830,3760,3824,17634,17560,17072,6039,16594,3172,3557,3556,3495,583,16509,16927,16948,5923,16064,JACKSON COUNTY
21678,46570,48067,47793,48114,14408,14223,13716,6950,33621,33532,32816,14703,33621,14412,91109,87171,Catawba,38,38,38,25,81,1138,689,150636,27606,80437,85083,87257,28155,83932,88805,91371,1138,689,1189,1110,497,751,678,353,124631,29156,159551,137151,29887,4625,33245,32311,33219,56937,56752,55356,23033,52935,28259,31446,31445,30590,4522,53804,55037,55060,22731,51500,CATAWBA COUNTY
144277,512435,549404,539054,549572,200061,193511,180579,51554,348029,344229,330542,92308,348055,200160,856373,824125,Wake,1314,1314,1314,415,1357,12114,8133,1044525,142595,714758,777001,826215,145711,741866,806309,865379,12071,8123,12185,11928,3644,8161,8032,2933,849055,133864,1111761,941934,238349,23994,285363,267512,284291,567831,559968,526726,118073,491589,234254,279299,279039,262736,24449,506142,536953,538755,115213,472472,WAKE COUNTY
13089,25928,26522,26422,26562,13875,13796,13564,6989,12623,12602,12340,6086,12624,13876,52884,49764,Cleveland,24,24,24,14,62,662,399,92365,16563,46346,48807,49846,17053,49154,51811,53006,662,399,717,662,378,473,399,291,76504,18575,97947,84044,14582,2716,15984,15828,15982,36305,36240,35321,13959,33910,13480,14772,14772,14639,2624,33769,34593,34601,13648,32467,CLEVELAND COUNTY
7516,16019,16353,16323,16396,9345,9320,9144,4388,6961,6956,6828,3099,6961,9348,35952,33254,Sampson,47,47,47,29,87,632,405,59389,9531,31048,32665,33322,9877,33430,35214,36018,632,405,673,632,289,460,405,208,48081,11637,63531,53473,8344,1399,9165,8970,9165,26180,26155,25612,8189,24454,7897,8650,8650,8489,1365,23771,24199,24212,7958,22746,SAMPSON COUNTY
5496,11512,11670,11649,11690,7233,7223,7188,3312,4393,4382,4280,2165,4393,7234,25640,23990,Columbus,44,44,44,19,63,387,307,52603,7493,22555,23633,24046,7798,24008,25186,25751,387,307,472,387,233,348,307,205,44013,11419,55508,48224,6341,1254,7406,7205,7404,17873,17849,17594,6311,17280,5895,6931,6929,6757,1176,16569,16754,16767,6112,16353,COLUMBUS COUNTY
3041,6115,6202,6187,6218,4824,4810,4756,2440,1378,1377,1359,601,1378,4827,11503,10731,Caswell,0,0,0,0,13,179,73,21496,4139,10233,10555,10792,4364,10939,11299,11577,179,73,232,179,86,127,73,61,18383,5005,22604,19944,1676,412,1786,1763,1786,9559,9538,9357,3866,9084,1418,1517,1517,1493,292,8989,9141,9148,3786,8742,CASWELL COUNTY
2987,5425,5546,5520,5546,4979,4954,4894,2757,567,566,531,230,567,4979,9672,9168,Yancey,,,,,,136,107,17212,3858,8720,9018,9199,3986,9174,9502,9731,136,107,179,136,117,134,107,107,14782,4744,18069,15969,956,167,1108,1104,1106,8444,8430,8262,3702,8082,884,1028,1027,1023,165,7888,8034,8037,3586,7729,YANCEY COUNTY
7882,17766,18481,18303,18512,7987,7850,7547,3627,10390,10349,10115,4208,10390,7989,36958,34484,Lee,104,104,104,47,133,703,474,57893,9478,31302,33433,34526,9772,33372,35707,37116,703,474,721,703,275,496,474,227,47136,10404,61779,52144,10669,1495,12333,11950,12319,24062,23936,23054,8002,22000,10335,11868,11867,11543,1493,21416,22143,22162,7758,20493,LEE COUNTY
