COVID Confirmed Asian or PacificIslander,COVID Suspected Ethnicity Missing,COVID Suspected Age Missing,COVID Suspected Race Missing,COVID Suspected Gender Missing,COVID Confirmed Gender Missing,COVID Confirmed Ethnicity Missing,COVID Confirmed Race Missing,COVID Confirmed Age Missing,today,Date Filter,Max Date,Date,COVID Confirmed 0-17,COVID Confirmed 18-19,COVID Confirmed 20-29,COVID Confirmed 30-39,COVID Confirmed 40-49,COVID Confirmed 50-59,COVID Confirmed 60-69,COVID Confirmed 70-79,COVID Confirmed 80-,COVID Confirmed Age Unknown,COVID Confirmed Hispanic,COVID Confirmed Non-Hispanic,COVID Confirmed Ethnicity Not Disclosed,COVID Confirmed Female,COVID Confirmed Male,COVID Confirmed Gender Not Disclosed,COVID Confirmed Gender Unknown,COVID Confirmed Alaskan Native American Indian,COVID Confirmed Black African American,COVID Confirmed Race Not Disclosed,COVID Confirmed Race Additional Groups,COVID Confirmed White
0,14,0,18,32,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-08,1,1,1,4,2,7,6,14,9,0,0,44,1,29,16,0,0,0,14,0,1,30
0,0,0,0,0,1,1,1,1,2022-06-15,T,2022-06-11,2021-04-03,2,1,3,14,16,23,21,23,11,2,9,98,9,57,57,2,0,1,26,12,6,71
1,37,0,39,55,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-07,6,0,5,2,8,14,15,27,13,0,4,79,7,54,36,0,0,2,19,3,4,61
2,14,8,6,27,9,10,9,8,2022-06-15,T,2022-06-11,2020-10-18,0,0,3,10,13,25,22,36,28,0,12,110,13,75,61,0,0,1,48,2,7,76
2,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-21,4,1,19,40,47,70,71,59,42,4,30,312,15,179,174,4,0,8,92,6,24,225
3,0,0,0,22,18,19,18,18,2022-06-15,T,2022-06-11,2021-09-07,13,2,25,33,44,66,67,50,37,4,26,290,24,168,169,4,0,8,68,11,27,224
0,0,0,0,21,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-09,3,0,6,20,11,24,23,14,8,1,7,94,9,57,52,1,0,4,36,2,7,61
2,88,0,91,120,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-05,9,3,23,34,33,60,89,96,81,4,20,395,17,239,188,4,1,8,92,9,24,297
5,4,0,2,0,3,4,5,3,2022-06-15,T,2022-06-11,2020-11-09,2,1,10,9,13,31,30,45,34,0,13,148,13,89,86,0,0,1,48,2,11,106
3,17,17,14,17,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-06,2,1,1,10,11,23,37,26,19,5,6,115,14,66,65,4,0,3,40,7,4,78
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-11,3,1,8,22,21,38,35,34,28,0,15,172,3,91,99,0,0,8,33,4,14,129
5,86,0,83,90,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-06,14,5,51,43,66,68,96,99,70,6,32,464,22,271,239,6,2,10,161,18,44,280
6,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-09,3,1,7,15,24,51,78,85,59,1,20,267,37,165,155,3,1,2,89,6,23,198
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-26,2,0,8,13,13,47,61,87,67,1,14,269,16,138,160,1,0,1,80,2,15,200
4,50,0,47,72,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-20,2,1,8,14,15,33,39,43,23,2,6,166,8,94,84,2,0,1,33,9,8,125
0,0,1,0,3,2,3,2,2,2022-06-15,T,2022-06-11,2021-07-20,3,0,4,11,12,28,9,23,10,0,7,86,6,57,42,1,0,4,24,1,10,61
1,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-28,2,0,5,18,7,33,12,18,8,1,12,88,4,58,45,1,0,1,28,2,9,63
1,1,0,4,13,2,2,2,0,2022-06-15,T,2022-06-11,2020-11-02,0,0,5,11,16,27,28,28,29,0,12,117,13,71,70,0,1,1,35,6,16,83
0,48,0,52,76,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-20,8,2,5,9,8,21,32,50,34,2,7,158,6,88,81,2,0,4,23,5,10,129
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-20,1,2,12,13,27,30,32,25,21,0,12,147,4,80,83,0,0,6,54,2,10,91
2,0,0,0,29,2,2,2,2,2022-06-15,T,2022-06-11,2021-09-04,7,4,22,31,55,76,75,72,45,4,19,351,21,202,185,4,0,9,94,9,20,257
1,43,0,45,59,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-29,2,1,4,11,14,27,32,30,10,1,8,119,5,63,68,1,0,2,29,5,8,87
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-18,7,3,23,39,60,80,88,57,37,4,23,360,15,191,203,4,0,12,80,13,19,270
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-07,1,0,11,14,18,24,22,14,11,5,8,98,14,65,50,5,0,2,41,5,10,61
4,2,2,2,7,3,8,10,2,2022-06-15,T,2022-06-11,2021-01-24,7,1,8,14,29,43,90,78,68,0,22,281,29,173,164,0,0,9,117,6,21,173
1,21,0,22,32,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-09,1,0,3,2,6,7,6,11,7,0,1,42,0,24,19,0,0,2,9,0,4,27
1,16,0,20,37,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-10,1,0,6,6,2,8,15,16,15,0,3,62,4,46,23,0,0,1,16,2,4,45
7,0,0,0,0,1,1,1,1,2022-06-15,T,2022-06-11,2021-01-14,3,2,15,21,29,66,87,129,105,9,16,417,33,225,234,5,2,10,120,13,14,302
0,42,0,45,68,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-09,3,1,9,19,25,42,39,38,26,1,15,184,4,104,98,1,0,4,43,3,17,136
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-14,2,0,10,7,5,3,16,8,6,0,5,46,6,33,22,1,1,3,18,3,4,29
0,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-11,1,1,6,7,8,3,12,6,3,1,3,40,5,27,20,1,0,0,9,4,4,31
1,2,2,1,2,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-06,3,0,7,15,19,18,35,26,11,3,9,108,20,70,64,3,0,2,46,11,7,70
0,23,0,0,42,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-06,3,0,5,3,3,19,12,13,19,0,1,75,1,46,31,0,0,2,14,0,2,59
3,0,0,0,0,7,7,7,7,2022-06-15,T,2022-06-11,2021-09-18,8,3,18,35,45,53,66,52,27,4,23,274,14,153,154,4,0,9,72,8,19,200
1,9,5,6,21,9,9,9,8,2022-06-15,T,2022-06-11,2020-10-19,1,0,2,3,6,17,25,31,25,0,7,93,9,61,47,0,1,1,35,0,6,66
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-30,2,1,10,21,24,30,34,41,20,3,12,162,12,92,91,3,0,3,43,6,10,121
0,42,0,43,57,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-12,3,0,4,9,9,28,22,21,15,1,7,99,6,46,65,1,0,2,20,4,5,81
7,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-02-02,7,0,8,22,24,43,70,84,84,0,14,311,17,188,154,0,0,9,101,4,18,203
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-18,3,1,6,7,11,10,26,21,11,3,6,85,8,44,52,3,0,2,30,4,8,53
1,23,0,27,45,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-04,6,0,4,2,7,6,11,14,17,0,4,63,0,39,28,0,0,0,17,1,4,44
6,101,0,98,127,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-30,12,4,27,36,29,62,88,116,83,4,18,416,27,242,215,4,0,9,113,10,24,299
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-19,3,0,11,13,14,29,32,37,27,2,14,143,11,80,86,2,0,6,27,9,10,115
5,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-02-26,4,1,10,8,10,24,38,37,23,0,3,145,7,90,65,0,0,2,53,0,6,89
3,3,2,2,18,9,9,14,11,2022-06-15,T,2022-06-11,2020-11-15,4,1,7,10,15,19,32,39,28,1,17,129,12,76,82,0,0,2,41,4,11,92
2,32,0,33,47,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-05,1,0,10,13,4,20,23,24,16,0,5,104,2,61,50,0,0,1,16,1,4,87
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-05,2,1,3,18,8,28,33,10,15,2,8,106,6,64,53,3,0,2,37,6,6,66
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-19,10,3,17,23,37,56,67,46,26,2,19,252,16,145,140,2,0,8,65,6,22,183
4,4,4,1,23,11,13,11,10,2022-06-15,T,2022-06-11,2020-10-20,3,1,5,9,13,30,30,45,26,0,11,138,10,79,82,0,0,1,53,2,9,92
7,139,0,136,172,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-21,26,4,61,73,57,95,153,117,127,7,40,650,30,365,349,6,0,8,225,19,46,415
0,58,0,62,79,1,1,1,0,2022-06-15,T,2022-06-11,2021-10-24,1,1,9,10,19,21,17,20,14,2,9,100,4,56,55,2,0,2,20,5,5,81
1,5,5,5,22,7,8,7,7,2022-06-15,T,2022-06-11,2021-02-21,3,0,8,2,9,27,27,28,21,0,11,104,9,60,65,0,0,2,37,2,12,71
1,2,2,2,20,0,2,1,0,2022-06-15,T,2022-06-11,2020-11-24,3,2,6,15,16,34,51,73,53,1,20,215,17,130,123,1,0,0,57,11,15,169
0,48,0,49,71,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-02,5,0,7,12,13,15,34,29,25,1,4,133,4,66,74,1,0,3,27,3,5,103
2,0,1,2,4,9,11,5,9,2022-06-15,T,2022-06-11,2021-01-21,3,1,9,20,34,51,77,90,89,0,22,326,24,201,173,0,0,8,99,8,23,238
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-06,1,1,8,14,16,26,17,14,12,0,9,99,1,64,45,0,0,3,34,3,3,66
2,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-19,7,3,24,32,54,81,94,68,35,2,27,355,18,202,196,2,0,13,71,10,23,281
2,24,0,28,47,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-23,2,1,4,8,4,12,16,25,28,0,2,95,3,48,52,0,0,2,20,1,6,69
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-02-13,4,1,12,19,11,30,47,52,59,0,13,204,18,118,117,0,0,0,58,2,12,161
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-11,7,1,9,19,10,20,31,28,9,3,10,120,7,67,68,2,0,4,50,4,6,72
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-06,8,3,17,26,35,48,39,33,25,2,17,208,11,109,124,2,1,3,52,5,14,158
0,1,0,2,1,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-01,3,0,6,9,11,16,13,19,16,1,4,84,6,49,43,1,1,2,20,2,4,66
3,0,0,5,0,0,0,0,0,2022-06-15,T,2022-06-11,2020-12-16,1,2,10,15,24,50,74,80,68,0,15,285,24,155,169,0,0,1,88,11,15,206
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-14,1,1,5,5,8,12,13,8,4,0,4,49,4,28,29,0,0,0,11,2,4,40
7,77,0,71,101,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-30,11,2,32,32,43,62,67,75,44,5,16,342,15,210,158,5,0,6,113,13,23,211
11,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-03,2,0,9,8,6,17,14,10,13,0,6,69,4,44,35,0,0,2,22,0,7,37
2,0,0,1,0,22,22,22,22,2022-06-15,T,2022-06-11,2020-12-25,3,0,7,17,30,49,67,96,83,2,15,318,21,164,188,2,0,5,104,5,17,221
2,54,0,54,78,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-21,0,4,10,11,19,30,51,48,32,2,7,193,7,104,101,2,0,2,41,5,7,150
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-23,3,0,7,14,13,33,19,16,12,0,12,98,7,54,61,2,0,5,22,4,12,72
0,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-25,5,2,9,6,14,22,16,13,4,0,9,78,4,50,41,0,0,2,25,4,6,54
0,26,0,28,41,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-25,0,0,3,4,4,6,9,8,16,1,1,45,5,23,27,1,0,0,13,1,3,34
1,12,0,14,35,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-14,2,0,9,4,8,9,11,20,22,1,3,78,5,47,38,0,1,1,24,3,6,51
1,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-28,4,3,15,34,45,64,78,58,58,17,16,330,30,173,186,17,0,7,89,23,19,237
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-27,3,0,9,12,22,42,31,24,11,1,9,133,13,74,80,0,1,4,51,2,8,90
4,1,0,0,12,2,3,2,2,2022-06-15,T,2022-06-11,2021-01-30,4,2,9,11,20,40,59,83,82,1,19,264,27,151,157,3,0,6,81,8,18,194
0,40,0,43,64,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-23,6,0,12,8,21,23,22,29,21,0,8,128,6,62,80,0,0,3,21,2,7,109
0,21,0,26,38,0,0,0,0,2022-06-15,T,2022-06-11,2022-03-26,2,2,5,1,3,5,10,9,9,1,4,42,1,29,17,1,0,2,11,2,3,29
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-10,0,1,2,14,16,18,22,15,13,2,9,81,13,52,49,2,0,3,31,5,7,55
4,0,0,0,24,4,4,4,5,2022-06-15,T,2022-06-11,2021-09-06,14,1,24,46,57,73,56,59,35,3,23,334,12,195,171,3,0,10,74,9,26,246
3,76,0,80,100,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-06,8,1,16,20,21,44,95,77,57,0,13,315,11,184,155,0,0,9,74,4,15,234
0,8,8,11,8,4,5,4,4,2022-06-15,T,2022-06-11,2020-11-08,2,0,2,11,9,14,21,39,19,2,5,106,7,51,66,2,0,2,23,2,5,87
0,28,0,35,54,0,0,0,0,2022-06-15,T,2022-06-11,2022-05-31,9,1,6,6,7,14,15,28,35,2,5,110,8,67,53,2,1,3,21,5,8,86
1,0,0,1,0,1,1,1,1,2022-06-15,T,2022-06-11,2020-11-22,2,0,6,7,16,34,41,57,43,4,16,172,22,104,106,0,0,1,54,6,15,133
6,82,0,77,107,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-23,5,2,24,40,34,67,76,96,84,3,19,390,22,221,207,3,0,8,116,10,25,266
1,34,0,35,57,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-26,4,0,8,12,17,24,23,20,19,1,8,111,9,67,60,1,0,1,20,9,7,90
2,7,7,8,25,13,14,13,12,2022-06-15,T,2022-06-11,2021-02-19,1,1,2,10,11,32,38,47,25,0,11,140,14,82,84,0,0,4,57,3,8,92
2,45,0,44,60,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-24,7,2,13,11,20,26,29,25,16,0,12,132,5,74,75,0,0,2,34,4,9,98
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-27,3,2,27,34,57,81,82,62,39,2,26,345,18,205,181,2,1,9,79,11,21,266
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-28,6,0,7,12,24,35,21,21,17,0,8,127,8,75,68,0,0,6,48,5,6,74
3,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-01-29,7,1,8,18,25,50,51,84,53,0,12,267,18,163,134,0,0,10,98,7,8,171
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-10-05,5,2,14,21,35,40,50,42,32,2,19,212,12,126,115,2,0,10,53,10,19,150
1,0,0,1,0,2,2,2,2,2022-06-15,T,2022-06-11,2020-12-07,2,2,12,18,24,42,66,64,43,1,15,245,14,152,122,0,0,8,79,4,18,164
7,108,0,104,134,0,0,0,0,2022-06-15,T,2022-06-11,2022-01-16,13,4,42,48,59,96,104,104,72,6,28,493,27,295,247,6,0,9,202,14,31,285
0,0,0,0,0,3,3,3,3,2022-06-15,T,2022-06-11,2021-03-20,2,1,8,8,11,24,30,25,16,5,4,115,11,69,56,5,0,1,35,6,5,83
2,0,0,2,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-02-11,3,0,9,15,14,37,46,52,39,0,11,186,18,108,107,0,0,2,65,4,12,130
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-05-09,2,1,3,13,11,13,20,14,14,0,3,85,3,56,35,0,0,1,35,1,2,52
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-08,3,4,17,30,38,60,52,37,30,1,20,236,16,129,139,2,2,6,73,8,22,162
1,49,0,49,75,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-03,3,1,7,9,14,13,18,24,14,0,4,95,4,55,48,0,0,1,23,1,5,72
1,43,0,46,70,0,0,0,0,2022-06-15,T,2022-06-11,2022-02-25,4,2,6,9,8,25,32,38,28,1,7,142,4,69,84,0,0,8,32,2,4,106
0,68,51,69,66,38,38,38,32,2022-06-15,T,2022-06-11,2020-10-06,1,0,4,4,5,12,26,28,20,5,7,79,13,48,46,5,0,3,36,8,3,49
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-09-27,4,1,18,16,33,43,52,47,28,4,10,223,13,133,110,3,0,8,63,9,12,152
0,0,0,3,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-03-28,2,3,7,16,17,22,15,17,19,3,3,101,17,57,61,3,0,3,26,8,4,80
0,5,0,5,21,3,5,3,1,2022-06-15,T,2022-06-11,2020-10-28,2,1,4,14,13,23,26,48,21,0,17,125,6,74,76,0,0,2,50,3,10,85
5,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-01-05,1,3,20,29,39,62,113,138,118,13,25,457,54,274,251,11,0,8,147,17,20,339
1,0,0,1,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-23,1,0,6,5,7,8,7,10,2,1,4,37,6,24,22,1,0,1,13,2,4,26
1,0,0,3,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-02,2,0,5,5,8,9,12,6,13,1,1,59,1,30,30,1,0,3,17,1,0,39
1,50,0,50,71,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-18,4,3,7,12,21,52,38,47,25,0,13,189,7,89,120,0,0,4,35,2,16,151
0,18,0,26,39,0,0,0,0,2022-06-15,T,2022-06-11,2022-04-28,3,1,3,3,2,4,13,13,14,1,2,52,3,35,21,1,0,0,13,1,3,40
0,26,0,34,49,0,0,0,0,2022-06-15,T,2022-06-11,2022-06-04,0,0,7,8,6,12,26,28,30,4,2,111,8,73,44,4,0,2,37,6,4,72
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-03,1,0,2,5,10,8,9,3,2,2,2,37,3,22,18,2,0,1,12,2,3,24
10,3,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-01-06,4,1,13,31,30,64,105,121,92,15,19,412,45,246,217,13,0,7,119,22,22,296
1,45,0,47,77,0,0,0,0,2022-06-15,T,2022-06-11,2021-12-17,5,1,4,17,23,33,45,43,28,0,13,177,9,99,100,0,0,3,36,4,13,142
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-06-22,1,1,2,6,8,9,8,6,2,1,5,36,3,26,17,1,0,1,11,1,3,28
4,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-04-30,4,2,12,13,21,29,23,21,16,1,8,127,7,76,64,2,0,1,54,5,8,70
0,34,0,37,57,0,0,0,0,2022-06-15,T,2022-06-11,2021-11-22,2,2,4,12,14,16,27,27,20,2,8,111,7,62,63,1,0,3,23,2,8,90
1,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-08-25,4,2,17,36,56,76,89,64,38,5,35,337,15,183,199,5,0,9,86,11,35,245
2,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-01-31,5,2,9,11,19,45,58,71,66,0,10,254,22,152,134,0,0,5,93,2,13,171
0,0,0,0,0,0,0,0,0,2022-06-15,T,2022-06-11,2021-07-31,4,1,16,23,25,31,41,27,14,0,12,163,7,100,82,0,0,3,52,4,11,112
