OBJECTID,loc_vfc_pin,OrganizationName,LocationName,VaccineAdministrationStreetAddr,VaccineAdministrationCity,VaccineAdministrationCounty,VaccineAdministrationState,VaccineAdministrationZipCode,StatusforLocation,COVID_19VaccinationProviderType,POINT_X,POINT_Y,V1,V2,UpdateDTS
1064,60C030,Bio-Medical Applications of North Carolina Inc. dba Fresenius Kidney Care Charlotte Area,"Bio-Medical Applications of North Carolina, Inc  dba  Fresenius Kidney Care Regal Oaks",6646 Regal Oaks  Drive,Charlotte,Mecklenburg,North Carolina,28212,Approved,Other,1483026.34046763,533398.489498138,-80.7307118971456,35.2032287874291,202106031931
1065,60C031,Bio-Medical Applications of North Carolina Inc. dba Fresenius Kidney Care Charlotte Area,"Bio-Medical Applications of North Carolina, Inc.  dba  Fresenius Kidney Care Aldersgate","3211 Bishops Way, Suite 2000",Charlotte,Mecklenburg,North Carolina,28215,Approved,Other,1471252.71178398,543972.495252982,-80.7707504784279,35.2317076837946,202106031931
1066,60C029,Bio-Medical Applications of North Carolina Inc. dba Fresenius Kidney Care Charlotte Area,"Bio-Medical Applications of North Carolina, Inc. dba Fresenius Kidney Care East Charlotte",1334 Central Avenue,Charlotte,Mecklenburg,North Carolina,28205,Approved,Other,1457800.0195293,539868.996242151,-80.8155417011214,35.2197668161528,202106031931
1067,60C108,Build A Smile Darren Ramsey DDS PLLC,Build A Smile,5110 Park Rd,Charlotte,Mecklenburg,North Carolina,28209,Approved,Other,1447328.00044714,518725.007362232,-80.8492801628085,35.1611486072324,202106031931
1068,600003,"The C.W. Williams Community Health Center, Inc.",C.W. Williams Community Health Center,3333 Wilkinson Blvd,Charlotte,Mecklenburg,North Carolina,28208,Approved,Public health provider : Federally Qualified Health Center,1433776.01442781,541918.989845559,-80.8960973686079,35.2241645782752,202106031931
1069,60C079,PHARMA CAROLINA LLC dba CAREFIRST SPECIALTY PHARMACY,CAREFIRST SPECIALTY PHARMACY,11100 S Tryon St,Charlotte,Mecklenburg,North Carolina,28273,Approved,Pharmacy : independent,1413641.01171888,503412.001570985,-80.9609587310736,35.117304473267,202106031931
1070,60C122,Carolina Family Healthcare  PA,Carolina Family Healthcare,11220 Elm Lane,Charlotte,Mecklenburg,North Carolina,28277,Approved,Medical practice : family medicine,1456131.00285421,481030.001387566,-80.8175222886046,35.0580378795577,202106031931
1071,60C107,"Lax Group, LLC DBA Carolina Pharmacy",Carolina Pharmacy,8035 Providence Rd,Charlotte,Mecklenburg,North Carolina,28277,Approved,Pharmacy : independent,1468734.01767439,495632.03156665,-80.7762872070216,35.0987804618066,202106031931
1072,600165,Central Carolina Medical Clinic,CENTRAL CAROLINA MEDICAL CLINIC,6404 ALBEMARLE ROAD,CHARLOTTE,Mecklenburg,North Carolina,28212,Approved,Medical practice : family medicine,1481180.00524956,532846.003398389,-80.7368593964992,35.2016223647476,202106031931
1073,600231,Grace Pediatric Clinics PA,Central Pediatrics and Internal Medicine PA,3040 Eastway Drive Suite A,Charlotte,Mecklenburg,North Carolina,28205,Approved,Medical practice : family medicine,1467749.03047113,537740.030683815,-80.7821069736811,35.2144134007945,202106031931
1074,600203,Charlotte Community Health Clinic,Charlotte Community Health Clinic University,8401 Medical Plaza Drive,Charlotte,Mecklenburg,North Carolina,28262,Approved,Public health provider : Federally Qualified Health Center,1470038.00227113,575807.991949305,-80.7767256086793,35.3191067887717,202106031931
1075,600241,Charlotte Community Health Clinic,Charlotte Community Health Clinic West,5301 Wilkinson Blvd,Charlotte,Mecklenburg,North Carolina,28208,Approved,Public health provider : Federally Qualified Health Center,1424422.00984189,545201.985248059,-80.9276264843561,35.2326885251261,202106031931
1076,60C074,The Charlotte-Mecklenburg Hospital Authority,Charlotte Medical Clinic,4525 Cameron Valley Parkway,Charlotte,Mecklenburg,North Carolina,28211,Approved,Medical practice : internal medicine,1454598.02593331,513495.022087306,-80.8246380306481,35.1471502697366,202106031931
1077,600040,The Charlotte-Mecklenburg Hospital Authority,CMC Biddle Point,1801 Rozzelles Ferry Road,Charlotte,Mecklenburg,North Carolina,28208,Approved,Medical practice : family medicine,1444832.00609531,548154.981966734,-80.8594743527187,35.2418705360603,202106031931
1078,60C001,The Charlotte-Mecklenburg Hospital Authority,CMC Enterprise,4400 Golf Acres Dr.,Charlotte,Mecklenburg,North Carolina,28208,Approved,Hospital,1426855.01022522,542298.984492391,-80.9192923877386,35.2248430613232,202106031931
1079,60C075,The Charlotte-Mecklenburg Hospital Authority,CMC Myers Park,1350 South Kings Drive,Charlotte,Mecklenburg,North Carolina,28207,Approved,Medical practice : internal medicine,1451184.00028105,531340.00509806,-80.8371617565198,35.1960014389091,202106031931
1080,600073,The Charlotte-Mecklenburg Hospital Authority,CMC Northpark,251 Eastway Drive,Charlotte,Mecklenburg,North Carolina,28213,Approved,Medical practice : family medicine,1469456.02705714,552866.968277648,-80.7772994529792,35.2560545661039,202106031931
1081,60C065,"HEALTHSTAT, INC",Coca Cola Corporate Healthstat Clinic,4115 Coca Cola Plaza,Charlotte,Mecklenburg,North Carolina,28211,Approved,Medical practice : family medicine,1452087.00306822,517195.009766057,-80.8332653018335,35.1571878877276,202106031931
1082,60C040,Concentra Urgent Care,Concentra Urgent Care Freedom Drive,4221 Tuckaseegee Rd,Charlotte,Mecklenburg,North Carolina,28208,Approved,Health center : occupational,1433882.03029189,549799.999345973,-80.8962464973067,35.2458205699816,202106031931
1083,60C041,Concentra Urgent Care,Concentra Urgent Care Northlake,9200 Harris Corners Pkwy,Charlotte,Mecklenburg,North Carolina,28269,Approved,Urgent care,1450060.02680722,586399.975030392,-80.8443473711802,35.3472035873667,202106031931
1084,60C067,Concentra Urgent Care,Concentra Urgent Care South End,1614 South Blvd,Charlotte,Mecklenburg,North Carolina,28203,Approved,Urgent care,1445587.01869288,537842.019653067,-80.8563002661374,35.2135777182553,202106031931
1085,60C069,Concentra Urgent Care,Concentra Urgent Care Steele Creek,8943 S Tyron St Suite K,Charlotte,Mecklenburg,North Carolina,28273,Approved,Health center : occupational,1420710.09403738,510311.604897723,-80.9377740173921,35.1366403152753,202106031931
1086,600124,Cornerstone Medical,Cornerstone Medical,7704 England Street,Charlotte,Mecklenburg,North Carolina,28273,Approved,Medical practice : internal medicine,1437888.01768672,509544.007351562,-80.8802777254093,35.135439199976,202106031931
1087,60C113,"CVS Pharmacy, Inc",CVS/pharmacy #3185,1533 SOUTH BLVD,Charlotte,Mecklenburg,North Carolina,28203,Approved,Pharmacy : chain,1445943.01404388,537884.026786894,-80.8551112187041,35.213711404181,202106031931
1088,60C038,Karany's Veracity Company LLC,David's Pharmacy,1816 East Arbors drive suite 440,Charlotte,Mecklenburg,North Carolina,28262,Approved,Pharmacy : independent,1476807.02154148,582104.98099573,-80.7544099258844,35.3367365609113,202106031931
1089,60C125,Dilworth Drugs LLC,Dilworth Drug & Wellness Center,1300 East Blvd,Charlotte,Mecklenburg,North Carolina,28203,Approved,Pharmacy : independent,1448962.01686414,533367.014495477,-80.8447242160884,35.2014568414313,202106031931
1090,60C014,"DJL Clinical Research, PLLC",DJL Clinical Research,10370 PARK ROAD,CHARLOTTE,Mecklenburg,North Carolina,28210,Approved,Other,1441174.0252223,494866.017678723,-80.8683645889129,35.0952859632656,202106031931
1091,60C088,OnCall Mobile Medical and Wellness,Doc's Pharmacy,2860 Freedom Drive,Charlotte,Mecklenburg,North Carolina,28208,Approved,Pharmacy : independent,1436810.01262489,547951.986309722,-80.8863238013479,35.2408970418854,202106031931
1092,600102,The Charlotte-Mecklenburg Hospital Authority,East Charlotte Family Physicians,5801 Executive Center Drive,Charlotte,Mecklenburg,North Carolina,28212,Approved,Medical practice : family medicine,1479512.00333622,532213.017131567,-80.7424050496811,35.1998030762065,202106031931
1093,600176,Eastowne Family Physicians,Eastowne Family Physicians,4115 The Plaza,Charlotte,Mecklenburg,North Carolina,28205,Approved,Medical practice : family medicine,1466953.02582955,550018.972661316,-80.7855110115304,35.2481071000826,202106031931
1094,600019,The Charlotte-Mecklenburg Hospital Authority,Elizabeth Family Medicine,2001 Vail Ave,Charlotte,Mecklenburg,North Carolina,28207,Approved,Medical practice : family medicine,1456154.02019663,536451.008655563,-80.8208421454796,35.2102940443487,202106031931
1095,600130,First Care Medical Clinic,First Care Medical Clinic - Nations Ford,9040 Nations Ford Road,Charlotte,Mecklenburg,North Carolina,28273,Approved,Medical practice : family medicine,1434278.00292514,509197.015919566,-80.8923282704457,35.1342974702867,202106031931
1096,600115,First Care Medical Clinic,First Care Medical Clinic Plaza,2938 The Plaza,Charlotte,Mecklenburg,North Carolina,28205,Approved,Medical practice : family medicine,1462673.02717172,546277.992938563,-80.79961716037,35.2376174841446,202106031931
1097,60C055,Freedom Now Services,Freedom Now Services,5601 Executive Center Drive,Charlotte,Mecklenburg,North Carolina,28212,Approved,Medical practice : family medicine,1479141.01260839,532842.008983806,-80.7436837185304,35.2015131805737,202106031931
1098,60C016,Fresenius Medical Care Beatties Ford,Fresenius Medical Care Beatties Ford,1534 N Hoskins Rd,Charlotte,Mecklenburg,North Carolina,28216,Approved,Other,1443686.03036889,560312.977663815,-80.8640763498033,35.2752115874862,202106031931
1099,60C017,Fresenius Medical Care Nations Ford,Fresenius Medical Care Nations Ford,7901 England Street,Charlotte,Mecklenburg,North Carolina,28273,Approved,Other,1437731.02325006,508389.028034225,-80.8807295636528,35.1322580547714,202106031931
1100,60C018,Fresenius Medical Care Southwest Charlotte,Fresenius Medical Care Southwest,14166 Steele Creek Rd,Charlotte,Mecklenburg,North Carolina,28273,Approved,Other,1404766.22795931,497692.918520972,-80.9902473425142,35.101107910215,202106031931
1101,60C011,"Bio Medical Applications of North Carolina, INC . dba  BMA Kings Mountain",Fresenius Medical Care West Charlotte,3057 Freedom Drive,Charlotte,Mecklenburg,North Carolina,28208,Approved,Other,1436141.01133822,548099.976827398,-80.8885734133992,35.2412686485694,202106031931
1102,600082,Gaffney Health Services,Gaffney Health Services,4935 Albemarle Road,Charlotte,Mecklenburg,North Carolina,28205,Approved,Medical practice : family medicine,1473243.0083283,532837.032287732,-80.763424087591,35.2012132559857,202106031931
1103,63C036,"Genoa Healthcare, LLC",Genoa Healthcare 10968,5700 EXECUTIVE CENTER DRIVE,CHARLOTTE,Mecklenburg,North Carolina,28212,Approved,Pharmacy : chain,1479076.02126855,532258.003590137,-80.7438669046784,35.1999056314092,202106031931
1104,60C132,Global Bridge Pharmaceutical,Global Bridge Pharmaceutical,1101 Tyvola Road Suite 307,charlotte,Mecklenburg,North Carolina,28217,Approved,Pharmacy : independent,1439061.00484206,520503.019554228,-80.8770480592265,35.1656068743184,202106031931
1105,600132,Grace Pediatric Clinics PA,Grace Pediatric Clinics PA,2401 Tuckaseegee Rd,Charlotte,Mecklenburg,North Carolina,28208,Approved,Medical practice : family medicine,1440077.03036906,546284.999486223,-80.8752785461662,35.2364876087599,202106031931
1106,60C081,Guardian Pharmacy of the Piedmont Carolinas LLC,Guardian Pharmacy of the Piedmont,"2915 Whitehall Park Drive, Suite 100",Charlotte,Mecklenburg,North Carolina,28273,Approved,Pharmacy : chain,1419429.0057203,513273.003830567,-80.9422520664502,35.1447070202658,202106031931
1107,60C114,"H3 Healthcare, P.A.","H3 Healthcare, P.A.","1518 East Third Street, Suite 150",Charlotte,Mecklenburg,North Carolina,28204,Approved,Medical practice : internal medicine,1453637.00554563,537186.016371891,-80.8293127621151,35.2121861238536,202106031931
1108,60C085,The Kroger Co.,HARRIS TEETER PHARMACY 09700003,4821 Berewick Town Center Drive,Charlotte,Mecklenburg,North Carolina,28278,Approved,Pharmacy : chain,1410898.88104831,519335.289606228,-80.9711841052443,35.1608991591784,202106031931
1109,NS0004,The Kroger Co.,HARRIS TEETER PHARMACY 09700004,7823 Colony Rd,Charlotte,Mecklenburg,North Carolina,28226,Approved,Pharmacy : chain,1459802.01454106,498621.010824889,-80.8063266380111,35.1065491508662,202106031931
1110,NS0011,The Kroger Co.,HARRIS TEETER PHARMACY 09700011,15007 John J Delaney Dr,Charlotte,Mecklenburg,North Carolina,28277,Approved,Pharmacy : chain,1446681.00108497,479418.019703388,-80.8489950999363,35.0531298447879,202106031931
1111,NS0027,The Kroger Co.,HARRIS TEETER PHARMACY 09700027,9720 Rea Rd,Charlotte,Mecklenburg,North Carolina,28277,Approved,Pharmacy : chain,1459222.00389005,473074.014346808,-80.8067111109526,35.0363356196394,202106031931
1112,NS0030,The Kroger Co.,HARRIS TEETER PHARMACY 09700030,3333 Pineville-Matthews Rd,Charlotte,Mecklenburg,North Carolina,28226,Approved,Pharmacy : chain,1466223.02728955,494782.003739148,-80.7846298081607,35.0963214613537,202106031931
1113,NS0045,The Kroger Co.,HARRIS TEETER PHARMACY 09700045,10616 Providence Rd,Charlotte,Mecklenburg,North Carolina,28277,Approved,Pharmacy : chain,1469882.02325238,483844.011507556,-80.7717463061806,35.0664517883136,202106031931
1114,NS0066,The Kroger Co.,HARRIS TEETER PHARMACY 09700066,7852 REA RD,CHARLOTTE,Mecklenburg,North Carolina,28277,Approved,Pharmacy : chain,1456397.02528806,481707.024311721,-80.8166748830001,35.0599112233623,202106031931
1115,60C086,The Kroger Co.,HARRIS TEETER PHARMACY 09700088,13000 SOUTH TRYON ST,CHARLOTTE,Mecklenburg,North Carolina,28278,Approved,Pharmacy : chain,1404601.02815847,498494.007469982,-80.9908532739921,35.1032995318268,202106031931
1116,60C115,The Kroger Co.,HARRIS TEETER PHARMACY 09700122,5810 Highland Shoppes Dr,Charlotte,Mecklenburg,North Carolina,28269,Approved,Pharmacy : chain,1468527.02760281,594919.995063812,-80.7829408210019,35.3715362819476,202106031931
1117,60C087,The Kroger Co.,HARRIS TEETER PHARMACY 09700157,1811 Matthews Township Parkway,Charlotte,Mecklenburg,North Carolina,28105,Approved,Pharmacy : chain,1488723.02690889,504890.005832806,-80.7100006044209,35.1251791966534,202106031931
1118,NS0160,The Kroger Co.,HARRIS TEETER PHARMACY 09700160,6701 MORRISON BLVD,CHARLOTTE,Mecklenburg,North Carolina,28211,Approved,Pharmacy : chain,1454289.01441222,515520.001633137,-80.8257961780986,35.1526977551719,202106031931
1119,60C116,The Kroger Co.,HARRIS TEETER PHARMACY 09700174,5706 Wyalong Dr,Charlotte,Mecklenburg,North Carolina,28227,Approved,Pharmacy : chain,1489353.22709206,522294.229882568,-80.708895229259,35.1730235141473,202106031931
1120,NS0204,The Kroger Co.,HARRIS TEETER PHARMACY 09700204,8538 PARK RD,CHARLOTTE,Mecklenburg,North Carolina,28210,Approved,Pharmacy : chain,1444331.03235972,502544.03152214,-80.8582924869647,35.116542058568,202106031931
1121,NS0208,The Kroger Co.,HARRIS TEETER PHARMACY 09700208,112 S SHARON AMITY,CHARLOTTE,Mecklenburg,North Carolina,28211,Approved,Pharmacy : chain,1461828.00884864,524419.001223564,-80.8011185261152,35.1775238017043,202106031931
1122,60C117,The Kroger Co.,HARRIS TEETER PHARMACY 09700220,2720 W Mallard Creek Church Rd,Charlotte,Mecklenburg,North Carolina,28262,Approved,Pharmacy : chain,1473546.02806348,583818.984129399,-80.7654448400757,35.3412864020849,202106031931
1123,NS0305,The Kroger Co.,HARRIS TEETER PHARMACY 09700305,2717 SOUTH BOULEVARD,CHARLOTTE,Mecklenburg,North Carolina,28208,Approved,Pharmacy : chain,1442593.02993022,533071.0009799,-80.8660222205262,35.2003165757454,202106031931
1124,NS0317,The Kroger Co.,HARRIS TEETER PHARMACY 09700317,16625 Lancaster Hwy,Charlotte,Mecklenburg,North Carolina,28277,Approved,Pharmacy : chain,1446751.00192922,468912.015452981,-80.8481077202209,35.0242707059567,202106031931
1125,60C118,The Kroger Co.,HARRIS TEETER PHARMACY 09700366,4701 SMITH FARM RD,CHARLOTTE,Mecklenburg,North Carolina,28216,Approved,Pharmacy : chain,1421319.47142756,579690.53077215,-80.9402715978471,35.3272667429511,202106031931
1126,NS0401,The Kroger Co.,HARRIS TEETER PHARMACY 09700401,1704 CENTRAL AVE,CHARLOTTE,Mecklenburg,North Carolina,28205,Approved,Pharmacy : chain,1459460.03261347,539834.978265554,-80.8099823501009,35.2197566479471,202106031931
1127,NS0440,The Kroger Co.,HARRIS TEETER PHARMACY 09700440,11135 Golf Links Dr,Charlotte,Mecklenburg,North Carolina,28277,Approved,Pharmacy : chain,1468953.76198556,479649.050737396,-80.7745974498592,35.0548814520956,202106031931
1128,60C119,The Kroger Co.,HARRIS TEETER PHARMACY 09700472,8445 Davis Lake Parkway,Charlotte,Mecklenburg,North Carolina,28269,Approved,Pharmacy : chain,1458896.03210105,581465.970462725,-80.8144180838969,35.3340965240768,202106031931
1129,60C062,"HEALTHSTAT, INC","Healthstat, Inc",4651 Charlotte Park Drive,Charlotte,Mecklenburg,North Carolina,28217,Approved,Medical practice : family medicine,1435374.0151688,526415.004449397,-80.8897592723581,35.1816560651988,202106031931
1130,60C053,Healthy Living Pharmacy,Healthy Living Pharmacy,3717 N SHARON AMITY RD UNIT C,CHARLOTTE,Mecklenburg,North Carolina,28205,Approved,Pharmacy : independent,1475113.02328905,536391.026820138,-80.7573757522218,35.2110680659634,202106031931
1131,60C133,Hospice and Palliative care Charlotte Region,Hospice and Palliative care Charlotte Region,7845 Little avenue,charlotte,Mecklenburg,North Carolina,28226,Approved,Home health care provider,1446220.00463164,492978.02768831,-80.8513802096505,35.0903589571408,202106031931
1132,60C046,Independent Nephrology Services- Huntersville,Independent Nephrology Services Charlotte,6646 Regal Oaks Drive,Charlotte,Mecklenburg,North Carolina,28212,Approved,Other,1483026.34046763,533398.489498138,-80.7307118971456,35.2032287874291,202106031931
1133,60C058,"Kaitlyn’s Pharmacy, Inc.",Kaitlyn’s Pharmacy,9100-A S.TRYON ST,Charlotte,Mecklenburg,North Carolina,28273,Approved,Pharmacy : independent,1420235.6714298,509558.703188315,-80.939311403002,35.1345465032446,202106031931
1134,60C066,Le’s Pharmacy,Le’s Pharmacy,1600 Purser Drive,CHARLOTTE,Mecklenburg,North Carolina,28215,Approved,Pharmacy : independent,1468710.01805048,547935.975843057,-80.7795019375118,35.2424713343108,202106031931
1135,60C105,Community Care Health Network DBA Matrix Medical Network,Matrix Medical Network-Charter-Charlotte,3140 West Arrowood Rd,Charlotte,Mecklenburg,North Carolina,28273,Approved,Commercial vaccination service provider,1420976.02854489,516340.005570561,-80.9372781540211,35.1532156689036,202106031931
1136,600189,MC FAMILY MEDICAL,MC FAMILY MEDICAL,6700 Albermarle Rd,Charlotte,Mecklenburg,North Carolina,28212,Approved,Medical practice : family medicine,1483083.77834488,533013.507656559,-80.7304971820497,35.2021738927092,202106031931
1137,600001,Mecklenburg County Health Department,Mecklenburg County Health Department,249 Billingsley Road,Charlotte,Mecklenburg,North Carolina,28211,Approved,Public health provider : public health clinic,1460159.02498189,530194.029371649,-80.807054726695,35.1933058112247,202106031931
1138,60C078,The Charlotte-Mecklenburg Hospital Authority,Mecklenburg Medical Group - Ballantyne,15110 John J Delaney,Charlotte,Mecklenburg,North Carolina,28277,Approved,Medical practice : internal medicine,1447368.01020963,479087.005929723,-80.8466793154832,35.0522556015818,202106031931
1139,60C077,The Charlotte-Mecklenburg Hospital Authority,Mecklenburg Medical Group-Steele Creek,13640 Steelecroft Parkway,Charlotte,Mecklenburg,North Carolina,28278,Approved,Medical practice : internal medicine,1404165.01328246,497028.018932149,-80.9922124381995,35.0992481874884,202106031931
1140,60C068,"Minute Medical Care, PLLC",Minute Medical Care-Dilworth,1218 East Blvd.  Suite B.,Charlotte,Mecklenburg,North Carolina,28203,Approved,Medical practice : other specialty,1448481.01552956,533894.017378479,-80.8463669160646,35.2028800569144,202106031931
1141,60C104,"Iora Health North Carolina, P.C.",MoRa Practice,4014 Connection Point Blvd,Charlotte,Mecklenburg,North Carolina,28212,Approved,Medical practice : internal medicine,1474073.13396464,526796.151981056,-80.7602870961305,35.1846579238281,202106031931
1142,60C093,MedAssist of Mecklenburg (dba NC MedAssist),NC MedAssist - Charlotte,4428 Taggart Creek Rd Ste 101,Charlotte,Mecklenburg,North Carolina,28208,Approved,Pharmacy : independent,1426565.02130389,543708.985609397,-80.9203545605042,35.2287011448727,202106031931
1143,60C090,New Hope Specialty Clinic,New Hope Specialty Clinic,3101 Latrobe Dr,Charlotte,Mecklenburg,North Carolina,28211,Approved,Medical practice : other specialty,1461674.02687314,532108.016029224,-80.8021008440069,35.1986396372871,202106031931
1144,60C136,Novant Health,NOVANT HEALTH CHARLOTTE PHYSICIANS EPICENTRE,210 EAST TRADE STREET,CHARLOTTE,Mecklenburg,North Carolina,28202,Approved,Medical practice : internal medicine,1449949.00111064,542055.979072899,-80.8419604938104,35.2253775294001,202106031931
1145,60C100,Novant Health,NOVANT HEALTH HALLMARK CARE,4500 CAMERON VALLEY PARKWAY SUITE 100,CHARLOTTE,Mecklenburg,North Carolina,28211,Approved,Medical practice : family medicine,1454378.00504789,514030.013799474,-80.8254068507374,35.1486089047738,202106031931
1146,600206,Novant Health,NOVANT HEALTH MIDTOWN FAMILY MEDICINE,335 NORTH CASWELL RD,CHARLOTTE,Mecklenburg,North Carolina,28204,Approved,Medical practice : family medicine,1456444.00911798,537127.016817972,-80.8199129445986,35.2121657938268,202106031931
1147,600044,Novant Health,Novant Health Presbyterian Medical Center,200 Hawthorne Ln,Charlotte,Mecklenburg,North Carolina,28204,Approved,Hospital,1455150.01039363,537097.025736228,-80.8242426413645,35.2120181455484,202106031931
1148,60C096,Novant Health,NOVANT HEALTH SENIOR CARE - SOUTHPARK,6324 FAIRVIEW ROAD SUITE 310,CHARLOTTE,Mecklenburg,North Carolina,28210,Approved,Medical practice : internal medicine,1451475.00429222,514156.002064556,-80.8351245755999,35.1488079663829,202106031931
1149,600217,Novant Health,NOVANT HEALTH SOUTH PARK FAMILY PHYSICIANS,6324 FAIRVIEW ROAD SUITE 201,CHARLOTTE,Mecklenburg,North Carolina,28210,Approved,Medical practice : family medicine,1451475.00429222,514156.002064556,-80.8351245755999,35.1488079663829,202106031931
1150,600059,Novant Health,NOVANT HEALTH UNIVERSITY FAMILY PHYSICIANS,10810 MALLARD CREEK RD,CHARLOTTE,Mecklenburg,North Carolina,28262,Approved,Medical practice : family medicine,1474306.01768522,584508.972906888,-80.7629378652386,35.3432190331376,202106031931
1151,60C005,"Oak Street Health, LLC",Oak Street Health- East Charlotte,6824 Harrisburg Rd,Charlotte,Mecklenburg,North Carolina,28227,Approved,Other,1496244.01383539,536025.0127884,-80.6866200970888,35.2110696407347,202106031931
1152,60C004,"Oak Street Health, LLC",Oak Street Health- Enderly Park,3250 Freedom Dr,Charlotte,Mecklenburg,North Carolina,20208,Approved,Other,1434972.01859747,549689.988739222,-80.8925893764411,35.24557550312,202106031931
1153,60C126,Oakhurst Health Investors Inc,Oakhurst Pharmacy,1630 Oakhurst Commons Dr,Charlotte,Mecklenburg,North Carolina,28205,Submitted (Ready for Internal Review),Pharmacy : independent,1467965.35221697,530192.419466734,-80.7809295072857,35.1936889954301,202106031931
1154,60C060,Onsite medical clinic at Carrier,Onsite Clinic at Carrier Charlotte,9701 Old Statesville Rd.,Charlotte,Mecklenburg,North Carolina,28263,Approved,Health center : occupational,1455586.02526964,588497.967225477,-80.8259482986817,35.353247733314,202106031931
1155,60C101,Polaris Pharmacy SERVICES of NC,Polaris Pharmacy Services of NC,3300 MOnroe Road  Unit E  & F,Charlotte,Mecklenburg,North Carolina,28205,Approved,Other,1462025.0130478,533584.023247808,-80.8010157741702,35.2027120662004,202106031931
1156,60C056,Premier Pharmacy and Wellness Center,Premier Pharmacy and Wellness Center,3010 Monroe Rd,charlotte,Mecklenburg,North Carolina,28205,Approved,Pharmacy : independent,1460999.00099222,534004.027657151,-80.8044754253278,35.2038147202841,202106031931
1157,60C063,Healthworks Group of North Carolina,Premise Health - American Airlines The Clinic CLT,5501 Josh Birmingham PKY,Charlotte,Mecklenburg,North Carolina,28208,Approved,Health center : occupational,1419128.01550864,540459.975375146,-80.9450405738457,35.2193778132295,202106031931
1158,60C042,Healthworks Group of North Carolina,Premise Health - TIAA Living Well Health & Wellness,13520 Ballantyne Corporate Place,Charlotte,Mecklenburg,North Carolina,28277,Approved,Health center : occupational,1446349.0050298,482770.001188397,-80.8503130112654,35.0623215916525,202106031931
1159,60C048,Healthworks Group of North Carolina,Premise Health - TIAA Living Well Heath & Wellness Center CLT,8500 Andrew Carnegie Boulevard,Charlotte,Mecklenburg,North Carolina,28262,Approved,Medical practice : internal medicine,1477730.02953798,577336.97445564,-80.7510334769351,35.3236827086672,202106031931
1160,60C057,Healthworks Group of North Carolina,Premise Health - Truist Charlotte Cascade Health Center,2320 Cascade Pointe Blvd,Charlotte,Mecklenburg,North Carolina,28208,Approved,Medical practice : internal medicine,1427751.0067928,532668.022127062,-80.9156704145432,35.1984327882934,202106031931
