OBJECTID,loc_vfc_pin,OrganizationName,LocationName,VaccineAdministrationStreetAddr,VaccineAdministrationCity,VaccineAdministrationCounty,VaccineAdministrationState,VaccineAdministrationZipCode,StatusforLocation,ProviderType,Id,X,Y,UpdateDTS
1816,01C016,W.A.R.4Life We Are Ready 4 Life,Earl- Gerow Homes,100 James Dr,Burlington,Alamance,North Carolina,27217,Approved,Other,,-79.4579159187788,36.1136621410517,202105041931
1897,01C017,"Marathon Health, LLC",The Shwellness Center @ Sheetz,1737 Whites Kennel Road,Burlington,Alamance,North Carolina,27215,Approved,Medical practice : family medicine,,-79.4436700401745,36.0474093016756,202105041931
2075,01C012,Cone Health Employee Health & Wellness,Shawmut,1821 North Park Avenue,Burlington,Alamance,North Carolina,27217,Submitted (Ready for Internal Review),Other,,-79.4614994678206,36.1097057205328,202105041931
2119,01C007,"Genoa Healthcare, LLC","Genoa Healthcare, 10928",2732 Anne Elizabeth Dr,Burlington,Alamance,North Carolina,27215,Submitted (Ready for Internal Review),Pharmacy : chain,,-79.4906316597233,36.0768016661679,202105041931
2153,01C014,Shamil J Morayati MD dba Burlington Medical Center/Carolina Nuclear Medicine,Burlington Medical Center,2921 Crouse Lane,Burlington,Alamance,North Carolina,27215,Approved,Medical practice : internal medicine,,-79.4965710678747,36.0637415861163,202105041931
2166,01C013,White Oak Manor Burlington,White Oak Manor Burlington,323 Baldwin Road,Burlington,Alamance,North Carolina,27217,Approved,"Long-term care : nursing home, skilled nursing facility, federally certified",,-79.4192038587776,36.1010193154316,202105041931
2168,"",Alliance Medical Associates,Alliance Medical Associates,2905 Crouse Lane,Burlington,Alamance,North Carolina,27215,Rejected,Medical practice : internal medicine,,-79.4972888066977,36.0634934883878,202105041931
2170,"","Labcorp Employer Services,  Inc.","Labcorp Employer Services, Inc.",358 South Main Street,Burlington,Alamance,North Carolina,27215,Deactivated,Commercial vaccination service provider,,-79.4373905211819,36.0931707799681,202105041931
2301,,Walgreens,Walgreens,2294 N CHURCH ST,BURLINGTON,Alamance,North Carolina,27217,,Pharmacy : chain,a2At0000002WobaEAC,-79.3956482083496,36.0935298384594,202105041931
2308,,Walgreens,Walgreens,3465 S CHURCH ST,BURLINGTON,Alamance,North Carolina,27215,,Pharmacy : chain,a2At0000002WUeiEAG,-79.5131431715974,36.0808398025333,202105041931
2309,,Walgreens,Walgreens,2585 S CHURCH ST,BURLINGTON,Alamance,North Carolina,27215,,Pharmacy : chain,a2At0000002W7INEA0,-79.4825611256012,36.0812178163555,202105041931
2316,,WM1,WAL-MART PHARMACY,501 HAMPTON POINTE BLVD,HILLSBOROUGH,Alamance,North Carolina,27278,,Pharmacy : chain,a2At0000001e3ptEAA,-79.0842637543209,36.0571211456529,202105041931
2330,,Walgreens,Walgreens,801 MEBANE OAKS RD,MEBANE,Alamance,North Carolina,27302,,Pharmacy : chain,a2At0000002WNliEAG,-79.2745082259505,36.0774648403406,202105041931
2332,,WM1,WAL-MART PHARMACY,1318 MEBANE OAKS ROAD,MEBANE,Alamance,North Carolina,27302,,Pharmacy : chain,a2At0000001e3WaEAI,-79.2725507353648,36.0667818367478,202105041931
2388,,WM1,WAL-MART PHARMACY,12500 US 15 501 N,CHAPEL HILL,Alamance,North Carolina,27517,,Pharmacy : chain,a2At0000001e4HiEAI,-79.0815618103727,35.8586569041857,202105041931
2909,,CVS Health,5042,3619 South Mebane Street,Burlington,Alamance,North Carolina,27215,,Pharmacy : chain,a2At0000002VgbeEAC,-79.4819062030697,36.0770824424776,202105041931
2911,,CVS Health,2306,3701 Wade Coble Drive,Burlington Nc,Alamance,North Carolina,27215,,Pharmacy : chain,a2At0000002VlBYEA0,-79.5188435777921,36.0844711528507,202105041931
154,020001,Alexander County Health Dept,Alexander County Health Dept,338 1st Ave Sw,Taylorsville,Alexander,North Carolina,28681,Approved,Public health provider : public health clinic,,-81.1799211376385,35.9203857234476,202105041931
482,02C001,North Carolina Division of Prisons,Alexander Correctional Institute,633 Old Landfill Road,Taylorsville,Alexander,North Carolina,28681,Approved,Corrections/detention health services,,-81.1704839625648,35.8846950005962,202105041931
693,02C002,Bio Medical of Applications of North Carolina Inc.,Bio Medical Applications of North Carolina Inc.     Fresenius Medical Care of Alexander County,175 Commerce Dr.,Taylorsville,Alexander,North Carolina,28681,Approved,Other,,-81.1801403998375,35.8925023348445,202105041931
952,02C005,Northwestern Drug Co. Inc DBA Town and Country Drugs,Town and Country Drugs,53 E MAIN AVE,TAYLORSVILLE,Alexander,North Carolina,28681,Approved,Pharmacy : independent,,-81.1745838002472,35.9233670126691,202105041931
1013,020005,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Taylorsville,50 Macedonia Church Rd,Taylorsville,Alexander,North Carolina,28681,Approved,Public health provider : Federally Qualified Health Center,,-81.1778497685058,35.8930713667531,202105041931
1021,020003,"Catawba Valley Medical Group, Inc.",Catawba Valley Family Medicine - Bethlehem,174 Bolick Lane,Taylorsville,Alexander,North Carolina,28681,Approved,Medical practice : family medicine,,-81.3042738884722,35.812665372796,202105041931
1179,02C004,OFFICE PRACTICE OF PHARMACY LL,OFFICE PRACTICE OF PHARMACY LLC,24 Commerce Dr,Taylorsville,Alexander,North Carolina,28681,Approved,Pharmacy : independent,,-81.1800565450799,35.8941718426329,202105041931
1389,02C003,Northwesten Drug Co. Inc,Peoples Drug Store,255 NC HWY 16 S,Taylorsville,Alexander,North Carolina,28681,Approved,Pharmacy : independent,,-81.1775974614008,35.9185164891267,202105041931
1699,020004,Iredell Physician Network dba Family Care Center of Taylorsville,Family Care Center of Taylorsville,1668 NC Hwy 16 South,Taylorsville,Alexander,North Carolina,28681,Approved,Medical practice : family medicine,,-81.1789092830131,35.8984053650897,202105041931
2818,,WM1,WAL-MART PHARMACY,201 ZELKOVA COURT NW,CONOVER,Alexander,North Carolina,28613,,Pharmacy : chain,a2At0000001e3VrEAI,-81.2119734650458,35.7268047538508,202105041931
2835,,Walgreens,Walgreens,440 BLOWING ROCK BLVD,LENOIR,Alexander,North Carolina,28645,,Pharmacy : chain,a2At0000002WLZFEA4,-81.5251121435402,35.9214496112458,202105041931
2855,,WM1,WAL-MART PHARMACY,901 NC HIGHWAY 16 SOUTH,TAYLORSVILLE,Alexander,North Carolina,28681,,Pharmacy : chain,a2At0000001e3nHEAQ,-81.19125060903,35.9338178212606,202105041931
3003,,CVS Health,4135,350 School Drive,Taylorsville,Alexander,North Carolina,28681,,Pharmacy : chain,a2At0000002VfAsEAK,-81.1900030542425,35.9188181639504,202105041931
155,03C001,Alleghany County Memorial Hospital,Alleghany County Memorial Hospital,233 Doctor's Street,Sparta,Alleghany,North Carolina,28675,Approved,Hospital,,-81.1147359530787,36.509489230258,202105041931
266,030001,Appalachian District Health Department,Appalachian District Health Department-Alleghany Health Center,157 Health Services Road,Sparta,Alleghany,North Carolina,28675,Approved,Public health provider : public health clinic,,-81.1459230985889,36.4924285756403,202105041931
1439,03C002,"Boone Drugs, Inc.",Halsey Drug,55 S MAIN ST,SPARTA,Alleghany,North Carolina,28675,Approved,Pharmacy : chain,,-81.1196757008692,36.5049239015085,202105041931
2848,,Walgreens,Walgreens,454 S MAIN ST,SPARTA,Alleghany,North Carolina,28675,,Pharmacy : chain,a2At0000002WNfrEAG,-81.1153720152512,36.500275781082,202105041931
418,04C001,The Charlotte-Mecklenburg Hospital Authority,The Charlotte-Mecklenburg Hospital Authority d/b/a Atrium Health Anson,2301 US-74 West,Wadesboro,Anson,North Carolina,28170,Approved,Hospital,,-80.1099879597681,34.9787148659331,202105041931
836,04C002,"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",Anson County Fresenius,2349 US HIGHWAY 74 W,Wadesboro,Anson,North Carolina,28170,Approved,Other,,-80.1107565805228,34.9784377127753,202105041931
1061,040003,Anson Regional Medical Serices Inc,ARMSWadesboro,203 SALISBURY ST,WADESBORO,Anson,North Carolina,28170,Approved,Health center : community (non-Federally Qualified Health Center/non-Rural Health Clinic),,-80.0786266846983,34.9680034733775,202105041931
1194,04C003,CareTeam Corporate Health,CareTeam Health - Premier Fibers,10056 US-52,Ansonville,Anson,North Carolina,28007,Approved,Medical practice : family medicine,,-80.1067257298592,35.1199463144852,202105041931
1922,04C004,W.A.R.4Life We Are Ready 4 Life,Anson: HOLLA! Community Development Corporation,229 EAST MAIN STREET,MORVEN,Anson,North Carolina,28119,Approved,Other,,-79.9986212557485,34.8638385505459,202105041931
2972,,CVS Health,4095,123 Anson High School Road,Wadesboro,Anson,North Carolina,28170,,Pharmacy : chain,a2At0000002VeewEAC,-80.1003634461985,34.977662792484,202105041931
192,050001,Appalachian District Health Department,Appalachian District Health Department -Ashe Health Center,413 McConnell Street,Jefferson,Ashe,North Carolina,28640,Approved,Public health provider : public health clinic,,-81.4788032443159,36.4170707748476,202105041931
269,05C001,Ashe Memorial Hospital Inc,Ashe Memorial Hospital Inc,200 Hospital Ave,Jefferson,Ashe,North Carolina,28640,Approved,Hospital,,-81.4577459880799,36.4232864619593,202105041931
1440,05C002,"Boone Drugs, Inc.",Warrensville Drug,5121 NC Hwy 88 W,Warrensville,Ashe,North Carolina,28693,Approved,Pharmacy : independent,,-81.5189078022033,36.4604269036304,202105041931
1515,NS2082,"Ingles Markets, Inc",Ingles Pharmacy #82,60 Ashemont Dr,West Jefferson,Ashe,North Carolina,28694,Approved,Pharmacy : chain,,-81.4891456367671,36.3808185959574,202105041931
2846,,WM1,WAL-MART PHARMACY,1489 MOUNT JEFFERSON ROAD,WEST JEFFERSON,Ashe,North Carolina,28694,,Pharmacy : chain,a2At0000001e3VcEAI,-81.4823423939629,36.3895417775727,202105041931
3005,,CVS Health,7315,2 CRESCENT DR,WEST JEFFERSON,Ashe,North Carolina,28694,,Pharmacy : chain,a2At0000002YzjbEAC,-81.4853140893244,36.381545177052,202105041931
3006,,CVS Health,5591,182 Chattyrob Lane,West Jefferson,Ashe,North Carolina,28694,,Pharmacy : chain,a2At0000002VeeuEAC,-81.4965184021993,36.3879374470827,202105041931
3012,,CVS Health,5591,151 Village Park Drive,West Jefferson,Ashe,North Carolina,28694,,Pharmacy : chain,a2At0000002VgxlEAC,-81.4676882260192,36.3882575559251,202105041931
223,060003,High Country Community Health,High Country Community Health-Avery,448 Cranberry Street,Newland,Avery,North Carolina,28657,Approved,Public health provider : Federally Qualified Health Center,,-81.9279295900092,36.090387650847,202105041931
270,060001,Toe River Health District,Avery County Health Department,545 Schultz Cirlcle,Newland,Avery,North Carolina,28657,Approved,Public health provider : public health clinic,,-81.9267253023103,36.0856945804185,202105041931
1437,06C001,"Boone Drugs, Inc.",Avery Pharmacy,436 Hospital Drive,Linville,Avery,North Carolina,28646,Approved,Pharmacy : chain,,-77.5582040473049,35.9199566187075,202105041931
1441,06C002,"Boone Drugs, Inc.",Crossnore Drug,4263 Linville Falls Hwy,Crossnore,Avery,North Carolina,28616,Approved,Pharmacy : independent,,-81.9294804543053,36.0196441181255,202105041931
271,070001,Beaufort County Health Department,Beaufort County Health Department,1436 Highland Dr,Washington,Beaufort,North Carolina,27889,Approved,Public health provider : public health clinic,,-77.0317649081047,35.5538695257654,202105041931
297,07C001,Vidant Health,Vidant Beaufort Hospital,628 East 12th Street,Washington,Beaufort,North Carolina,27889,Approved,Hospital,,-77.038185834117,35.5490213507593,202105041931
450,07C009,Express Care Pharmacy,Express Care Pharmacy,505 Hackney Ave,Washington,Beaufort,North Carolina,27889,Approved,Pharmacy : chain,,-77.0625386902538,35.5522601063106,202105041931
685,07C003,"Bio-Medical Applications of North Carolina, INC",Fresenius Medical Care Pamlico,1983 West 5th Street,Washington,Beaufort,North Carolina,27889,Approved,Other,,-77.0844804604307,35.5741728202997,202105041931
865,07C004,Vidant Medical Group,Vidant Immediate Care - Belhaven,598 W. Old County Road,Washington,Beaufort,North Carolina,27810,Approved,Hospital,,-76.6256853497502,35.5483082224904,202105041931
881,07C005,Vidant Medical Group,Vidant Internal Medicine - Washington,1380 Cowell Farm Rd,Washington,Beaufort,North Carolina,27889,Approved,Hospital,,-77.0352073090959,35.5500509971765,202105041931
1100,07C007,"O'Neals Drug Store, Inc",Hospital Pharmacy of Washington Inc,601 East 12th Street,Washington,Beaufort,North Carolina,27889,Approved,Pharmacy : independent,,-77.0403135715111,35.5489453937717,202105041931
1101,07C008,"O'Neals Drug Store, Inc",O'Neals Drug Store Inc,820 West Main St,Belhaven,Beaufort,North Carolina,27810,Approved,Pharmacy : independent,,-76.6319120762696,35.5484618359197,202105041931
1102,07C006,"O'Neals Drug Store, Inc",Chocowinity Pharmacy Inc,633 Hwy 33 East,Chocowinity,Beaufort,North Carolina,27817,Approved,Pharmacy : independent,,-77.091080852834,35.5078625635047,202105041931
1552,070013,"Metropolitan Community Health Services, Inc. dba Agape Health Services",Agape Health Services-Washington,120 W Martin Luther King Jr Drive,Washington,Beaufort,North Carolina,27889,Approved,Public health provider : Federally Qualified Health Center,,-76.9963028301289,35.5122463607314,202105041931
2535,,WM1,WAL-MART PHARMACY,570 PAMLICO PLAZA,WASHINGTON,Beaufort,North Carolina,27889,,Pharmacy : chain,a2At0000001e3mBEAQ,-77.0632501603971,35.5602338417347,202105041931
273,080001,Albemarle Regional Health Services,Bertie County Health Department,102 Rhodes Avenue,Windsor,Bertie,North Carolina,27983,Approved,Public health provider : public health clinic,,-76.9299883894376,35.9891132340821,202105041931
274,080002,Bertie County Rural Health Association,Bertie County Rural Health Association,104 Rhodes Avenue,Windsor,Bertie,North Carolina,27983,Approved,Public health provider : Federally Qualified Health Center,,-76.9303388663276,35.9886805005816,202105041931
298,07C002,Vidant Health,Vidant Bertie Hospital,1403 S. King St.,Windsor,Bertie,North Carolina,27983,Approved,Hospital,,-76.9288821835494,35.9887129471793,202105041931
894,08C001,Comprehensive Medical Care Services of Eastern North Carolina,Comprehensive Medical Care Services of Eastern North Carolina,105 Commerce Street,Powellsville,Bertie,North Carolina,27967,Approved,Medical practice : family medicine,,-76.9331352137466,36.2254478215412,202105041931
1603,08C002,Perdue Foods Inc,Perdue Foods Lewiston Plant,3559 Governors Road,Lewiston,Bertie,North Carolina,27849,Approved,Other,,-77.2081251497361,36.1416197792787,202105041931
1742,08C003,Winsor Dialysis Center,Windsor Dialysis Center,1421 B South King Street,Windsor,Bertie,North Carolina,27983,Submitted (Ready for Internal Review),Other,,-76.9251127446005,35.9895714491451,202105041931
197,090002,CAPE FEAR VALLEY HEALTH,Bladen County Hospital,501 South Poplar Street,Elizabethtown,Bladen,North Carolina,28337,Approved,Hospital,,-78.6080307783861,34.6227281696528,202105041931
436,09C001,CommWell Health,CommWell Health of Tar Heel,16526 NC Hwy 87 West,Tar Heel,Bladen,North Carolina,28392,Approved,Public health provider : Federally Qualified Health Center,,-78.8035461999208,34.7571046844514,202105041931
868,09C004,Anderson's Drug Store,"Anderson's Drug Store, LLC",206 S Poplar Street,Elizabethtown,Bladen,North Carolina,28337,Approved,Pharmacy : independent,,-78.606802231534,34.6271268373245,202105041931
1220,09C002,Community Care Health Network DBA Matrix Medical Network,Smithfield Tarheel Plant,15885 Highway 87 West,Tarheel,Bladen,North Carolina,28392,Approved,Commercial vaccination service provider,,-78.8028640037912,34.7524490153606,202105041931
1226,09C003,Community Care Health Network DBA Matrix Medical Network,Smithfield Tarheel DC Plant,16261 NC-87,Tarheel,Bladen,North Carolina,28392,Approved,Commercial vaccination service provider,,-78.8048505709916,34.7585065026188,202105041931
2233,09C005,"B.S.E., Inc. dba The Medicine Shoppe",The Medicine Shoppe 0230,102 S Main St,Bladenboro,Bladen,North Carolina,28320,Approved,Pharmacy : independent,,-78.7876124892494,34.538946331388,202105041931
2689,,WM1,SAM'S PHARMACY,1450 SKIBO ROAD,FAYETTEVILLE,Bladen,North Carolina,28303,,Pharmacy : chain,a2At0000001eQNgEAM,-78.9551073275352,35.0860971284458,202105041931
2722,,Walgreens,Walgreens,403 S POPLAR ST,ELIZABETHTOWN,Bladen,North Carolina,28337,,Pharmacy : chain,a2At0000002W7IWEA0,-78.6074105378112,34.6240821883088,202105041931
67,100042,"Goshen Medical Center, INC",Goshen Medical Center-Southport,4654 Long Beach Road SE,Southport,Brunswick,North Carolina,28461,Approved,Public health provider : Federally Qualified Health Center,,-78.0557608531108,33.9439986821998,202105041931
132,10C004,CommWell Health,CommWell Health of Shallotte,"341 Whiteville Rd, NW",Shallotte,Brunswick,North Carolina,28470,Approved,Public health provider : Federally Qualified Health Center,,-78.3968486179087,33.972053244989,202105041931
244,10C002,"New Hope Clinic, Inc.","New Hope Clinic, Inc.",201 W Boiling Spring Rd,Southport,Brunswick,North Carolina,28461,Approved,Health center : community (non-Federally Qualified Health Center/non-Rural Health Clinic),,-78.0693466015884,34.0266260389284,202105041931
277,100001,Brunswick County Health Services,Brunswick County Health Services,25 Courthouse Drive - Bldg A,Bolivia,Brunswick,North Carolina,28422,Approved,Public health provider : public health clinic,,-78.1632135916614,34.0563381670553,202105041931
364,10C001,J Arthur Dosher Memorial Hospital,J Arthur Dosher Memorial Hospital,924 N Howe St,Southport,Brunswick,North Carolina,28461,Approved,Hospital,,-78.0216052295276,33.9295641564619,202105041931
394,10C003,CommWell Health,CommWell Health of Bolivia,4311 Old Ocean Highway,Bolivia,Brunswick,North Carolina,28422,Approved,Public health provider : Federally Qualified Health Center,,-78.1416164758628,34.0766224122576,202105041931
462,100041,Wilmington Health,Wilmington Health - Leland,9101 Ocean Highway East,Leland,Brunswick,North Carolina,28451,Approved,Medical practice : family medicine,,-78.0269895207221,34.2122154871279,202105041931
619,10C006,"Raleigh Durham Medical Group, PA",Seaside of Shallotte,4748 Main Street,Shallotte,Brunswick,North Carolina,28470,Approved,Medical practice : family medicine,,-78.3847703515892,33.9740328649127,202105041931
661,10C019,New Hanover Regional Medical Center Physicians Group,New Hanover Medical Group- Brunswick Forest,1333 S. Dickinson Drive,Leland,Brunswick,North Carolina,28451,Approved,Medical practice : family medicine,,-78.0463022420754,34.1988202765845,202105041931
674,10C005,"Bio-Medical Applications of North Carolina, Inc.  d/b/a Fresenius Medical Care Brunswick County","Bio-Medical Applications of North Carolina, Inc.  d/b/a Fresenius Medical Care Brunswick County",98 Stone Chimney Road SE,Supply,Brunswick,North Carolina,28462,Approved,Other,,-78.2676190293151,34.0160404324187,202105041931
927,10C011,Thomas Drugs Inc,Thomas Drugs Shallotte,4750 Main Street,Shallotte,Brunswick,North Carolina,28459,Approved,Pharmacy : independent,,-78.3848397836749,33.973727444164,202105041931
928,10C008,Thomas Drugs Inc,Seashore Drugs,10227 Beach Dr SW,Calabash,Brunswick,North Carolina,28467,Approved,Pharmacy : independent,,-78.5787210950366,33.8901284820237,202105041931
929,10C012,GALLOWAY SANDS PHARMACY LLC,Galloway-Sands Pharmacy #2 - Southport,1513 North Howe St,Southport,Brunswick,North Carolina,28461,Approved,Pharmacy : independent,,-78.026285616131,33.9383019234203,202105041931
930,10C013,GALLOWAY SANDS PHARMACY LLC,Galloway-Sands Pharmacy #1 - Supply,58 PHYSICIANS DR NW,SUPPLY,Brunswick,North Carolina,28462,Approved,Pharmacy : independent,,-78.2838057022939,34.0149806128436,202105041931
931,10C009,Thomas Drugs Inc,Thomas Drugs Oak Island,7917 E Oak Island Dr,Oak Island,Brunswick,North Carolina,28465,Approved,Pharmacy : independent,,-78.0852490220753,33.9086109858533,202105041931
1054,10C014,"DMA Enterprises, LLC",Hickman's Pharmacy,1132 New Pointe BLVD STE 3,Leland,Brunswick,North Carolina,28451,Approved,Pharmacy : independent,,-78.0270848828427,34.2099208850303,202105041931
1277,10C015,JUSTICE PHARMACY,JUSTICE PHARMACY,301 S WILLIS DR STE 112,SHALLOTTE,Brunswick,North Carolina,28470,Approved,Pharmacy : independent,,-78.3990112723661,33.9613965461746,202105041931
1308,10C007,"Robert A Wilson, MD PLLC","Robert A Wilson, MD PLLC",717 N Howe St,Southport,Brunswick,North Carolina,28461,Approved,Medical practice : family medicine,,-78.021783493028,33.9257046395718,202105041931
1327,10C010,Atlantic Internal Medicine PA,Atlantic Internal Medicine,16 Medical Center Dr.,Supply,Brunswick,North Carolina,28462,Approved,Medical practice : internal medicine,,-78.2890410266849,34.0096444904919,202105041931
1334,100023,Batish Medical Services PLLC,Batish Family Medicine,51 Lee Dr.,Leland,Brunswick,North Carolina,28451,Approved,Medical practice : family medicine,,-78.0010988293778,34.2350979770956,202105041931
1347,10C017,"Brunswick Family Medicine, P.A.","Brunswick Family Medicine, P.A.",3960 EXECUTIVE PARK BLVD # 600,SOUTHPORT,Brunswick,North Carolina,28461,Approved,Medical practice : family medicine,,-78.0808593872361,33.9626028685223,202105041931
1424,10C018,Med First Primary and Urgent Care,Med First Southport,5130 Southport Supply Rd,Southport,Brunswick,North Carolina,28461,Approved,Medical practice : family medicine,,-78.0443594551526,33.9514566411699,202105041931
1625,100040,Novant Health,NOVANT HEALTH OCEANSIDE FAMILY MEDICINE-LELAND,501 OLDE WATERFORD WAY,LELAND,Brunswick,North Carolina,28451,Approved,Medical practice : family medicine,,-78.0200656182646,34.2163967010387,202105041931
1639,100030,Novant Health,NOVANT HEALTH OCEANSIDE FAMILY MEDICINE AND CONVENIENT CARE - SHALLOTTE,5145 SELLERS STREET,SHALLOTTE,Brunswick,North Carolina,28470,Approved,Medical practice : family medicine,,-78.3969673916611,33.9621014888025,202105041931
1658,10C021,The Kroger Co.,HARRIS TEETER PHARMACY 09700225,2021 Old Regent Way,Leland,Brunswick,North Carolina,28451,Approved,Pharmacy : chain,,-78.0192141267051,34.21947854711,202105041931
1707,10C020,Community Care Health Network DBA Matrix Medical Network,Matrix Medical Network-ADM Southport,1730 E Moore St,Southport,Brunswick,North Carolina,28461,Approved,Commercial vaccination service provider,,-77.9949101960838,33.9415421597382,202105041931
1714,100039,Novant Health,NOVANT HEALTH OCEANSIDE FAMILY MEDICINE - BOLIVIA,584 HOSPITAL DR SUITE C,BOLIVIA,Brunswick,North Carolina,28422,Approved,Medical practice : family medicine,,-78.2592881229592,34.0326807366706,202105041931
1715,100043,Novant Health,NOVANT HEALTH FAMILY AND INTERNAL MEDICINE SOUTH BRUNSWICK,"75 EMERSON BAY ROAD, SUITE 102",CAROLINA SHORES,Brunswick,North Carolina,28467,Approved,Medical practice : family medicine,,-78.581031911569,33.9133027382577,202105041931
1856,"","Island Time Medical and Wellness, PLLC","Island Time Medical and Wellness, PLLC",251 EDWARD TEACH EXT,Bald Head Island,Brunswick,North Carolina,28461,New (Vaccine Coordinator In Progress),Medical practice : family medicine,,-77.9860320200618,33.8584709920283,202105041931
1879,10C022,Logistics Health Incorporated,East Coast Head Start,10016 NC Hwy 210 East,Ivanhoe,Brunswick,North Carolina,28447,Approved,Commercial vaccination service provider,,-78.3282698577265,34.6350747657379,202105041931
1948,"",CommWell Health,CommWell Health of Bolivia,4311 Old Ocean Highway,Bolivia,Brunswick,North Carolina,28422,Deactivated,Public health provider : Federally Qualified Health Center,,-78.1416164758628,34.0766224122576,202105041931
